far anything 252 far danger 212
far either 49 far enemy 106
far every 337 far feeling 125
far first 61 far forming 51
far holding 51 far human 296
far known 46 far large 58
far legal 48 far local 175
far looking 40 far noise 92
far others 74 far paris 47
far party 41 far people 78
far quiet 40 far seeking 43
far shore 51 far sight 56
far social 59 far staring 57
far state 41 far thinking 72
far water 139 far where 212
far white 60 far wishing 102
far within 137 far below 43
far enemy 48 far terms 51
far human 43 far place 77
far shall 48 far which 97
far allow 153 far words 69
far class 101 far party 44
fear hands 49 fear piece 49
fear lives 42 fear spain 41
fear others 119 fear others 57
fear makes 87 fear prove 345
fit which 56 fit which 48
fit quite 41 fit mists 56
fly alone 83 fly mules 60
for though 48 for period 118
for woman 71 for award 385
for option 105 for where 50
for force 158 for woman 54
for which 84 for period 99
for treaty 53 for gross 102
for state 40 for taxes 43
for shall 87 for after 251
for period 3885 for while 63
for drive 47 for israel 67
for treaty 74 for party 68
for engine 72 for plate 68
for period 96 for about 66
for about 47 for which 103
for which 58 for fatal 73
for hearts 158 for lines 173
for facts 96 for hours 49
for cents 45 for skill 46
for words 41 for morning 40
for carry 81 for night 65
for reason 441 for human 91
for which 213 for types 69
for sight 45 for which 127
for which 46 for period 58
for sugar 66 for award 357
for trade 48 for bureau 439
for alone 192 for which 86
for banjo 49 for party 78
for corps 50 for class 86
for force 121 for taken 111
for place 47 for press 48
for which 72 for which 118
for which 46 for widow 41
for woman 262 for press 119
for which 57 for which 44
for under 87 for which 70
for given 53 for which 52
for place 52 for which 49
for after 43 for though 137
for still 50 for which 123
for which 62 for first 75
for cycle 284 for period 46
for which 106 for which 171
for which 187 for which 192
for period 69 for which 63
for level 47 for while 50
for under 87 for which 54
for which 56 for while 127
for nurse 554 for which 47
for alive 42 for drawn 147
for about 81 for which 42
for though 40 for gross 66
for springs 42 for cells 76
for which 50 for which 631
for which 58 for model 67
for which 65 for which 64
for would 53 for which 136
for which 190 for which 40
for which 331 for which 131
for which 77 for which 66
for which 43 for which 73
for people 69 for water 108
for every 297 for since 50
for place 56 for which 61
for spent 94 for which 63
for which 72 for which 119
for which 313 for given 49
for which 206 for gross 286
for taxes 60 for period 58
for since 54 for given 57
for which 86 for which 106
for about 62 for which 44
for since 57 for given 167
for which 90 for which 50
for which 55 for where 43
for about 244 for every 40
for since 951 for today 155
for where 81 for while 56
for showing 104 for which 112
for takes 43 for which 175
for would 44 for place 47
for point 80 for which 53
for which 70 for which 374
for fixed 52 for world 77
for treaty 124 for force 47
for which 113 for which 44
for which 55 for equal 40
for which 44 for press 166
for curve 159 for which 376
for which 58 for which 45
for period 61 for which 43
for world 256 for which 62
for first 40 for which 96
for makes 48 for which 43
for which 48 for could 51
for cycle 112 for works 55
for bombing 1174 for times 71
for where 46 for books 58
for album 45 for which 50
for child 107 for which 68
for which 131 for opens 63
for which 53 for which 42
for which 46 for which 56
for which 53 for cycle 124
for which 55 for which 59
for order 40 for helen 76
for which 59 for since 53
for which 49 for though 46
for which 175 for which 54
for state 49 for issue 57
for canal 43 for above 110
for under 42 for named 125
for march 84 for action 43
for period 468 for which 52
for which 110 for period 757
for which 40 for leader 165
for which 62 for bound 42
for period 127 for which 42
for which 52 for period 91
for close 750 for which 42
for where 130 for which 66
for which 192 for class 144
for group 115 for cycle 112
for still 64 for still 93
for trade 314 for under 119
for where 202 for period 161
for which 69 for which 147
for types 45 for method 154
for shown 59 for which 114
for which 45 for which 53
for months 97 for months 43
for months 190 for shall 71
for which 60 for leaves 111
for about 139 for since 269
for where 69 for which 56
for about 44 for began 60
for since 319 for within 51
for about 83 for about 225
for since 336 for today 79
for while 41 for which 105
for which 128 for given 127
for which 88 for which 48
for about 78 for since 89
for wrote 62 for press 404
