few philosophers of science have 50
for communication of results prior 195
for contravention of certain other 114
for contributions of capital gain 187
for counterfeiting the current coin 100
for disobedience of ecology laws 52
for distributions in taxable years 51
for documentation of patient care 48
for improvements in patient care 58
for independence in northern south 80
for organizations to achieve their 46
for organizations to develop their 55
for organizations to improve their 94
for organizations to increase their 45
for participants to achieve their 42
for participants to develop their 74
for participants to discuss their 99
for participants to examine their 46
for participants to explore their 79
for participants to express their 195
for participants to present their 54
for participants to reflect upon 40
for participation in decision making 2270
for participation in managed care 47
for participation in national life 45
for practitioners to develop their 81
for shareholders to recover some 74
for solicitations by persons other 95
for stabilization of national life 120
