face great risks for himself 80
face grew grave and assumed 58
face grew tense with anxiety 63
fact look crass and material 223
fact soon after his arrival 50
fail more often than succeed 65
fair means alone can produce 47
fair means could not prevail 44
fair means would not prevail 51
fair trial which they allowed 60
fair young bosom and against 96
faith soon after they settled 51
fall from grace nor forfeit 53
fall from heaven and consume 51
fall from heaven and destroy 95
fall into chaos and anarchy 102
fall into mooning and imagining 62
fall much below its present 60
fall some words that sounded 73
feed upon roots and berries 198
feed upon worms and insects 126
feel good about her decision 49
feel good about his decision 122
feel good about his success 52
feel good about that because 124
feel good about this decision 151
feel very proud and thankful 82
feel very sorry for herself 75
feel very sorry for himself 164
feet from where her husband 58
feet from where they started 53
feet were bound with splints 118
feet were small and shapely 72
feet were small and slender 87
feet wide apart for balance 49
fell back about two hundred 61
fell from under her lowered 73
fell into decay and finally 68
fell into decay and neglect 51
fell into decay and oblivion 46
fell into loose and lawless 47
felt good about her decision 265
felt good about his chances 69
felt good about his decision 265
felt good about our chances 63
felt good about that because 140
felt most happy and thankful 144
felt tears prick her eyelids 75
felt very sorry for herself 264
felt very sorry for himself 523
felt very tired and decided 51
felt very uneasy and unhappy 44
fifth line thereof and inserting 51
fill many pages with similar 104
fill their holes with several 57
fill their minds with thoughts 77
fill their noses with tobacco 87
fill their pages with stories 71
fill their works with intense 93
fill your minds with everything 47
find good reason for believing 118
find good reason for confiding 86
find good reason for espousing 56
find many words that deserve 91
find more names for diseases 120
find more space and comfort 46
find most pride and pleasure 72
find none which may pretend 92
find other people with similar 91
find other pools all equally 50
find some basis for judicial 42
find some reason for believing 67
find some reason for remaining 61
find some reason for resisting 63
find their place and function 50
find their point and purpose 119
find their spots and stripes 63
find these words and phrases 57
fine arts found one admirer 54
fine arts which our country 83
fine cool morning and easterly 40
fire from doors and windows 85
fire from heaven and brought 117
fire from heaven and consume 194
fire from heaven and destroy 164
fire like pearls that whisper 54
fish into holes and corners 41
fish upon which they subsist 156
five days after being hatched 73
five days after her arrival 147
five days after her husband 76
five days after her marriage 60
five days after his arrival 1132
five days after his birthday 48
five days after his capture 74
five days after his election 77
five days after his marriage 52
