families has been well documented 72
families that have been identified 106
families who have been identified 80
families who have been victimized 43
fidelity they have most confidence 89
forcibly than even these indications 54
formerly wee have been acquainted 51
formulas that have been successful 42
fortress was ever more completely 74
freedoms that have been recognized 437
functions are less well understood 53
functions that have been attributed 278
functions that have been considered 92
functions that have been identified 205
functions that have been introduced 73
functions that were once considered 48
functions they will take precedence 57
