fear i mistook the object 71
fed a mixture of ground 127
fix a maximum of charge 359
fling a handful of barley 41
for a balance of forces 118
for a balance of powers 182
for a balance of rights 58
for a balance of terror 44
for a balloon to travel 42
for a behavior to become 41
for a boycott of disney 46
for a boycott of english 85
for a boycott of french 97
for a boycott of german 203
for a boycott of israeli 106
for a boycott of jewish 221
for a british or french 45
for a captain of arabian 56
for a caravan of camels 65
for a carload of cattle 54
for a carriage to ascend 81
for a carriage to convey 157
for a carrier to accept 40
for a carrier to charge 173
for a catholic to accept 47
for a catholic to attend 89
for a catholic to become 120
for a catholic to commit 115
for a century in england 84
for a century in english 95
for a century to follow 111
for a champion to defend 81
for a chapter by itself 423
for a chapter in smiles 42
for a chapter to itself 108
for a charter of rights 225
for a charter to enable 51
for a chemist to obtain 136
for a circuit of twenty 55
for a circuit or system 44
for a citizen of another 57
for a citizen of london 62
for a citizen to accept 49
for a citizen to become 82
for a citizen to obtain 50
for a climate of mutual 71
for a climate of opinion 144
for a closure of debate 61
for a cluster of grapes 88
for a cluster of houses 81
for a cluster of reasons 79
for a college or school 85
for a college to attend 66
for a command to charge 211
for a command to finish 73
for a command to report 54
for a company in another 43
for a company in england 49
for a company of actors 253
for a company of english 91
for a company of knaves 46
for a company of militia 117
for a company of rangers 110
for a company of troops 85
for a company of twenty 68
for a company of united 45
for a company or agency 57
for a company or person 133
for a company to accept 75
for a company to arrange 43
for a company to assess 85
for a company to assume 97
for a company to become 329
for a company to borrow 162
for a company to charge 65
for a company to choose 91
for a company to commit 53
for a company to decide 195
for a company to define 65
for a company to design 69
for a company to employ 146
for a company to ensure 76
for a company to expand 156
for a company to follow 145
for a company to handle 85
for a company to insure 46
for a company to invest 262
for a company to manage 103
for a company to market 210
for a company to measure 53
for a company to obtain 368
for a company to pursue 160
for a company to realize 74
for a company to record 51
for a company to recoup 42
for a company to reduce 198
for a company to refuse 85
for a company to remain 178
for a company to report 144
for a company to retain 137
for a company to secure 101
for a company to select 66
for a company to settle 94
for a company to simply 43
for a company to supply 83
for a company to switch 58
for a complex of reasons 1192
for a concert in london 42
for a concert in vienna 53
for a concert of europe 126
for a concert of modern 62
for a concert of nations 49
for a concert of policy 49
for a concert of prayer 64
for a congress of nations 351
for a contest of strength 42
for a council of elders 92
for a council of europe 280
for a council of twelve 42
for a council of twenty 67
for a council to reform 41
for a council to settle 87
for a country in crisis 53
for a country of canada 48
for a country so remote 40
for a country to absorb 59
for a country to accept 76
for a country to attain 88
for a country to become 426
for a country to borrow 103
for a country to choose 66
for a country to decide 56
for a country to defend 74
