fan of the university of 87
far as ac represents the 40
far as an application of 59
far as an appreciation of 49
far as an assessment of 58
far as an examination of 153
far as an explanation is 108
far as an explanation of 477
far as an individual is 435
far as an individual or 55
far as he apprehends it 49
far as he approaches the 76
far as he considered it 141
far as he considered the 96
far as he maintained the 55
far as he personally is 392
far as he proclaimed the 56
far as he recognized the 61
far as he recognizes the 105
far as he remembered it 72
far as he remembered the 57
far as he represents it 47
far as he represents the 293
far as he understood it 1237
far as he understood the 546
far as he undertakes to 63
far as is applicable to 128
far as is appropriate to 188
far as is convenient to 80
far as is sufficient to 140
far as it appertains to 177
far as it apprehends the 70
far as it approached the 51
far as it approaches the 222
far as it attributes the 67
far as it attributes to 61
far as it controlled the 114
far as it designates the 73
far as it determined the 133
far as it determines the 1117
far as it diminished the 54
far as it diminishes or 78
far as it diminishes the 154
far as it eliminates the 69
far as it elucidates the 76
far as it emphasized the 74
far as it emphasizes the 335
far as it encounters the 44
far as it encouraged the 79
far as it encourages the 145
far as it encourages us 54
far as it frustrates the 59
far as it guarantees the 73
far as it highlights the 182
far as it identifies the 84
far as it influenced the 210
far as it influences the 695
far as it influences us 83
far as it interprets the 126
far as it introduces the 126
far as it ministered to 191
far as it originated in 61
far as it originates in 96
far as it penetrates the 42
far as it postulates the 46
far as it prescribes or 88
far as it prescribes the 116
far as it prohibited the 147
far as it recognized the 112
far as it recognizes the 392
far as it reinforces the 46
far as it reiterates the 162
far as it represents an 305
far as it represents in 56
far as it represents the 1709
far as it reproduces the 90
far as it restrained the 70
far as it restricted the 55
far as it stimulates the 89
far as it strengthened the 64
far as it symbolizes the 282
far as it transcends the 177
far as it transforms it 77
far as it underlines the 61
far as it undertakes to 286
far as my conscience is 123
far as my department is 140
far as my examination of 99
far as my experience as 43
far as my experience in 326
far as my experience is 311
far as my experience of 842
far as my government is 216
far as my impressions go 50
far as my information is 50
far as my observation is 64
far as my observation of 265
far as my observation or 81
far as the abstraction of 45
far as the acceptance of 392
far as the accountant is 69
far as the acquisition of 2329
far as the acquisition or 43
far as the activities in 96
far as the activities of 1745
far as the adjustment of 199
far as the adolescent is 61
far as the advantages of 175
far as the advertiser is 109
far as the affirmation of 49
far as the allegations of 73
far as the amelioration of 69
far as the appearances of 107
far as the application is 286
