face grew suddenly grave as 42
face were obviously moved by 53
fact been recently fixed as 53
fact will probably never be 42
fair eyes authentic shall my 44
fall more directly under the 202
fall more directly within the 93
fall more properly under the 1423
fall more properly within the 641
fall more suitably within the 107
fall only slightly below the 116
fall only slightly short of 43
feed their families until the 66
feel just terrible about it 67
feel like explaining anything to 52
feel many scruples which my 104
feel more cheerful about the 49
feel more curiosity about it 91
feel more positive about my 49
feel more positive about the 514
feel some curiosity about the 288
feel some misgivings about the 68
feel very doubtful about the 194
feel very positive about it 133
feel very positive about the 474
feel well informed about the 112
feet away whatever might be 134
feet were directly under the 52
feet will scarcely touch the 58
fell into abeyance after the 109
fell into abeyance under the 56
fell into abeyance until the 85
fell into american hands at 43
fell into american hands in 73
fell into american hands on 45
fell into christian hands in 59
fell into contests about the 68
fell into disarray after the 51
fell into disfavor after the 115
fell into disgrace after the 59
fell into japanese hands as 44
fell into japanese hands in 136
fell into japanese hands on 80
fell like sunshine where it 120
fell more directly under the 69
fell more properly under the 51
fell more properly within the 64
fell only slightly below the 56
fell only slightly short of 129
fell some distance short of 49
fell some distance within the 45
felt just terrible about it 78
felt more positive about the 155
felt some curiosity about the 77
felt some misgivings about my 51
felt some misgivings about the 122
felt some scruples about the 76
felt their children would be 59
felt their sufferings under the 64
felt very bitterly about the 57
felt very doubtful about the 108
felt very insecure about the 48
felt very positive about it 44
felt very positive about the 295
fifth most frequent cause of 124
fifth most populous nation in 383
fifth most populous nation on 41
fifth most populous state in 92
fill what otherwise would be 45
find four positions where the 40
find great scholars rotting on 54
find many examples where the 66
find many families where the 43
find many passages where the 52
find many passages which he 102
find more attention given to 56
find more complete unity of 102
find most compelling about the 41
find most disturbing about the 66
find some definite trace of 44
find some harmless sport to 202
find some minister willing to 49
find some response within us 124
find some situation which is 42
find some suitable place to 66
find some suitable token of 80
find such enormous guilt in 68
find such straggling acres as 62
find their attention drawn to 62
find their identity within the 40
find their ordinary stock of 66
find their rightful place in 756
find their sharpest thorns in 169
find their ultimate basis in 62
find their ultimate issue in 45
find three distinct rites of 43
find three distinct types of 70
find your rightful place in 59
fine arts profited alike by 124
fire must properly belong to 71
fire will probably never be 45
five most beautiful girls in 101
five most dangerous words in 43
five most powerful people in 46
five such standard times in 51
five years internal exile in 52
fled from mainland china to 50
fled from scotland after the 72
fled their homeland after the 113
flee from redheaded women at 101
flow will continue until the 543
food eaten entirely fills it 84
form fold mountain ranges of 73
form four covalent bonds to 48
form most commonly found in 189
form some adequate notion of 54
form some judgment about the 90
form their religious creed in 53
forth such herculean deeds of 136
forth their judgment would be 64
four most beautiful women in 121
four most dangerous words in 72
four most frequent types of 54
free from clinical signs of 66
free from illusions about the 47
free from infection until the 56
free from liability under the 355
free from personal abuse or 66
free from reproach until the 101
free from scrutiny under the 81
from asking questions about it 52
from asking questions about the 418
from cold northerly winds by 58
from early christian times to 593
from early december until the 96
from early february until the 56
from early historic times to 58
from early medieval times to 177
from early november until the 136
from firm habitual quest of 51
from giving evidence either in 49
from high interest rates in 46
from high interest rates to 63
from late december until the 47
from late february until the 56
from late medieval times to 77
from late november until the 103
from less advanced forms of 345
from making comments about the 43
from making dangerous trips to 50
from making decisions about the 97
from making decisions based on 253
from making frequent trips to 48
from making mistakes about the 44
from making personal loans to 56
from making promises about the 75
from many locations within the 47
from many quarters about the 131
from many quarters within the 47
from mere literary dreaming to 75
from more advanced parts of 68
from more affluent parts of 44
from more northerly parts of 70
from more southerly parts of 83
from north atlantic ports to 214
