fables took deep hold upon 42
factor also came into play 86
factor must also have been 55
factor must come into play 93
factor will come into play 100
fainting draw back their hand 45
fairly take your breath away 73
fairly took their breath away 75
fairly took your breath away 75
fallen away from their faith 175
fallen away from their high 41
fallen away from those high 55
fallen down from having been 64
fallen feel felt felt find 49
fallen from their heads upon 114
fallen from their once high 85
fallen into such very good 69
fallen upon evil days when 49
fallen upon such evil days 212
fallen upon very evil days 74
family away from their home 42
family fled from their home 64
family have been very good 40
family have been very kind 151
family have made their home 122
family life during these years 65
family life have also been 45
family life have been made 42
family life must have been 253
family must also have been 40
family must have been among 47
family must have been much 40
family must have been very 577
family must have been well 178
family must have come from 98
family over there have sent 43
family pass some time here 91
family take their name from 43
family there have been many 48
family there must have been 76
family ties must have been 78
family took their name from 231
family were away from home 207
family were paying back their 44
farmer riding into town wearing 50
farther away from their base 91
farther away from their goal 40
farther away from their home 312
farther away from their jobs 94
farther away from their work 84
farther away from your body 146
farther away from your eyes 53
farther down were three more 42
fasten some good hint upon 43
fasten their eyes upon some 45
faster your heart rate will 43
fathers came home from work 74
fathers come home from work 41
fathers must have been very 73
fathers were away from home 151
fathers were torn from their 48
fathers wrung their bread from 85
fearful echo died away when 98
fearful must have been their 41
feathers waving from their caps 41
feathers waving over their heads 67
feeble ones weep over their 71
feelings come into your mind 42
feelings from their very birth 41
feelings like mine will have 126
feelings must have been during 41
feelings must have been hurt 56
feelings must have been like 63
feelings must have been very 224
feelings must have been when 395
feelings must have come back 42
feelings very much like those 67
feelings were much like those 104
feelings were very much hurt 224
fellow came home safe among 113
fellow knew very well what 48
fellow there must have been 88
female brings forth from three 57
female male male male male 160
fibers have also been made 76
fibers have also been used 172
fibers have been made from 107
fibers have been spun into 50
fibers were spun into thread 42
fiction will come when truth 53
fields from dawn till dusk 98
fields have also been used 120
fields link your main form 77
fields must melt into your 40
fierce anger will turn away 55
figure must have been made 43
figure must have been much 100
figure must have been there 126
figure must have been very 62
figure soon came into view 45
figure there must have been 132
findings have also been made 118
findings have also been used 48
findings have come from other 44
finish line came into view 40
firmer roof over their heads 124
flakes fall into some lone 273
flames ever move from their 86
flames must have been very 79
flames roar when jody went 61
flames took their rise from 57
flames were leaping high into 52
flames were seen coming from 57
flames were seen rising from 100
flight from salt lake city 141
flight threw down their arms 91
floating away upon some great 52
floods will soon pour down 171
floppy disk onto your hard 95
flowed down into your heart 49
fluids have also been used 44
fluids must have made their 58
folded their arms over their 72
folder from your hard disk 146
forays have been made into 53
forced jews into paying toll 41
forces also come into play 205
forces back into south korea 69
forces come into play here 98
forces come into play only 43
forces come into play when 365
forces have also been used 62
forces have been even more 77
forces have been sent into 42
forces have come into play 591
forces have done their work 69
forces laid down their arms 299
forces must also have been 58
forces must come into play 209
forces must have been also 59
forces were coming into play 279
forces will come into play 784
forget those early days when 44
formed during these early years 75
formed must have been very 56
formed over time from many 60
formed there have been good 105
formed there must have been 60
formed very much like those 59
former ages there were many 92
former days must have been 72
former days there were many 65
former have been much more 44
former life have been vain 86
former life must have been 65
former must have been very 87
former radio talk show host 73
former three have zero spin 58
former time were very poor 41
former will grow down into 53
former years many poems were 46
former years there were many 50
fossil were just like those 48
frames have also been used 44
frenzy will pull down more 134
friend emma having just come 64
friend from your door like 61
friend must have been very 102
friend safe even here from 46
friend your left hand upon 47
frozen cold hand upon mine 48
frugal till evil days came 70
furies sink upon their iron 82
further away from cape town 100
further away from their base 42
further away from their home 236
further away from their ideal 50
further away from their work 234
further away from your body 123
further away from your goal 124
further call during their term 50
future ages will look back 94
future faith will have some 49
future time when some other 49
future time will look back 47
future will have much more 50
future will learn more from 93
future will look back upon 167
future will look more like 111
future will look much like 41
future will pass such acts 45
