fine prosperous business that would 78
form spontaneous rosettes with sheep 332
from dissimilar economic and social 52
from government agencies and others 70
from government officials and others 56
from interstate commerce all goods 313
from interstate commerce any goods 60
from traditional economic and social 42
full appropriate situation for action 69
full diplomatic relations with beijing 115
full diplomatic relations with china 478
full diplomatic relations with egypt 147
full diplomatic relations with israel 927
full diplomatic relations with libya 49
full diplomatic relations with russia 46
full diplomatic relations with spain 98
full sensational explosion may occur 43
