far love 68 far from 52
far spring 64 few from 54
few into 125 few from 63
few from 44 few down 43
few from 45 few will 64
few from 307 fix upon 57
for years 75 for years 148
for cell 70 for have 65
for were 66 for when 46
for else 353 for have 507
for have 119 for kind 47
for into 138 for from 176
for from 116 for along 45
for means 45 for step 61
for tour 102 for upon 214
for some 58 for have 57
for eyes 81 for years 227
for years 76 for have 96
for were 75 for have 83
for were 125 for were 51
for were 71 for lies 110
for have 76 for were 43
for were 49 for will 73
for most 109 for have 68
for have 381 for seem 319
for from 44 for have 41
for have 585 for seem 148
for have 84 for from 66
