face before eating or smoking 141
face burned with the shame 64
face changed and he began 66
face clearly for the first 840
face combat with the enemy 40
face daubed red or black 54
face dripping with the blood 80
face glowed with an inner 189
face glowed with the light 114
face looked out of place 49
face marked with the lines 548
face marked with the small 172
face pitted with the small 158
face radiant with as broad 51
face radiant with the light 245
face seemed out of place 94
face seemed set in stone 42
face shines with the light 51
face showed that he could 40
face showed that he would 70
face smeared with the juice 81
face turned men to stone 45
facing battle for the first 46
facing combat for the first 71
facing europe and the world 41
fact appears for the first 69
fact exists that it rests 71
fact fought with the enemy 89
fact itself but the light 49
fact loomed out in front 40
fact prefer not to carry 43
fact should not be given 72
fact should not be known 94
fact should not be taken 587
fact showed that no force 50
fain follow him in prose 58
fain forget all my morning 179
fair breeze and the flood 56
fair chance and no favor 96
fair chance for the girls 76
fair chance that he might 52
fair chance that he would 116
fair chance that it might 53
fair chance that it would 76
fair chance with the enemy 61
fair enough for the queen 43
fair fields with the blood 40
fair prices for the goods 72
fair readers are no doubt 43
fair retreat and be quiet 46
fair return for an author 66
fair return for the first 53
fair return for the labor 159
fair return for the money 271
fair salary all the season 49
faith belief that no valid 234
faith should not be based 47
faith should not be taken 45
faith strove but to serve 46
fall asleep and he would 47
fall asleep and the first 74
fall asleep and to sleep 51
fall asleep for the first 50
fall asleep for the night 84
fall asleep out of sheer 57
fall asleep with the light 225
fall asleep with the sound 50
fame filled all the world 116
fans turned out to watch 181
fare better than the first 142
fare better than the others 206
farm income and the value 44
farm income for the period 65
farm outgoes for the first 176
farm through all the months 475
fast answer can be given 73
fast asleep that he could 61
fast asleep with the black 87
fast enough all the world 42
fast enough for the needs 57
fast enough for the people 53
fast enough that he could 41
fast filled with the chief 135
fast through all the ranks 104
fate reaches all the others 60
feed indians than to fight 46
feel afraid for no reason 60
feel almost for the first 87
feel anxious for the sight 45
feel anxious how he might 40
feel better and to smooth 97
feel better for the change 51
feel better for the first 55
feel colder than it really 69
feel deeply for the people 40
feel deeply that the world 76
feel empathy for the people 44
feel guilty for no reason 64
feel myself out of place 57
feel myself that it would 47
feel repaid for the labor 42
feel secure for the first 69
feel secure that he would 40
feet dangled off the floor 52
feet deeper than the grand 104
feet deeper than the level 64
feet higher than it would 47
feet higher than sea level 59
feet higher than the creek 64
feet higher than the crest 154
feet higher than the cross 383
feet higher than the first 381
feet higher than the flood 226
feet higher than the floor 991
feet higher than the front 126
feet higher than the hotel 48
feet higher than the house 105
feet higher than the level 1669
feet higher than the lower 353
feet higher than the meadow 50
feet higher than the others 191
feet higher than the outer 226
feet higher than the place 101
feet higher than the plain 802
feet higher than the point 168
feet higher than the ridge 53
feet higher than the river 659
feet higher than the sides 105
feet higher than the spire 49
feet higher than the stern 51
feet higher than the stream 106
feet higher than the tower 50
feet higher than the upper 93
feet higher than the usual 96
feet higher than the walls 223
feet higher than the water 1251
feet lifted off the floor 99
feet seemed not to change 42
feet seemed not to touch 206
feet square and the walls 63
feet sticking out in front 120
feet turned out at right 46
fell asleep and the first 52
fell asleep for the first 206
fell asleep for the night 189
fell asleep out of sheer 202
fell asleep with the feeling 51
fell asleep with the image 50
fell asleep with the light 574
fell asleep with the phone 50
fell asleep with the sound 297
fell asleep with the words 80
fell behind all the others 56
fell behind him on either 44
fell blinding off the brink 60
fell faster than the price 49
fell fighting for the cause 43
fell silent for the first 118
felt afraid for the first 90
felt afraid that he might 41
felt afraid that he would 67
felt afraid that the royal 259
felt almost for the first 40
felt another pang of guilt 136
felt around for the light 353
felt around with my hands 70
felt better for the change 57
felt better for the first 85
felt better had he known 51
felt better than he could 130
felt better with the horse 46
felt guilty for the first 49
felt guilty that he could 147
felt itself out of place 55
felt keenly that in serving 50
felt lonely for the first 120
felt myself for the first 89
felt myself out of place 84
felt myself was an abuse 40
felt normal for the first 73
felt pleased that he could 42
felt regret that the fairy 49
felt regret that the glory 176
felt relief for the first 99
