faced been 106 faced dark 87
faced thick 102 faces other 42
faces much 72 faces more 40
faces other 129 faces were 71
faces their 75 faces tears 346
faces their 86 facts lips 53
facts life 58 facts lips 84
facts been 634 facts other 51
facts only 156 facts have 62
facts were 119 facts only 85
faded were 47 faded gone 90
faded lost 52 faded rain 40
faded diana 63 failing hand 76
failing years 44 failing been 57
fails their 110 faint wife 41
faint will 73 faint will 70
faint over 49 faint just 88
faint much 69 fairy wand 43
fairy been 47 fairy been 92
faker many 151 falling army 48
falling take 42 falling from 57
falling pond 46 falling trap 72
falling coming 49 falling feet 104
falling feet 272 falling giving 169
falling tearing 44 falling their 115
falling their 160 falling ever 40
falls trap 528 falls trap 54
falls only 539 falls feet 115
falls feet 44 falls beats 45
falls such 45 falls will 46
false will 63 false ends 113
false will 44 false been 56
false made 43 false lame 82
false gums 52 false were 48
fancy wish 68 fancy part 48
fancy call 107 fancy other 379
fancy town 91 fancy when 45
fancy many 75 fancy much 117
farming been 44 farming other 43
farms been 48 farthing think 106
farthing were 92 fatal been 93
fatal come 40 fatal ever 67
father hand 78 father down 53
father down 111 father said 149
father told 43 father came 59
father went 83 father died 201
father name 48 father time 153
father name 62 father died 48
father arms 169 father hand 447
father have 66 father know 43
father want 69 father even 45
father were 57 father have 46
father here 99 father york 55
father during 59 father when 54
father back 71 father other 163
father years 41 father love 67
father fond 41 father been 47
father wife 68 father must 54
father were 198 father were 90
father have 44 father must 48
father home 43 father four 52
father wine 48 father such 52
father three 147 father health 121
father back 44 father must 112
father there 54 father when 41
father were 61 father much 64
father there 151 father when 97
father were 99 father life 316
father into 63 father belt 82
father coat 104 father like 77
father into 47 father done 255
father heard 69 father said 60
father seen 150 father done 108
father seen 52 father home 62
father been 76 father born 61
father five 337 father four 380
father just 133 father nine 249
father only 1116 father three 158
father very 260 father young 258
father home 93 father been 63
father home 85 father been 187
father lost 123 father come 46
father have 47 father mouth 70
fathom done 944 fatty been 238
fatty less 125 fatty less 86
fault been 54 fauna great 89
favor from 46 favor other 44
favor most 41 feared will 40
feared else 93 feared other 1776
feared rock 55 feared much 95
feared much 317 feasting wine 47
feeding been 40 feeling their 78
feeling there 65 feeling free 109
feeling rude 59 feeling were 45
feeling there 47 feeling self 340
feeling self 274 feeling been 198
feeling just 194 feeling been 117
feeling lost 80 feeling sway 46
feeling other 317 feeling time 71
feeling work 58 feeling next 43
feeling must 90 feeling will 63
feeling must 283 feeling were 467
feeling will 621 feeling time 57
feeling will 272 feeling eyes 61
feeling their 160 feeling much 152
feeling much 54 feeling very 74
feeling very 44 feeling been 70
feeling gone 148 feeling says 63
feels size 173 feels been 96
feels lost 41 feels other 79
feels nothing 72 feels will 89
feels will 139 feels time 41
feels will 109 feels many 133
feels into 43 feels been 44
fever other 49 fever five 62
fever only 195 fever three 76
fewer sake 46 field been 65
field their 73 field been 310
field lens 103 field other 274
field years 44 field want 119
field book 133 field been 163
field been 188 field done 119
fiend soul 65 fiery full 54
fifty heard 47 fifty from 54
fifty west 147 fifty five 233
fifty four 72 fifty from 68
fifty half 239 fifty three 547
fifty born 90 fifty find 62
fifty even 85 fifty from 45
fifty have 214 fifty less 99
fifty made 40 fifty more 778
fifty their 61 fifty there 167
fifty those 154 fifty were 95
fifty what 56 fifty will 46
fifty gave 50 fifty been 262
fifty been 261 fifty have 125
fifty were 53 fifty task 60
fifty there 46 fifty many 48
fifty some 104 fifty there 203
fifty were 737 fifty month 113
fifty very 262 fifty week 56
fifty more 88 fifty only 48
fifty very 112 fifty went 64
fifty were 50 fifty great 62
fifty high 88 fifty those 116
fifty been 127 fifty your 89
fifty been 161 fifty month 192
fifty have 65 fifty will 60
fifty much 50 fifty been 98
fifty been 275 fifty have 208
fifty living 86 fifty more 173
fifty over 280 fifty there 42
fifty very 74 fifty well 47
fifty were 53 fifty speak 58
fifty have 47 fifty been 163
fifty been 159 fifty other 202
fifty have 115 fifty have 41
fifty been 398 fifty been 120
fifty boys 54 fifty were 46
fight tears 67 fight tears 53
