naked left arm holding a 50
nation whom they serve i 63
needs kill and wound a 200
never asking his guest a 41
never cost his father a 93
never done that since i 48
never dream how small a 40
never find out where i 44
never gave this world a 55
never have got where i 48
never heard her utter a 441
never heard him preach a 129
never heard him repeat a 43
never heard him utter a 4389
never heard them utter a 220
never heard you utter a 101
never knew her fetch a 150
never knew him until i 56
never knew how close i 63
never knew that until i 53
never knew why until i 40
never knew you fight a 90
never know how badly i 63
never know how close a 115
never know how close i 153
never know how happy i 184
never know how large a 50
never know how often i 74
never know how proud i 62
never know how sorry i 392
never leave you until i 94
never less than twice a 252
never more than about a 209
never more than twice a 132
never seen and which i 122
never seen her create a 41
never seen her since i 92
never seen her under a 69
never seen him since i 327
never seen him smoke a 47
never seen him touch a 66
never seen one until i 47
never seen them shoot a 44
never seen them since i 45
never sway and guide a 74
never take but after a 91
never told her about a 62
never told her where i 52
never told him where i 108
never told his mother a 52
never told them anything i 64
never told them where i 42
never told you about a 48
never told you where i 84
night there had blown a 91
night there was again a 259
night there was given a 59
night there was never a 218
night there was quite a 428
night there was still a 70
night when she thinks i 51
noise like that which a 53
noted here that while a 49
nursing home for about a 94
