name and amount contributed by 68
name for strict impartiality in 81
name has become consecrated in 78
name was always accompanied by 58
need bear little relationship to 72
need bear little resemblance to 45
need for active intervention by 68
need for active intervention in 95
need for active involvement in 223
need for active involvement of 149
need for better coordination in 68
need for better coordination of 547
need for better distribution of 79
need for better enforcement of 169
need for better organization of 153
need for better performance in 46
need for better understanding by 95
need for better understanding of 4222
need for better understanding the 111
need for clearer understanding of 85
need for closer coordination of 364
need for common understanding of 46
need for deeper understanding of 349
need for direct intervention by 82
need for direct intervention in 136
need for direct involvement in 50
need for direct involvement of 50
need for direct measurements of 46
need for divine intervention in 86
need for divine intervention to 60
need for energy conservation in 90
need for expert consultation at 51
need for family involvement in 66
need for faster development of 43
need for fuller understanding of 90
need for further adjustments in 48
need for further confirmation of 47
need for further development in 790
need for further development is 83
need for further development of 3288
need for further experiments to 50
need for further improvement in 760
need for further improvement is 42
need for further improvement of 411
need for further intervention by 62
need for further optimization of 85
need for further refinements in 56
need for further understanding of 499
need for further verification of 44
need for future development of 95
need for greater consistency in 103
need for greater coordination in 199
need for greater coordination of 835
need for greater development of 163
need for greater expenditure on 50
need for greater flexibility in 2105
need for greater flexibility of 100
need for greater flexibility to 54
need for greater investments in 52
need for greater involvement by 93
need for greater involvement in 109
need for greater involvement of 877
need for greater selectivity in 70
need for greater sensitivity in 45
need for greater sensitivity to 477
need for greater specificity in 110
need for greater specificity of 47
need for greater understanding in 43
need for greater understanding of 2706
need for manual intervention in 40
need for mutual understanding in 72
need for mutual understanding of 77
need for parent involvement in 60
need for police departments to 44
need for policy intervention to 93
need for prompt procurement of 63
need for proper coordination of 51
need for proper maintenance of 172
need for proper understanding of 82
need for public expenditure on 56
need for public institutions to 54
need for public intervention in 333
need for public intervention to 101
need for public involvement in 155
need for public understanding of 331
need for sexual fulfillment is 45
need for special arrangements to 118
need for strict enforcement of 125
need for strict presumptions in 79
need not always necessarily be 135
need not always participate in 45
need not depend exclusively on 290
nice and subtle distinctions as 95
none but marble gravestones in 41
nothing but dismal imaginations to 413
nothing can better demonstrate the 50
nothing that better illustrates the 70
