nay what he actually managed 64
net gain in consumer surplus 54
net gain in economic welfare 82
net loss in consumer surplus 88
net loss in consumer welfare 72
net loss of consumer surplus 42
new acre of vineyard planted 121
new bill he placidly ignores 51
new diet or exercise program 89
new form of christian worship 43
new form of cultural capital 86
new form of indirect taxation 66
new form of relations between 59
new form of religious worship 48
new form of struggle against 84
new kind of conflict between 54
new kind of cultural history 95
new kind of feminine subject 43
new kind of literary history 71
new kind of relations between 44
new kind of synthesis between 42
new kind of synthetic novelty 51
new land of religious freedom 60
new means of muscular control 72
new page in american history 49
new page in relations between 53
new pair of highland brogues 50
new plan of campaign against 52
new play by sheridan knowles 56
new post of director general 47
new role in american society 101
new sets of external enemies 40
new sets of relations between 58
new theory of consumer behavior 134
new trial is required because 49
new trial on punitive damages 154
new type of computer network 281
new type of relations between 313
new type of synthetic peptide 148
new view of american history 50
new wave of economic reforms 89
new wave of settlers arrived 54
new ways of conducting research 89
new ways of expressing himself 193
new ways of organizing society 286
new ways of presenting material 133
new ways to generate revenue 107
nor deny the surprising address 57
nor even the princess dowager 52
not able to continue because 40
not able to convince himself 113
not able to describe exactly 51
not able to directly control 45
not able to directly observe 67
not able to disengage himself 48
not able to distance himself 47
not able to exercise control 171
not able to identify himself 96
not able to liberate himself 45
not able to maintain contact 49
not able to maintain control 317
not able to maintain herself 204
not able to maintain himself 400
not able to persuade congress 40
not able to persuade himself 61
not able to preserve himself 59
not able to restrain himself 156
not able to separate himself 64
not akin to contempt because 71
not among the original members 46
not among the original thirteen 105
not among the salvaged records 126
not been an american citizen 88
not been an economic success 66
not been an innocent cottage 44
not been an instance wherein 49
not been in complete control 70
not been in military service 112
not been in personal contact 47
not been in rebellion against 105
not been so severely wounded 41
not been so strangely reduced 47
not been the practice hitherto 160
not blow so violently against 45
not born of christian parents 46
not born to vegetate forever 143
not call the tortoise unworthy 255
not care to encumber himself 53
not care to identify himself 73
not care to remember himself 48
not cease to interest himself 132
not cease to reproach herself 50
not cease to struggle against 69
not come in absolute contact 45
not come in adequate numbers 53
not come in immediate contact 176
not come in intimate contact 40
not come in personal contact 244
not come in physical contact 98
not come to complete fruition 61
not come to immediate fruition 43
not cure the underlying problem 142
