net loss through migration of 68
new gene family involved in 46
new life without education at 52
new string object containing the 112
new whig member returned at 78
new work merely replaces the 61
nor more justly required by 42
nor south needed colleges to 47
nor what nature designed it 42
nor will always continue to 53
nor will bribes unclench thy 93
not bearing enough children to 51
not been already disposed of 70
not been already provided in 52
not been always attended to 50
not been always possible to 113
not been before ventured in 47
not been called mistress at 54
not been caused entirely by 46
not been clearly observed in 46
not been clearly resolved by 57
not been common practice in 82
not been common practice to 90
not been deemed essential to 49
not been deeply affected by 190
not been deeply involved in 421
not been denied admission to 47
not been duties attached to 78
not been enough adverted to 44
not been enough attended to 51
not been enough attention to 65
not been enough emphasis on 121
not been enough evidence to 140
not been greatly advanced by 44
not been greatly affected by 962
not been greatly hindered by 58
not been greatly improved by 100
not been greatly increased by 72
not been greatly involved in 76
not been greatly modified by 101
not been greatly troubled by 67
not been heavily involved in 221
not been highly regarded by 84
not been highly regarded in 125
not been issued pursuant to 227
not been killed outright by 71
not been linked directly to 127
not been overly generous in 56
not been partly concealed by 42
not been reached concerning the 309
not been readily accepted by 238
not been readily accepted in 69
not been solely confined to 69
not been sooner informed of 59
not been tested directly in 90
not been thought essential to 41
not been thought graceful in 55
not been thought improper to 41
not been thought possible to 138
not been treated properly by 92
not been treated seriously by 66
not been unduly affected by 77
not been unduly troubled by 47
not been viewed recently by 113
not been warmly received by 168
not been warmly received in 60
not been warmly welcomed by 47
not been wholly absorbed in 129
not been wholly accepted by 82
not been wholly confined to 177
not been wholly deprived of 95
not been wholly ignorant of 45
not been wholly inactive in 43
not been wholly occupied by 78
not been widely accepted as 903
not been widely accepted by 840
not been widely accepted in 774
not been widely accepted or 121
not been widely deployed in 52
not been widely embraced by 135
not been widely employed as 44
not been widely employed in 410
not been widely examined in 50
not been widely explored in 113
not been widely followed in 61
not been widely observed in 69
not been widely regarded as 137
not been widely reported in 295
not been widely utilized by 52
not been widely utilized in 166
not been without attempts to 48
not been without efficacy in 210
not been without examples of 45
not been without intention in 63
not been without interest to 58
not been without problems in 52
not been without treatises on 68
not break without destroying the 52
not burn enough calories to 54
not call public attention to 42
not call special attention to 169
not done enough homework on 40
not draw enough attention to 46
not draw public attention to 53
not draw special attention to 125
not even always possible to 79
not even appearing conscious of 57
not even become conscious of 109
not even become involved in 43
not even direct intuition of 59
not even enough evidence to 55
not even muster enthusiasm to 41
not fail before adjourning to 86
not feel itself insulted in 45
not feel itself threatened by 51
not feel myself disposed to 139
not feel myself entitled to 194
not feel myself inclined to 82
not feel myself innocent of 61
not feel overly threatened by 48
not feel unduly threatened by 58
not find another instance of 57
not find another supplier of 66
not find anyone prepared to 54
not find direct evidence of 62
not find enough evidence to 536
not find itself affected in 40
not find myself deceived in 44
not find myself disposed to 221
not find myself inclined to 41
not find obvious evidence of 54
not gain enough altitude to 50
not give actual elegance or 135
not give direct evidence of 130
not give enough attention to 2141
not give enough credence to 101
not give enough emphasis to 373
not give enough evidence to 81
not give entire credence to 72
not give further attention to 91
not give further examples of 40
not give greater loudness or 41
not give orders directly to 101
not give proper attention to 1045
not give proper emphasis to 126
not give proper guidance to 56
not give serious attention to 357
not give special attention to 402
not give special emphasis to 58
not give special treatment to 233
not giving enough attention to 929
not giving enough emphasis to 57
not giving proper attention to 268
not giving serious attention to 42
not good design practice to 50
not good public relations to 62
not great enough seriously to 50
not have abrupt awakenings to 55
not have actual authority to 355
not have already poisoned the 43
not have another epidemic of 76
not have anyone assigned to 40
not have anyone specific in 40
not have become apparent in 47
not have become apparent to 42
not have become attached to 68
not have become conscious of 89
not have become entangled in 55
not have become involved in 738
not have become possible if 43
not have better evidence of 98
not have called attention to 224
not have direct authority to 92
not have direct evidence of 369
not have direct evidence on 121
not have direct evidence to 77
not have direct recourse to 68
not have enough aircraft to 86
not have enough altitude to 137
not have enough authority to 459
not have enough autonomy to 57
not have enough backbone to 70
not have enough bandwidth to 199
not have enough blankets to 55
not have enough buoyancy to 41
not have enough business to 287
not have enough calories to 47
not have enough capacity to 788
not have enough children of 52
not have enough children to 300
not have enough clearance to 45
not have enough distance to 77
not have enough education or 77
not have enough education to 501
not have enough elements to 59
not have enough engineers to 85
not have enough equations to 45
not have enough estrogen to 50
not have enough evidence at 90
not have enough evidence in 57
not have enough evidence of 106
not have enough evidence on 126
not have enough evidence to 5501
not have enough examples of 60
not have enough examples to 63
not have enough exposure to 181
not have enough fighters to 45
not have enough finances to 50
not have enough firewood to 41
not have enough gasoline to 149
not have enough infantry to 44
not have enough interest in 393
not have enough interest or 55
not have enough interest to 169
not have enough judgment to 48
not have enough leverage to 177
not have enough machines to 42
not have enough manpower or 46
not have enough manpower to 708
not have enough materials to 86
not have enough medicine to 44
not have enough mobility to 50
not have enough moisture in 86
not have enough moisture to 74
not have enough momentum to 258
