near before the lord and 130
near enough at hand for 134
near enough the truth for 204
near enough to call out 77
near enough to club him 64
near enough to come and 115
near enough to feel its 70
near enough to find out 497
near enough to fire her 47
near enough to fire with 110
near enough to give aid 41
near enough to give her 197
near enough to give him 214
near enough to give them 212
near enough to give you 94
near enough to grab him 42
near enough to great men 124
near enough to hail them 44
near enough to harm him 43
near enough to have any 86
near enough to have his 55
near enough to have its 58
near enough to help her 118
near enough to help him 107
near enough to help them 51
near enough to hold any 42
near enough to hold out 78
near enough to hurl his 47
near enough to keep her 43
near enough to keep him 323
near enough to keep them 68
near enough to kill him 106
near enough to kill one 51
near enough to kill them 117
near enough to kiss her 63
near enough to know how 57
near enough to know our 113
near enough to know that 121
near enough to make any 102
near enough to make her 139
near enough to make him 213
near enough to make his 169
near enough to make its 71
near enough to make one 47
near enough to make out 1478
near enough to make them 146
near enough to make this 63
near enough to make use 91
near enough to make you 51
near enough to meet all 65
near enough to note his 42
near enough to open her 64
near enough to open with 72
near enough to pick out 86
near enough to play with 98
near enough to reach her 73
near enough to reach him 147
near enough to reach his 50
near enough to reach out 275
near enough to reach them 256
near enough to save him 42
near enough to show that 256
near enough to sink two 76
near enough to speak and 122
near enough to speak her 46
near enough to speak with 178
near enough to stab him 60
near enough to stop him 48
near enough to take her 92
near enough to take his 46
near enough to take them 67
near enough to talk with 75
near enough to tell her 51
near enough to tell them 50
near enough to tell you 76
near enough to their own 98
near enough to throw him 50
near enough to throw his 96
near enough to town for 70
near future as more and 89
near future it will not 96
near future to work out 69
near future we will not 71
near future we will see 297
near places of work and 48
net amount at risk and 110
net amount of cash that 212
net amount of more than 79
net assets of less than 184
net assets of more than 185
net buyers of food and 44
net charge is zero and 124
net charge of zero and 69
net effect is such that 101
net effect of these and 312
net effect of these new 107
net effect of these tax 110
net effect of these two 5193
net effect of these was 45
net estate is less than 41
net impact of these two 174
net income by more than 93
net income is less than 838
net income is more than 461
net income is paid out 85
net income is used for 71
net income of less than 791
net income of more than 1121
net income of those who 62
net income or gain for 153
net income or loss and 380
net income or loss for 1491
net income or loss that 174
net inflow of gold and 59
net losses of more than 61
net profit is less than 102
net profit of less than 177
net profit of more than 1024
net profit or loss and 152
net profit or loss for 2219
net profit or loss may 43
net profit or loss per 74
net profit or loss that 166
net profit or loss was 48
net result of more than 66
net result of these and 375
net result of these new 77
net result of these two 1898
net result of what has 49
net return is less than 53
net return of less than 108
net return of more than 109
net return to land and 53
net should be used for 42
net source or sink for 64
net torque is zero and 52
new bishop of rome for 47
new bodies of their own 41
new bottle of wine and 70
new building is ready for 63
new building of their own 86
new burden of debt and 40
new career of arms was 72
new career of fame was 74
new chance in life and 40
new charge of fuel and 44
new church of their own 205
new church of those who 55
new cities of their own 44
new clothes to show off 112
new cohort of young men 41
new colony of their own 51
new comers to look out 41
new course of life and 297
new course of life with 142
new crutch to walk with 43
new design of vast and 47
new detail of evil beat 40
new device to throw them 57
new duties as best she 41
new duties on beer and 43
new duties on wool and 94
new edition is coming out 51
new edition of these and 60
new edition of these two 73
new edition of what has 49
new edition the book has 229
new edition the text has 158
new edition the work has 114
new effigy at next year 46
new empire of peace and 104
new empire of their own 43
new errors of their own 60
new family of their own 126
new fashion by making his 80
new fields of wealth and 90
new fields of work and 151
new fields of work for 84
new figure of their own 126
new findings by saying that 53
new findings of fact and 141
new forces at work and 62
new friend is like new 78
new friend so much that 49
new friend to help him 79
new friend to play with 78
new garden of eden and 42
new gospel of love and 41
new gospel of peace and 52
new gospel of their new 55
new grants of land and 102
new ground in dealing with 128
new ground in their own 47
new groups of their own 76
new habits of life and 181
new habits of life are 115
new habits of mind and 132
new habits of work and 66
new habits the body then 104
new houses of their own 54
new images of self and 48
new issues of debt and 138
new issues of their own 54
new layers of bone are 89
new layers of meaning and 141
new layers of meaning are 53
new layers of meaning that 90
new layers of wood and 179
new layers of wood are 87
new levels of depth and 44
new levels of health and 48
new levels of love and 42
new levels of meaning and 173
new levels of wealth and 61
new levies of wits all 56
new manner of dealing with 79
new manner of life and 77
new manner of living and 80
new market or giving him 45
new maxims to those who 63
new medium of film and 47
new medium of radio and 66
new medium of radio was 73
new member of your team 101
new member to take his 55
new methods in dealing with 84
new methods in their own 62
new methods of acting and 56
new methods of aiding and 49
new methods of caring for 119
new methods of coping and 54
new methods of coping with 364
new methods of curing and 47
new methods of dealing with 1808
new methods of land use 61
new methods of living and 63
new methods of making and 49
new methods of making war 51
new methods of mining and 134
new methods of their own 101
new methods of waging war 139
new methods of work and 613
new methods of work are 113
new methods on their own 64
new methods to cope with 160
new methods to meet new 139
new misery to those who 57
new mission in life was 51
new models of care and 84
new models of care for 61
new models of care that 53
new models of cars and 98
new models of their own 59
new motors to make his 101
new nations of india and 169
new nations of south asia 51
new needle is used for 41
new notions of time and 58
new opinion of those who 41
new phases of life and 68
new places of work and 67
new places to live and 147
new places to look for 84
new plants of their own 40
new plants the next year 59
new plants to make him 74
new points of view and 2242
new points of view are 568
new points of view can 62
new points of view for 380
new points of view had 82
new points of view may 125
new points of view not 44
new points of view than 51
new points of view that 688
new points of view with 144
new policy in dealing with 132
new policy of dealing with 83
new policy of peace and 64
new policy to cope with 47
new powers of mind and 47
new powers to cope with 51
new priest to whom all 45
new proofs of their zeal 80
new proofs of your zeal 50
new reality of their own 40
new record of more than 56
new regime in iraq had 52
new regime in syria was 80
new regime of peace and 47
new regions of gold and 74
new ribbon or gown was 50
new routes to india and 157
new scenes in life and 47
new scenes of life and 49
new scheme of faith can 75
new scheme of life that 231
new scheme of paying men 129
new scheme of their own 85
new scheme of work for 45
new school of poets and 83
new school of poets had 47
new school of poets has 42
new school of poets was 66
new school of poets who 53
new school of their own 57
new school of what has 80
