near seeing a leopard kill 60
nor even a twelfth part 67
nor have a clearer duty 64
nor have i myself ever 42
nor take a singular verb 327
nor will i betray those 45
nor will i borrow their 50
nor will i except even 88
nor will i insist upon 56
nor will i permit such 85
nor will i shrink from 151
not been a better time 60
not been a letter from 80
not been a little girl 108
not been a little more 466
not been a little slow 41
not been a moment when 295
not been a pressing need 40
not been a pretty girl 41
not been a retreat from 43
not been a second time 80
not been a serious threat 152
not been a simple case 53
not been a simple task 328
not been a special kind 47
not been a virgin when 245
not been a widely used 112
not been i should have 59
not call a second time 102
not care a bloody damn 53
not care a bugger what 91
not care a button what 717
not care a copper what 41
not cast a shadow over 472
not cast a shadow upon 206
not cast a shadow when 52
not cast a thought upon 47
not come a second time 933
not come i should have 319
not cure a broken heart 68
not dart a keener gaze 40
not deny a future life 56
not done a little more 151
not done a little wrong 47
not draw a bright line 213
not draw a decent breath 47
not draw a direct line 61
not draw a dividing line 145
not draw a lesson from 84
not draw a profit from 48
not draw a salary from 126
not draw a second card 59
not draw a strict line 86
not drop a client like 47
not even a broken heart 52
not even a bubble rose 76
not even a button will 47
not even a cannon shot 40
not even a common name 49
not even a credit card 51
not even a decent pair 64
not even a glance from 71
not even a letter from 226
not even a little bird 91
not even a little dust 62
not even a little finger 93
not even a little girl 90
not even a little hare 73
not even a little room 40
not even a little sand 46
not even a memory will 43
not even a mortal beast 123
not even a mortal soul 59
not even a murmur from 44
not even a nobler form 78
not even a potato paring 50
not even a prayer book 54
not even a proper name 117
not even a proper road 60
not even a proper word 85
not even a ramrod left 50
not even a remote hint 54
not even a remote hope 50
not even a ripple upon 77
not even a special name 55
not even a swimming pool 55
not even a tragic hero 81
not face a serious threat 58
not fail a second time 339
not fall a second time 86
not feel a little more 46
not feel a pressing need 170
not feel i should have 293
not feel i should leave 51
not feel i should make 41
not feel i should take 66
not file a flight plan 231
not find a better book 98
not find a better case 113
not find a better girl 50
not find a better home 171
not find a better means 91
not find a better name 144
not find a better spot 170
not find a better term 199
not find a better time 189
not find a better wife 165
not find a better word 1120
not find a chance there 131
not find a closed form 52
not find a direct link 73
not find a letter from 174
not find a little time 44
not find a matching pair 43
not find a palace like 143
not find a refuge from 51
not find a richer wife 83
not find a second wind 40
not find a square inch 54
not find a yellow lady 40
not find i answer your 41
not fire a second shot 63
not fire a second time 167
not form a closed loop 208
not form a direct part 71
not form a double bond 51
not form a proper part 48
not form a united body 44
not free a person from 127
not from a broken heart 42
not from a broken home 48
not give a better sort 40
not give a better view 50
not give a bloody damn 829
not give a bugger what 199
not give a direct reading 51
not give a fellow much 111
not give a goddam what 207
not give a little more 211
not give a person much 50
not give a remedy when 75
not give a second dose 54
not give a second look 130
not give a silent vote 282
not give a special name 41
not glean a goodly crop 68
not gone a little over 70
not half a furlong from 45
not half a minute from 51
not have a backup copy 150
not have a backup plan 196
not have a barren acre 50
not have a better ally 48
not have a better book 74
not have a better fate 53
not have a better home 57
not have a better life 329
not have a better name 223
not have a better plan 252
not have a better test 55
not have a better time 369
not have a better view 63
not have a better wife 51
not have a better wish 41
not have a better word 94
not have a bloody clue 176
not have a boarding pass 102
not have a bottom line 219
not have a broken bone 61
not have a broken heart 143
not have a broken neck 43
not have a brother like 62
not have a bullet hole 88
not have a camera crew 44
not have a career plan 60
not have a carnal mind 40
not have a catchy name 53
not have a causal role 105
