nature which 76 nature which 47
needed costs 45 needed funds 40
notice known 128 notions which 80
number fired 86 number given 68
number which 80 number about 107
number within 68 number which 70
number upset 43 number about 137
number after 54 number every 98
number since 78 number under 53
number bound 68 number cases 62
number cases 45 number would 114
number which 111 number agent 68
number cases 58 number lines 108
number units 67 number towns 40
number which 62 number could 63
number spent 128 number banks 101
number farms 58 number which 97
number firms 98 number units 59
number cells 64 number which 119
number calls 71 number which 40
number works 196 number books 51
number round 69 number round 167
number about 137 number about 42
number terms 52 number forms 72
number kinds 157 number meanings 55
number types 147 number types 40
number banks 50 number which 107
number which 50 number which 52
number flies 44 number firms 50
number towns 72 number units 187
number which 133 number units 151
number owned 84 number units 120
number which 41 number which 83
number which 46 number which 82
number which 56 number banks 52
number bands 85 number turns 109
number which 74 number about 42
number under 78 number bound 322
