nail the merry squires to 56
name at first applied to 71
name at jesus college in 59
name at sight figures up 172
name by signing witness in 43
name by which members of 69
name in black letters on 95
name in block letters on 102
name in every quarter of 58
name in every subject to 47
name in every variety of 107
name in large letters at 76
name in large letters in 143
name in large letters of 50
name in large letters on 587
name in small letters on 50
name in white letters on 105
name is again implied by 45
name is found written in 291
name is given according to 132
name is given because it 60
name is given because of 259
name is given because the 228
name is known outside the 40
name is never applied to 140
name is never written in 51
name is often applied in 54
name is often applied to 1981
name is often written in 57
name is quite familiar to 110
name is quite unknown to 90
name is still anathema to 53
name is still applied to 454
name is still carried on 54
name is still familiar in 102
name is still familiar to 129
name is still honored in 90
name is still popular in 63
name is still revered by 99
name is still revered in 197
name is still unknown to 123
name it still retains in 54
name no longer appeared in 199
name no longer appeared on 336
name of banks appeared on 46
name of civil liberty to 41
name of clive quelled in 155
name of david balfour is 46
name of either husband or 54
name of either printer or 57
name of every citizen of 45
name of every officer in 66
name of every soldier in 314
name of every species of 53
name of every student in 93
name of every village in 42
name of george osborne in 43
name of islam against the 60
name of jesus against the 53
name of jesus equally so 46
name of jesus written in 87
name of jesus wrought in 127
name of queen victoria is 45
name of queen victoria on 41
name of roger williams at 58
name of seven millions of 59
name of social justice is 68
name of social justice or 82
name of social justice to 44
name of social science is 49
name of spain previous to 83
name of which carries us 49
name of which escapes me 392
name of which recalls the 91
name or email address of 61
name so often applied to 100
name the chief benefit of 91
name the chief justice of 106
name the seven wonders of 97
name to large numbers of 86
neck of pride severed by 52
need be drawn between the 388
need be large numbers of 108
need be shown between the 48
need be taken account of 197
need be taken against the 59
need no longer attempt to 179
need no longer believe in 99
need no longer concern us 382
need no longer conform to 128
need no longer despair of 46
need no longer observe the 92
need no longer operate to 52
need no longer pretend to 514
need no longer scruple to 58
need no longer trouble to 123
need no longer trouble us 129
need no money stamped of 60
need of anything outside of 46
need of either friends or 81
need of every society to 50
need of funds because of 51
need of large amounts of 575
need of large numbers of 493
need of major repairs or 272
need of money because of 121
need of moral support to 40
need of social control as 56
need of strong measures to 42
need of throwing herself on 62
need of trade between the 81
need of varying degrees of 46
need of words between us 222
need of yours according to 522
need the extra support of 74
