naiad rising from the waves 52
name came from an indian 65
name came from the bible 44
name came from the dutch 92
name came from the first 112
name came from the greek 398
name came from the indian 91
name came from the latin 343
name came from the title 88
name coming from the greek 145
name coming from the latin 128
name from congo to zaire 58
name from having the value 56
name from left to right 228
name great among the heathen 61
name heard among the people 51
name like smith or jones 157
name meant nothing to either 120
name only once or twice 46
name some mark by which 45
name some ways in which 166
name those laws or rules 123
name three ways in which 48
name when life is ended 74
name will also be found 71
name will come up again 117
name will make it easier 129
navy back into the thames 78
navy bore down to visit 75
navy fall into the hands 45
navy must have the casting 85
neck deep into the water 40
neck from back to front 57
neck from left to right 413
need ever know of event 46
need have been no doubt 52
need have felt no alarm 108
need help coming to terms 51
need help during the night 46
need help from an adult 193
need help from my chair 72
need help from the local 73
need help from the people 45
need help from the state 213
need help when it comes 185
need more data in order 59
need more depth of field 42
need more help in learning 82
need more over the whole 96
need more room to write 87
need more time in order 92
need more time in which 173
need more time to adapt 79
need more time to build 98
need more time to gather 94
need more time to grasp 46
need more time to relax 105
need more time to spend 95
need more time to study 655
need more time to write 182
need nothing else in order 65
need only cite the names 47
need only cite the words 41
need only draw the given 48
need only find the right 110
need only have the right 64
need only hint the value 73
need only know the rules 40
need only know the value 122
need only make the change 90
need only make the point 42
need only note in passing 203
need only open the pages 40
need only scan the pages 88
need only take the first 122
need only think in terms 153
need only turn the pages 404
need only type the first 132
need some form of social 174
need some help at first 47
need some help in finding 228
need some help in getting 268
need some help in learning 386
need some help in order 193
need some help in thinking 44
need some kind of legal 50
need some kind of light 43
need some kind of model 128
need some kind of order 56
need some kind of power 147
need some kind of proof 247
need some kind of social 118
need some kind of weapon 42
need some means by which 127
need some means of getting 48
need some sort of guide 213
need some sort of proof 60
need some sort of social 46
need some time in which 84
need some time to adapt 93
need some time to build 103
need some time to catch 227
need some time to change 44
need some time to check 40
need some time to gather 58
need some time to relax 156
need some time to study 116
need stay here no longer 94
need their help in getting 51
need their help in order 56
need vast sums of money 54
need your help in finding 518
need your help in getting 423
need your help in keeping 55
need your help in learning 185
need your help in order 174
need your help in solving 128
need your help in working 45
need your help so badly 190
need your help to carry 104
need your help to catch 62
need your help to fight 42
need your help to prove 63
need your help to solve 101
nest fell into the water 132
nets back into the water 91
nets hanging from the ceiling 141
nets were used to catch 264
news came down the river 59
news came from the coast 53
news came from the front 346
news came from the mayor 44
news came over the wires 386
