new firms would quickly enter 42
new social order brought about 168
not above eight hundred strong 96
not above seven hundred white 68
not appear until decades after 52
not appear until several hours 250
not appear until several months 288
not appear until several weeks 335
not appear until shortly after 99
not argue within himself after 57
not begin until several hours 67
not begin until several months 107
not begin until several weeks 75
not begin until shortly after 70
not change while classes exist 96
not easily thrust himself within 52
not enter every private house 41
not occur until several hours 357
not occur until several months 230
not occur until several weeks 236
not occur until shortly after 69
not under civil service rules 63
not until after several hours 84
not until after several months 121
not until after several weeks 119
not whose hands profane plant 96
not worry about anybody getting 57
