gelatinous animal substances 56
generalist insect herbivores 119
generality through abstraction 46
generalize across industries 50
generalize across populations 75
generalize beyond particular 55
generalize without sufficient 106
generalizing across populations 82
generations before shakespeare 50
generations follow generations 44
generations through individual 120
generations without compromising 442
generations without conjugation 127
generations without recompense 89
generative causal mechanisms 89
generosity almost unexampled 56
generosity begets generosity 101
generosity whereon generosity 41
generosity without ostentation 55
generously shared information 499
gentleness begets gentleness 98
geographers became interested 75
geometrical design parameters 101
geometrical factor determined 61
geometrical figure representing 105
geometrical optics description 49
geophysical survey techniques 171
governance reform initiatives 132
governance through democratic 143
governance through legislation 42
governance without government 6116
government acreage allotments 46
government actions regardless 250
government actions undertaken 94
government agency activities 100
government agency controlled 45
government agency designated 88
government agency determines 296
government agency guarantees 140
government agency implementing 49
government agency information 155
government agency interested 175
government agency management 46
government agency obligations 147
government agency regulations 182
government agency representing 65
government agency securities 1705
government agents discovered 127
government allows businesses 43
government almost completely 238
government almost everywhere 170
government almost immediately 648
government almost impossible 542
government almost inevitable 43
government almost inevitably 90
government already controlled 175
government already proclaimed 40
government already recognized 68
government already subsidizes 41
government always considered 66
government always maintained 131
government always recognized 71
government appears determined 199
government backed securities 46
government became absolutely 58
government became accustomed 44
government became acquainted 73
government became completely 90
government became constantly 56
government became democratic 86
government became determined 104
government became entrenched 63
government became essentially 75
government became frightened 95
government became identified 80
government became immediately 53
government became imperative 74
government became impossible 329
government became inevitable 176
government became interested 1128
government became intimately 59
government became operational 40
government became oppressive 73
government became preoccupied 147
government became relatively 47
government became stabilized 50
government became synonymous 82
government became tyrannical 43
government became understood 56
government become constantly 41
government become uncombined 50
government before publication 140
government better calculated 798
government bodies introduced 48
government bonded warehouses 96
government budget allocations 1026
government budget constraint 33064
government budget information 46
government budget management 50
government building inspectors 72
government building regulations 58
government carrying prosperity 86
government census statistics 92
government changed frequently 41
government clearly considered 52
government clearly recognized 179
government clearly recognizes 78
government clearly understood 299
government coffee plantations 65
government county government 63
government created incentives 61
government creates incentives 46
government credit activities 44
government credit assistance 63
government credit facilities 413
government credit guarantees 557
government credit institution 231
government crisis management 133
government decree establishing 62
government decree prohibited 54
government deemed appropriate 115
government defers habitually 47
government demand management 423
government depend absolutely 105
government direct investment 265
government enacts legislation 120
government equity investment 107
government export assistance 174
government export corporation 117
government export incentives 145
government export regulations 77
government failed completely 157
government family allowances 65
government firmly controlled 98
government firmly entrenched 51
government firmly maintained 57
government fiscal activities 490
government fiscal incentives 258
government fiscal management 240
government forces approached 64
government forces controlled 165
government forces eventually 68
government forces recaptured 109
government forces suppressed 45
government forces surrounded 69
government forest department 70
government forest management 167
government formal recognition 53
government formed immediately 41
government funded activities 43
