gaiety were interludes 81
gained clear recognition 44
gained during employment 72
gained during interviews 130
gained early acceptance 148
gained early distinction 86
gained early experience 394
gained early popularity 83
gained early prominence 118
gained early recognition 292
gained fire superiority 186
gained flying experience 40
gained from acceptance 52
gained from activities 155
gained from analytical 88
gained from application 161
gained from appropriate 96
gained from assessment 247
gained from attendance 142
gained from benchmarking 79
gained from collective 166
gained from combination 43
gained from comparison 252
gained from competition 121
gained from constructing 181
gained from consumption 168
gained from continuous 131
gained from contributing 48
gained from controlled 196
gained from cooperation 460
gained from coordinating 146
gained from devaluation 65
gained from diplomatic 49
gained from discussions 577
gained from distinguishing 82
gained from ecological 43
gained from educational 190
gained from electronic 130
gained from employment 241
gained from encounters 73
gained from entertaining 147
gained from establishing 295
gained from evaluations 53
gained from examination 708
gained from excavations 112
gained from experience 8270
gained from experiencing 196
gained from experiment 223
gained from exploration 129
gained from familiarity 129
gained from friendship 94
gained from generations 52
gained from government 672
gained from historical 360
gained from immigration 156
gained from implementing 467
gained from indigenous 45
gained from individual 566
gained from informants 100
gained from information 798
gained from instruction 161
gained from integrated 106
gained from integration 168
gained from interaction 453
gained from interpreting 85
gained from interviewing 341
gained from interviews 1488
gained from investment 208
gained from laboratory 1042
gained from literature 342
gained from management 100
gained from manipulating 73
gained from measurement 125
gained from mechanical 47
gained from membership 467
gained from metabolism 57
gained from negotiations 71
gained from newspapers 97
gained from observation 3549
gained from operational 50
gained from particular 188
gained from phantasies 50
gained from philosophy 189
gained from productive 42
gained from psychology 208
gained from recognition 93
gained from references 78
gained from relatively 121
gained from resistance 53
gained from satellites 42
gained from scientific 510
gained from simulations 45
gained from specialized 66
gained from speculation 115
gained from spontaneous 45
gained from statements 79
gained from statistics 169
gained from structural 73
gained from structured 96
gained from subjective 45
gained from subsequent 146
gained from substituting 50
gained from successful 402
gained from successive 111
gained from superficial 50
gained from systematic 212
gained from technology 261
gained from therapeutic 57
gained from traditional 303
gained from transferring 71
gained from transforming 53
gained from transporting 49
gained from uniformity 48
gained from university 41
gained from volunteering 55
gained full acceptance 659
gained full ascendancy 77
gained full confidence 250
gained full experience 47
