objected many damned things that 51
observer from noticing that his 45
obsolete even before they are 106
obtained from plants that are 75
obtained from someone who has 74
obtained great credit for his 61
obtained great praise for his 132
obtained great repute for his 58
obtained much credit for his 49
obtained nothing higher than one 91
obtained some supply for his 73
obtained such credit with him 62
obviously been watching for her 47
obviously much better off than 57
obviously much greater than that 431
obviously much higher than that 101
obviously much larger than that 89
obviously very pleased with his 67
occupied more evenings than one 42
occurred just before his death 77
occurred much earlier than that 68
occurred when galileo and his 45
offended more senses than one 42
officers have stated that they 44
officers went before them with 60
officers were killed and one 70
officers were killed and two 294
officers were pleased with this 54
officers were warned that they 68
officials also stated that they 60
officials have stated that they 238
officials have stated that this 50
operates three shifts per day 55
operation were greater than they 44
operator must ensure that all 53
ordinary meaning unless they are 42
original plan called for two 183
original were madder than this 87
otherwise have served him with 57
outdated even before they are 52
overthrew those cities and all 130
