oath to thee that i 93
odd it was for a 65
odd it was that a 213
odd it was that i 283
odd thing was that a 40
odd thing was that i 592
odd to her that a 47
odd to him that a 71
odd to say that a 537
odd to say that i 257
odd to you that a 91
odd to you that i 230
off an area for a 50
off an area with a 40
off an arm and a 137
off as his own a 95
off as not being a 40
off as she saw a 69
off at too low a 41
off by car for a 40
off by going for a 41
off he goes for a 44
off he goes with a 64
off if she had a 93
off if they had a 262
off if you are a 110
off if you had a 269
off in this way a 43
off in two and a 88
off my hat and i 86
off my hat with a 403
off my head and i 554
off my head for a 209
off my head with a 439
off my lap and i 45
off of her for a 75
off of her with a 74
off of him and i 59
off of him for a 128
off of him with a 55
off of them for a 72
off of things for a 51
off of you for a 62
off on his own a 129
off on its way a 63
off on that for a 220
off on top with a 65
off so long that i 134
off the air and a 43
off the air and i 185
off the air for a 1598
off the air with a 288
off the area for a 49
off the area with a 223
off the arm with a 95
off the bag with a 48
off the bar with a 218
off the bat and i 125
off the bat that i 613
off the bat with a 246
off the bed and a 182
off the bed and i 442
off the bed for a 209
off the bed with a 1414
off the bow with a 114
off the box with a 54
off the bus and i 526
off the bus for a 319
off the bus was a 51
off the bus with a 384
off the cap with a 225
off the car with a 186
off the cob with a 209
off the day with a 1460
off the dog with a 90
off the ears with a 146
off the earth with a 52
off the end for a 130
off the end with a 978
off the fat with a 283
off the few men i 47
off the gas for a 125
off the gas with a 58
off the gun with a 49
off the hat with a 42
off the head and a 90
off the head with a 1256
off the heat for a 292
off the ice and i 57
off the ice for a 165
off the ice with a 214
off the idea that a 140
off the idea that i 134
off the idea with a 107
off the ink with a 151
off the job for a 910
off the job with a 289
off the leg for a 146
off the lid with a 261
off the lot with a 199
off the map for a 54
off the map with a 58
off the meal with a 994
off the meat with a 46
off the mud with a 142
off the oil with a 288
off the path for a 166
off the path with a 43
off the rim with a 53
off the rod with a 43
off the seat and i 40
off the seat with a 366
off the set for a 155
off the set with a 198
off the song with a 45
off the sun and a 105
off the sun with a 124
off the team for a 54
off the tee and a 204
off the tee with a 292
off the tip with a 305
off the top and a 72
off the top for a 61
off the top with a 1778
off the two and a 113
off the war for a 192
off the wax with a 150
off the wet things i 40
off the year with a 558
off to ask for a 44
off to bath for a 43
off to bed and a 112
off to bed and i 440
off to bed for a 546
off to bed with a 1316
off to buy her a 151
off to buy him a 45
off to deal with a 423
off to die for a 43
off to get her a 243
off to get him a 196
off to get you a 145
off to her with a 106
off to him with a 103
off to pay for a 40
off to pay him a 41
off to say that i 45
off to them with a 94
off to try for a 88
off to war and i 204
off to war for a 47
off to war with a 626
oil or gas for a 45
old as any that i 53
old as you and i 132
old as you are i 49
old if she was a 147
old king lear and a 73
old to say that a 48
one as yet had a 177
one as you and i 56
one at all but a 56
one at all that i 92
one at two and a 44
one by one and a 437
one by one and i 540
one by one for a 460
one by one that i 100
one by one using a 156
one by one was a 58
one by one with a 6411
one do that for a 53
one ear and had a 44
one he had had a 92
one he had was a 66
one he saw was a 54
one if you are a 329
one if you had a 46
one in man and a 44
one in may and a 41
one in one and a 54
one in six and a 46
one in six had a 64
one in six has a 41
one in six was a 85
one in ten and a 49
one in ten had a 249
one in ten has a 229
one in ten that a 81
one in ten that i 55
one in ten was a 260
one in two and a 203
one in two that a 59
one is fit for a 44
one is going for a 61
one is ill with a 41
one is met with a 333
one is not doing a 42
one is not using a 179
one is not yet a 240
