of abigail and john adams 297
of ability and good sense 93
of ability who have often 60
of abortion for poor women 124
of abraham and have never 169
of absence for five months 104
of absence for four months 341
of absence for four weeks 56
of absence for nine months 83
of absence for some months 111
of absence for such period 50
of absence for three months 752
of absence for three weeks 149
of absence had been given 42
of absence has been given 54
of accepting and giving legal 91
of account and other books 293
of account has been found 58
of acetate and other short 52
of achieving this goal would 149
of acquiring with other people 135
of adamant and gold built 203
of adamant that will touch 43
of address and data buses 59
of address and data lines 98
of address for three months 495
of adoption has been given 43
of affairs are also given 99
of affairs are well known 51
of affairs can come about 138
of affairs can only exist 55
of affairs had been flowing 46
of affairs had been given 50
of affairs had been known 109
of affairs had been taken 55
of affairs had come about 834
of affairs had ever dared 51
of affairs has been changing 44
of affairs has been found 100
of affairs has been noted 56
of affairs has been shown 51
of affairs has come about 1533
of affairs may come about 124
of affairs was even worse 271
of affairs was made known 90
of affairs was made worse 57
of affairs was taking place 54
of affairs was well known 68
of affairs with other women 151
of african and asian people 59
of african and asian women 74
of african and third world 387
of african and west indian 833
of agility and such spins 48
of alanine and other amino 133
of albumin and other serum 90
of albumin and tube casts 124
of alcohol and drug abuse 24024
of alcohol and drug testing 79
of alcohol and drug usage 61
of alcohol and drug users 67
of alcohol and ether which 53
of alcohol and hard drugs 47
of alcohol and other drugs 13951
of alcohol and other forms 55
of alcohol and other legal 141
of alcohol and some drugs 97
of alcohol and three parts 55
of alcohol are well known 178
of alcohol had been added 47
of alcohol had been taken 69
of alcohol has been added 320
of alcohol has been found 192
of alcohol has been shown 201
of alcohol has been taken 101
of alcohol may also cause 49
of alcohol with other drugs 184
of alfalfa and other crops 124
of alfalfa and wheat growing 51
of alumina and iron oxide 632
of alumina and other bases 57
of alumina and zinc oxide 91
of ambition and envy would 53
of ambition and high hopes 42
of ambition and vain glory 56
of america and many others 46
of america and other banks 73
of america and other lands 102
of america and other parts 410
of america and their times 559
of america and those which 80
of america are well known 49
of america for such period 53
of america for their noble 269
of america had just begun 47
of america has been built 99
of america has been given 54
of america has been known 41
of america may take place 99
of america that most people 98
of america that there could 67
of america with their blood 76
of analogy has been given 44
of ancient and rare works 50
of animals and even human 66
of animals and other forms 63
of animals and their homes 41
of animals and their parts 221
of animals and their place 51
of animals and wild beasts 69
of animals are also found 54
of animals are those which 80
of animals are well known 52
of animals for their pelts 60
of animals had been found 43
of animals has been found 147
of animals has been shown 108
of animals that have lived 189
of animals that have never 61
of animals that live under 51
of animals that look alike 46
of animals that once lived 205
of animals that were found 46
of animals that were given 298
of animals that were known 73
of animals that when failing 47
of animals with hard parts 143
of animals with their names 51
of animist and other minor 47
of answering she came nearer 94
of answers has been given 121
of antennae and three pairs 185
of antigen has been shown 51
of antique and gift shops 62
of anxiety and even panic 71
of anxiety for many people 79
of anxiety for most people 47
of anxiety for some months 41
of anxiety has been found 45
of anxiety has been shown 57
of anybody that will mount 62
of apology for having taken 47
of apricot and peach trees 80
of apricot and plum trees 40
of aquifer per unit change 79
of arrests for drug abuse 45
of arsenic and other drugs 52
of arsenic and other toxic 44
of arsenic had been found 106
of arsenic had been taken 70
of arsenic has been added 59
of arsenic has been found 76
of artists and their lives 55
of artists and their works 618
of artists who have found 45
of artists who have given 49
of artists who have lived 82
of artists who have never 59
of artists who were working 60
of aspirin and other drugs 149
of aspirin has been shown 83
of assigning any good reason 121
of assigning any other reason 120
of attaching too much value 52
of attacking them next morning 49
of attacks that took place 51
of auditor has been given 122
of babylon had been built 50
of babylon has laid siege 52
of bacteria and fungi found 61
of bacteria and fungi which 239
of bacteria and other cells 173
of bacteria and other forms 91
of bacteria and other germs 114
of bacteria and other micro 1072
of bacteria and other small 123
of bacteria and their germs 62
of bacteria and their parts 87
of bacteria and their toxic 60
of bacteria and wild yeasts 49
of bacteria and yeast cells 85
of bacteria has been found 96
of bacteria has been shown 106
of bacteria may take place 45
of bacteria that have grown 56
of baggage this army takes 43
of baghdad and other iraqi 65
of bahrain and have ruled 65
of balance and good taste 44
of balancing that single force 50
of ballads and songs which 62
of bamboos and other trees 89
of bamboos and palm leaves 99
of bananas and other crops 67
of bananas and other fruit 161
of bargain and sale dated 69
of bargain and sale under 58
of bargain and sale which 76
of barrier had been reared 183
of battles that took place 122
of beatrice and john whiting 41
of beaufort and port royal 66
of beaumont and port arthur 78
of beetles and their larvae 178
of beggars and poor people 70
of beginning all over again 589
of beginning and ending dates 54
of behavior are well known 53
of behavior can take place 58
of behavior for young people 67
of behavior has been found 139
of behavior has been given 42
of behavior has been noted 71
of behavior has been shown 83
of behavior may take place 55
of behavior that brings about 40
of behavior that fall under 43
of behavior that many people 53
of behavior that most people 55
of behavior that take place 73
of behavior that were binding 116
of behavior that will allow 77
of behavior that will occur 53
of behavior that will serve 43
of belfast and other towns 59
of belgium and other small 64
of beliefs and ideas about 190
of beliefs and ideas which 147
of beliefs and laws shows 58
of beliefs you have about 44
