obligingly by 231 obligingly by 42
obtained king 430 obtained do 169
obtained so 2121 obtained the 83
obtained in 209 obtained on 926
obtained the 45 obtained to 2209
obtained up 207 obtained the 49
obtained by 679 obtained in 245
obtained on 100 obtained king 245
obtained ms 49 obtained ring 46
obtained thing 43 obtained the 42
obtained in 54 obviously to 43
obviously in 82 obviously king 63
obviously so 54 occupied be 83
occupied the 127 officers to 737
officers king 934 officers the 45
officers the 57 officials king 721
operates be 46 operation the 45
opposite the 130 opposite the 133
opposite the 189 opposite to 564
opposite on 68 ordinary the 41
ordinary the 53 ordinary king 42
organize to 43 organize to 118
organize to 475 organize it 55
organize the 48 organizing to 50
original the 66 original the 67
original the 49 original be 43
original thing 66 original as 117
original the 47 original the 72
original the 100 original be 49
original the 47 otherwise so 135
otherwise in 77 otherwise the 59
otherwise so 55 otherwise king 47
otherwise so 45 otherwise so 112
otherwise the 86 otherwise by 44
otherwise to 52 overriding the 104
