of acid products from fats 41
of aids patients have been 112
of aids patients will have 41
of arab soldiers came upon 48
of army officers took over 41
of asking questions like these 53
of bearing children from jobs 50
of best practice from other 44
of bird migration have been 44
of bone formation have been 55
of bone formation over bone 42
of bone turnover have been 43
of bringing distress upon those 51
of cash receipts from farm 211
of cash receipts over cash 262
of cell cultures have been 45
of city dwellers live more 84
of clay minerals have been 138
of coke obtained from coal 41
of coming straight home from 65
of cost accounting have been 66
of data analysis have been 221
of data analysis were used 102
of data obtained from many 67
of data obtained from other 127
of data obtained from such 312
of data obtained from these 292
of data obtained from three 90
of data processing have been 120
of data received from these 59
of down syndrome have been 42
of drug addiction among young 74
of drug addiction have been 52
of drug therapies have been 46
of drug treatment have been 53
of early american folk arts 100
of early education have been 77
of early education were more 113
of early hominids have been 57
of early medieval north india 139
of early medieval south india 198
of even moderate size will 48
of even secretly sold their 46
of farm families have been 101
of farm products have been 290
of farm products rose from 62
of farm products rose more 47
of farm products were high 43
of farm products were sold 41
of felt affinity over such 44
of five business days from 62
of five business days prior 56
of five children born into 76
of five children ranging from 56
of five quarters when corn 74
of flying machines will have 51
of food consumed away from 100
of food materials have been 49
of food prepared away from 84
of food products have been 215
of food products made from 142
of food requires much more 46
of food supplies have been 43
of four children born into 67
of four trumpets from four 41
of free commerce fell once 80
of free radicals have been 155
of full thickness skin loss 93
of fungi isolated from soil 42
of gene products have been 42
of gene transfer have been 104
of giving yourself some time 54
of gold smuggled into india 55
of gold sparkled like hoar 52
of good authority have said 44
of good occlusion from birth 54
of good ordinary food half 55
of good practice have been 169
of good prevailing over evil 102
of good triumphing over evil 1142
of great authority over their 46
of great authority there from 42
of great darkness came over 48
of great darkness fell upon 1144
of great eminence have been 76
of great eminence have laid 59
of great eminence were sent 64
of great interest also from 49
of great interest from many 163
of great interest from their 87
of great interest have been 388
of great interest were made 56
of great officers coming from 41
of great precision have been 44
of great richness have been 45
of great thickness have been 106
of having departed from those 52
of having deserted your lady 52
of having exchanged their home 57
of having returned from very 53
of having suffered much from 68
of having wandered away from 66
of health education have been 126
of health problems have been 101
of health problems ranging from 145
of health promotion have been 58
of health services have been 237
of heavy industry have been 77
of heavy industry rose from 42
of heavy ordnance have been 137
of high authority have held 135
of high officials have been 55
of high polymers have been 43
of high pressure lies over 51
of high pressure steam into 40
of hmong refugees during their 56
of hmong refugees from laos 72
of ideas borrowed from other 74
of ideas inferred from such 167
of iron absorbed from food 61
of iron prompted their rude 125
of knee injuries among high 44
of lake michigan have been 70
of lake michigan just north 51
of land projecting deep into 41
of land stretching back from 45
of land stretching north from 49
of land unjustly kept from 59
of leading citizens went into 44
of leading journals have been 51
of lens antennas have been 136
of life differed from their 49
of life differed from those 78
of life imported from other 155
of life imported into your 83
of life thundered into their 48
of like products when sold 269
of living creatures have been 120
of living creatures hold more 47
of living creatures moving from 41
of living creatures must have 42
of living creatures will live 65
of living securely among those 59
of living separate from their 40
of making converts from rome 41
of making everyone feel like 44
of making malleable cast iron 72
of male subjects into such 44
of many children have been 63
of many cultures have been 60
of many cultures have used 40
of many elements have been 118
of many families have been 56
of many materials have been 89
of many minerals have been 47
of many patients have been 45
of many products have been 54
of many proteins have been 103
of many scholars have been 54
of many thousands have been 68
of many thousands were hanging 51
of mass transfer have been 47
of meek outcasts there came 45
of mere children into their 56
of mere fondness from true 70
of milk obtained from cows 89
of mind entirely free from 44
of miss crawford once more 237
of miss shepherd having said 41
of more attention have been 93
of most beautiful fine clay 69
of most churches into half 69
of most interest have been 49
of most interest were those 52
of most sciences have been 57
of much interest have been 65
of naming initially only those 55
of next authority from years 63
of nine children born into 54
of north american boys during 92
of north american wild fowl 889
of north carolina have been 380
of north carolina having been 41
of north carolina there were 120
of north carolina were also 54
of north carolina were among 54
of north carolina were left 57
of north carolina were more 88
of oral tradition have been 53
of other agencies have been 78
of other antigens have been 41
of other articles have been 49
of other attempts have been 147
of other attempts were made 115
of other chapters have been 68
of other children have been 60
of other churches have been 52
of other cultures have been 106
of other cultures into their 87
of other elements have also 55
of other elements have been 271
of other examples from your 41
of other examples have been 104
of other families have been 67
of other families were also 40
of other functions have been 96
of other functions ranging from 45
of other hormones have been 49
of other languages have been 125
of other languages into their 80
of other materials have been 360
of other materials were also 62
of other materials were used 54
of other military arts will 53
of other minerals have been 133
of other mutations have been 47
of other passages have been 40
of other patients have been 42
of other peptides have been 50
of other policies have been 54
of other problems have been 141
of other problems ranging from 59
of other products have been 122
of other products made from 68
of other products ranging from 61
of other products were also 52
of other programs have been 114
of other projects have been 119
of other proteins have been 141
of other questions have been 99
of other religions have been 134
of other religions were also 41
of other remedies have been 109
of other scholars have also 99
of other scholars have been 84
of other services have been 43
