once jury 144 once fact 59
only single 47 only case 61
only life 405 only more 43
only most 40 only more 62
only truth 533 only vast 61
only rude 80 only sheaf 62
only kind 49 only single 55
only mind 43 only cure 47
only more 167 only faith 47
only more 51 only last 61
only single 535 only very 133
only form 40 only means 384
only more 324 only much 176
oral case 70 other more 52
other like 46 other like 47
other more 49 other like 79
other like 85 other more 111
other town 67 other means 90
other kind 52 other like 1213
other like 101 other work 60
other like 94 other like 43
other like 145 other kind 64
other like 40 other more 45
other like 62 other like 239
