of a and the complement 68
of a bag of fertilizer 113
of a bag of sovereigns 51
of a bar in compression 233
of a bar is determined 42
of a bar of rectangular 111
of a bar or restaurant 138
of a beam is determined 113
of a beam of circularly 53
of a beam of homogeneous 120
of a beam of rectangular 544
of a beam of ultrasound 55
of a beam of ultraviolet 90
of a bed is beautifully 48
of a being by aggregation 46
of a being is determined 44
of a being is equivalent 61
of a bit of excitement 80
of a bit of experience 43
of a bit of information 473
of a bit of literature 76
of a bit of protoplasm 90
of a box of cartridges 88
of a box of chocolates 586
of a box of cigarettes 130
of a box of cornflakes 68
of a boy is celebrated 101
of a bus in montgomery 397
of a can be calculated 787
of a can be considered 133
of a can be determined 983
of a can be identified 43
of a can of evaporated 66
of a car is determined 68
of a car or locomotive 107
of a car or motorcycle 161
of a cow is considered 43
of a cut in government 125
of a dam or embankment 46
of a day is considered 94
of a day is constantly 41
of a day of celebration 84
of a day of destruction 56
of a day of retribution 198
of a day to accomplish 57
of a day to deliberate 47
of a deal of outlandish 76
of a death by crucifixion 48
of a death or resignation 43
of a dog is stimulated 42
of a dog to accomplish 91
of a fat is determined 59
of a fear of competition 46
of a fear of loneliness 45
of a fear of persecution 171
of a fear of punishment 442
of a fear of retribution 52
of a fee as prescribed 69
of a few of shakespeare 73
of a fit of abstraction 89
of a fit of indigestion 127
of a fit of rheumatism 65
of a gang of desperadoes 488
of a gang of highwaymen 172
of a gang of kidnappers 58
of a gang of scoundrels 68
of a gang of terrorists 55
of a gas by compression 68
of a gas is calculated 53
of a gas is completely 64
of a gas is compressed 54
of a gas is considered 59
of a gas is determined 541
of a gas is diminished 60
of a gas is essentially 60
of a gas is influenced 59
of a gas is maintained 72
of a gas is relatively 61
of a god he reverences 152
of a god of retribution 46
of a gun of foreigners 48
of a head of department 924
of a head of government 1152
of a heap of firebrands 72
of a heap of newspapers 56
of a heap of undigested 51
of a jet of compressed 271
of a job is determined 170
of a job or retirement 42
of a lag in adjustment 42
of a law in accordance 108
of a law is determined 137
of a law is essentially 50
of a law of bankruptcy 45
of a law of compulsory 51
of a law of continuity 52
of a law of correlation 44
of a law of gravitation 302
of a law of historical 55
of a law of neutrality 46
of a law of obligations 97
of a law of precedence 54
of a law of recognition 55
of a law of settlement 135
of a law so completely 57
of a law to expropriate 51
of a leaf is determined 57
of a leaf is sufficient 44
of a leak of information 92
of a leap of imagination 102
of a lot of absolutely 112
of a lot of activities 71
of a lot of background 64
of a lot of businesses 69
of a lot of casualties 69
of a lot of competition 102
of a lot of confidence 98
of a lot of difference 1974
of a lot of discipline 42
of a lot of excitement 84
of a lot of experience 338
of a lot of foreigners 53
of a lot of frustration 108
of a lot of government 112
of a lot of historical 56
of a lot of imagination 64
of a lot of individual 208
of a lot of information 882
of a lot of literature 43
of a lot of newspapers 45
of a lot of politicians 58
of a lot of preparation 46
of a lot of punishment 49
of a lot of scientific 41
of a lot of speculation 96
of a lot of traditional 68
of a lot of unfinished 49
of a man as attributes 51
of a man as determined 66
of a man as interested 60
of a man as montgomery 49
of a man at moderately 261
of a man be sufficient 67
of a man he considered 218
of a man he recognized 106
of a man in comparison 52
of a man in misfortune 78
of a man is completely 49
of a man is considered 99
of a man is determined 586
of a man is essentially 48
of a man is frequently 53
of a man is manifested 49
of a man is sufficient 57
of a man is synonymous 93
of a man is unknowable 88
of a man of apparently 46
of a man of conscience 169
of a man of consummate 127
of a man of convictions 51
of a man of cultivated 271
of a man of cultivation 64
of a man of distinction 470
of a man of enterprise 50
of a man of exceptional 487
of a man of experience 850
of a man of imagination 256
of a man of importance 527
of a man of inflexible 81
of a man of literature 230
of a man of notoriously 73
of a man of observation 67
of a man of pasteboard 169
of a man of principles 50
of a man of prominence 108
of a man of refinement 213
of a man of relatively 63
of a man of remarkable 331
of a man of scientific 60
of a man of sufficient 150
of a man of superhuman 51
of a man of tremendous 86
of a man so apparently 49
of a man so celebrated 394
of a man so completely 179
of a man so confronted 51
of a man so deservedly 49
of a man so determined 79
of a man so formidable 81
of a man so illustrious 75
of a man so influential 54
of a man so intimately 117
of a man so principled 130
of a man so remarkable 173
of a man to experience 49
of a man to principles 81
of a man to understand 85
of a man we understand 76
of a may be calculated 240
of a may be considered 117
of a may be determined 328
of a mix of activities 54
of a mix of traditional 44
of a new or innovative 41
of a new or redesigned 97
of a new or reorganized 52
of a nod of recognition 47
of a pang of bitterness 72
of a pang of loneliness 64
of a path is determined 72
of a path of integration 48
of a peak is determined 45
of a plea of diminished 67
of a poem by baudelaire 233
of a poem is determined 118
of a poem on retirement 55
of a poet to understand 60
of a ray is determined 56
of a ray of homogeneous 92
of a rod of negligible 61
of a row of apartments 43
of a row of brownstone 94
of a row of contiguous 64
of a row of individual 73
of a row of rectangular 82
of a row of townhouses 56
of a row of warehouses 79
of a run of withdrawals 83
of a say in government 57
of a seal to privileges 60
of a seat of government 692
of a set is determined 73
of a set of acceptable 129
of a set of accidental 41
of a set of activities 1648
of a set of adjectives 92
of a set of adjustable 67
of a set of admissible 78
of a set of agreements 155
of a set of amendments 80
of a set of analytical 298
of a set of anatomical 55
of a set of antecedent 198
of a set of apartments 51
of a set of apparently 104
of a set of applicable 46
of a set of application 139
of a set of approaches 68
of a set of appropriate 275
of a set of assessment 71
of a set of associations 188
of a set of assumptions 2408
of a set of attractive 42
of a set of attributes 2083
of a set of autonomous 262
of a set of background 183
of a set of benchmarks 59
of a set of binoculars 46
of a set of blueprints 145
of a set of boundaries 45
of a set of calibrated 110
of a set of calibration 75
of a set of candidates 139
of a set of capacities 61
of a set of capacitors 47
of a set of categories 1236
of a set of characters 1661
of a set of classified 101
of a set of collective 148
of a set of committees 46
of a set of comparable 109
of a set of comparison 59
of a set of compatible 99
of a set of completely 78
of a set of components 1439
of a set of concentric 746
of a set of conceptions 93
of a set of conceptual 251
of a set of conclusions 100
of a set of concurrent 508
of a set of conditional 304
of a set of conductors 94
of a set of connections 164
of a set of consistent 350
of a set of constraint 60
of a set of constructs 177
of a set of consumption 102
of a set of contextual 48
of a set of contiguous 249
of a set of continuous 413
of a set of controlled 139
of a set of conventions 548
of a set of convictions 100
of a set of coordinate 195
of a set of correlated 304
of a set of correlation 72
of a set of credentials 61
of a set of culturally 226
of a set of curriculum 57
of a set of definitions 418
of a set of degenerate 109
of a set of democratic 58
of a set of designated 48
of a set of desperadoes 92
of a set of determined 42
of a set of difference 184
of a set of directives 132
of a set of discourses 177
of a set of discursive 111
of a set of discussions 42
of a set of dissipated 40
of a set of ecological 47
of a set of educational 239
of a set of electrical 118
of a set of electrodes 104
of a set of electronic 109
of a set of elementary 812
of a set of endogenous 58
of a set of enforceable 40
of a set of equivalent 803
of a set of essentially 103
of a set of evaluative 58
of a set of examination 78
of a set of exhaustive 59
