oared boat belonging to the 54
occur during handling of the 47
occur during winter in the 51
occur early enough in the 165
occur early enough to be 54
occur from changes in the 119
occur from damage to the 184
occur from disease of the 127
occur from injury of the 58
occur from injury to the 180
occur from lesions in the 50
occur from lesions of the 107
occur from trauma to the 82
occur just distal to the 198
occur more rarely in the 183
occur more readily at the 73
occur more readily if the 147
occur more readily in an 41
occur more readily in the 490
occur more readily to the 60
occur more seldom in the 61
occur more slowly in the 144
occur more widely in the 88
occur most readily at the 45
occur most readily if the 43
occur most readily in the 149
occur most readily to the 95
occur much closer to the 120
occur much earlier in the 636
occur much higher in the 44
occur only rarely in the 584
occur only rarely on the 53
occur ready formed in the 76
occur soon enough to be 40
occur such scenes as the 51
occur very rarely in the 546
occur very rarely on the 58
occur very seldom in the 96
occur very slowly in the 62
occur very widely in the 80
occur when changes in the 111
occur when someone in the 59
occur when something in the 51
occur will depend on the 570
offer best wishes to the 45
offer dies before it is 91
offer free access to the 344
offer full access to the 117
offer good access to the 125
offer good advice to the 45
offer good wishes to the 63
offer great prizes as the 57
offer more detail on the 87
offer more options to the 97
offer much solace to the 47
offer ready access to the 173
offer some advice as to 89
offer some advice on the 383
offer some advice to the 385
offer some answer to the 164
offer some measure of the 255
offer some opinion as to 57
offer some relief in the 64
offer some relief to the 597
offer some solace to the 52
offer some version of the 150
offer such advice as he 43
offer such advice to the 89
offer such shares to the 121
offer their advice on the 40
offer their advice to the 330
offer their bodies to be 55
offer their bodies to the 145
offer their breasts to the 68
offer their cheeks to the 40
offer their homage to the 932
offer their opinion as to 55
offer their opinion on the 170
offer their shares in the 42
offer their shares to the 908
offer their skills to the 76
offer their swords to the 148
offer their throats to the 91
offer their version of the 58
offer these clothes to the 61
offer very little in the 1240
offer very little or no 119
offer very little to the 294
offer what appears to be 540
offer what appears to me 252
offer what occurs to me 87
offer what seemed to be 71
offer will depend on the 240
often adds greatly to the 188
often adds little to the 63
often also raises up in 96
often also refers to the 55
often also served as the 49
often also serves as the 50
often bears little or no 160
often been absent in the 62
often been abused by the 56
often been abused in the 87
often been active in the 75
often been afraid of the 46
often been amazed at the 493
often been amazed by the 140
often been amused at the 338
often been amused by the 172
often been angered by the 89
often been argued in the 180
often been argued on the 71
often been argued to be 139
often been blamed as the 65
often been blamed on the 243
often been bought at the 55
often been broken up by 54
often been called by the 127
often been called in the 81
often been called in to 270
often been called on to 433
often been called to the 803
often been caught in the 194
often been caught up in 117
often been caused by the 198
often been changed in the 94
often been chosen as the 107
often been chosen by the 64
often been created by the 75
often been deemed to be 52
often been denied by the 67
often been denied in the 78
often been denied on the 48
often been denied to the 55
often been driven by the 172
often been engaged in the 45
often been forced by the 44
often been forced to be 66
often been forced to do 83
often been framed in the 57
often been guided by the 153
often been guilty in the 50
often been guilty of it 43
often been guilty of the 183
often been hailed as an 42
often been hailed as the 311
often been helped by the 90
often been horsed in the 82
often been joined to an 73
often been judged by the 90
often been judged to be 130
often been lauded as the 42
often been linked in the 76
often been linked to an 41
often been linked to the 973
often been little or no 40
often been looked at as 151
often been looked at in 41
often been looked on as 216
often been looked to as 130
often been marked by an 43
often been marked by the 95
often been marred by the 44
often been masked by the 42
often been misled by the 149
often been missed in the 46
often been offset by the 56
often been picked up by 44
often been placed at the 91
often been placed in the 469
often been placed on the 389
often been proved by the 162
often been proved in the 113
often been proved to be 314
often been pushed to the 61
often been quoted as an 604
often been quoted as if 52
often been quoted as the 331
often been quoted by the 68
often been quoted in the 307
often been quoted on the 40
often been quoted to the 65
often been raised as an 65
often been raised as to 978
often been raised by the 76
often been raised in the 288
often been raised to the 121
often been relied on to 60
often been shaped by the 111
often been solved by the 46
often been sought by the 46
often been sought in the 205
often been spoken of as 3895
often been spoken of by 126
often been spoken of in 264
often been stated as the 50
often been stated by the 77
often been stated in the 304
often been stated to be 262
often been struck at the 92
often been struck by it 125
often been struck by the 2401
often been summed up as 41
often been summed up in 107
often been talked of as 89
often been taught in the 55
often been termed as the 47
often been thought in the 50
often been thought of as 5424
often been thought of by 45
often been thought of in 185
often been thought to be 2250
often been touted as the 141
often been traced to the 235
often been treated as an 431
often been treated as if 478
often been treated as the 314
often been treated by the 130
often been treated in an 87
often been treated in the 183
often been unable to do 62
often been unjust to the 45
often been upheld by the 65
often been useful to me 52
often been viewed as an 636
often been viewed as the 778
often been viewed by the 93
often been viewed in the 141
often been voiced in the 72
often been warned of the 77
often best served by the 102
often best suited to the 50
often best thought of as 145
often bore little or no 109
often boring enough as it 92
often came across in the 46
often come across in the 207
often come across it in 65
often come before us in 42
often come closer to the 68
often deep enough to be 44
often done before in the 113
often draw heavily on the 48
often fall asleep at the 44
often fall asleep in the 188
often fall asleep on the 91
often fall victim to the 527
often feel caught in the 98
often feel little or no 57
often feel myself to be 53
often fell asleep at the 50
often fell asleep in the 260
often fell asleep on the 184
often fell asleep to the 62
often fell victim to the 314
often felt itself to be 44
often felt myself to be 139
often find itself in the 63
often find little or no 72
often find mention of the 42
often find myself at the 44
often find myself in the 245
often find myself on the 98
often gain access to the 169
often gave advice to the 47
often gets caught in the 81
often gets caught up in 152
often give access to the 57
often give little or no 105
often give relief to the 53
often give strength to the 55
often good enough to be 50
often great enough to be 43
often half buried in the 81
often have access to the 446
often have arisen in the 69
often have charge of the 54
often have little in the 87
often have little or no 3507
often have little to do 2400
often have little to no 55
often have proved to be 123
often have proven to be 79
often have relied on the 51
often have seemed to be 176
often have seemed to the 96
often have served as the 68
often have something of the 123
often have something to do 164
often have tended to be 56
often have thought of it 69
often have thought of the 206
often have turned to the 84
often having little or no 123
often having little to do 180
often heard before it is 67
often heard spoken of as 234
often heard spoken of by 69
often heard spoken of in 59
often held meetings in the 44
often high enough to be 72
often kept secret by the 42
often knew little of the 139
often know little of the 149
often lack access to the 147
often laid before me so 48
often laid stress on the 88
often lays stress on the 53
often least likely to be 88
often leave little or no 48
often leave something to be 255
often left behind by the 78
often left behind in the 274
often left behind on the 53
often left little or no 40
often left something to be 291
often left standing in the 98
often less likely to be 258
often less obvious to the 48
often lies buried in the 50
often lies hidden in the 73
often loud enough to be 97
often made changes in the 56
often made little or no 86
often made mention of the 110
often made solely on the 64
often made visits to the 60
often make changes in the 69
often make changes to the 44
often make choice of the 96
often make little or no 224
often make mention of the 108
often many copies of the 53
often more active in the 53
often more annoying to the 51
often more appealing to the 63
often more common in the 59
often more damaging to the 97
often more likely to be 813
often more marked in the 265
often more marked on the 108
often more obvious in the 65
often more obvious to the 62
often more revealing of the 77
often more severe in the 249
often more severe on the 42
often more suited to the 82
often more useful in the 70
often more useful to be 40
often more useful to the 132
often most likely to be 41
often most marked at the 55
often most marked in the 415
often most obvious in the 98
often most severe in the 262
often most useful in the 50
often much amused by the 42
often much better in the 42
often much closer to the 181
often much greater in the 142
often much higher in the 65
often much larger in the 66
often must depend on the 56
often must resort to the 54
often need access to the 82
often only hinted at in 110
often only mislead us so 66
often paid homage to the 60
often paid little or no 82
often paid visits to the 113
often play tricks on us 66
often rely heavily on the 369
often rely solely on the 41
often seek refuge in the 94
often seem strange to an 57
often seem strange to the 41
often seen adhering to the 88
often seen around it in 46
often seen before in the 55
often seen except in the 56
