odd a 47 odd a 116
one a 43 one a 44
one a 46 one a 114
one a 86 one a 70
one a 1310 one a 86
one a 54 one a 46
one i 43 one i 40
one a 57 one a 142
one a 74 one a 240
one a 153 one a 73
one a 43 one a 139
one a 52 one a 203
one a 127 one a 54
one a 105 one a 59
one a 47 one a 90
one a 1892 one a 99
one a 54 one a 53
one a 104 one a 159
one a 136 one a 162
one a 295 one a 106
one a 130 one a 137
one a 165 one a 157
one a 284 one a 132
one a 83 one a 135
one a 46 one a 113
one a 46 one a 66
one a 45 one a 355
one a 292 one a 76
one a 71 one a 453
one a 112 one a 58
one a 194 one a 72
one a 153 one a 155
one a 52 one a 81
one a 45 one a 76
one a 68 one a 395
one a 45 one a 128
one a 599 one a 45
one a 50 one a 145
one a 323 one a 122
one a 236 one a 288
one a 82 one a 69
one a 372 one a 226
one a 101 one a 49
one a 119 one a 136
one a 47 one a 54
one i 51 one a 40
one f 109 one a 61
one a 138 our a 49
our a 43 our a 73
our a 43 out a 41
out i 141 out a 132
out a 44 out a 52
out a 88 out a 99
out a 69 out a 73
out a 99 out a 75
out a 301 out a 52
out a 58 out a 209
out a 56 out a 238
out a 106 out a 190
out a 50 out i 62
own a 45 own a 60
