of ac voltages and currents 104
of an absolute and complete 51
of an absolute and despotic 107
of an absolute and immediate 45
of an absolute and infinite 809
of an absolute and relative 142
of an absolute and timeless 46
of an absolute and ultimate 43
of an abstract and absolute 92
of an abstract and negative 60
of an academic and literary 47
of an accident that happened 493
of an accident that occurred 639
of an accident that resulted 61
of an accurate and adequate 44
of an accurate and complete 286
of an accurate and detailed 152
of an accurate and impartial 54
of an accurate and realistic 51
of an activity may indicate 61
of an activity that involves 93
of an activity that requires 87
of an adequate and accurate 68
of an adequate and balanced 119
of an adequate and complete 59
of an adequate and constant 44
of an adequate and continuing 47
of an adequate and impartial 48
of an adequate and properly 133
of an adequate and suitable 92
of an admission for evidence 51
of an advocate for idolatry 68
of an afferent and efferent 60
of an agreeable and facetious 54
of an agreeable and friendly 81
of an aircraft not equipped 71
of an airplane are attached 57
of an airplane are operated 90
of an algorithm for estimating 42
of an algorithm for generating 72
of an algorithm that computes 73
of an algorithm that performs 41
of an almighty and merciful 70
of an ambitious and intriguing 227
of an ambitious and powerful 74
of an ambitious and restless 81
of an american being regarded 42
of an american yet produced 59
of an analysis and synthesis 96
of an appetite for breakfast 75
of an applauding and grateful 63
of an approach that attempts 71
of an approach that combines 108
of an approach that includes 49
of an approach that involves 43
of an approach that provides 52
of an approach that stresses 61
of an aptitude for rhetoric 40
of an argument are supposed 51
of an argument too extended 45
of an artistic and cultural 136
of an artistic and literary 319
of an artistic and romantic 42
of an assembly that detested 155
of an attitude are mutually 58
of an attitude that reflects 46
of an attorney are essential 65
of an attorney are required 58
of an attorney for services 89
of an attorney that prevents 67
of an audacious and arrogant 63
of an audience that included 193
of an authentic and original 50
of an earthquake that happened 48
of an earthquake that occurred 140
of an economic and business 42
of an economic and cultural 638
of an economic and financial 1170
of an economic and military 346
of an economic and monetary 2158
of an economic and religious 48
of an educated and cultured 156
of an educated and informed 162
of an educated and literate 44
of an education that prepared 41
of an educator and diplomat 57
of an electric and magnetic 268
of an electron and neutrino 123
of an electron and positron 609
of an electron with momentum 122
of an electron with velocity 131
of an elevated and generous 42
of an elevation that commands 52
of an eloquent and powerful 45
of an emotional and financial 52
of an emotional and personal 41
