occasions when their services were 48
occurred during such calendar month 207
officers have been selected from 58
officers hold their authority only 66
omissions have been supplied from 40
organism have been isolated from 61
original data were obtained from 70
original have been retained here 82
otherwise have been admitted into 123
otherwise have been bestowed upon 74
otherwise have been deterred from 56
otherwise have been directed into 56
otherwise have been entirely lost 109
otherwise have been excluded from 214
otherwise have been executed upon 168
otherwise have been expected from 337
otherwise have been obtained from 133
outbreaks have been reported among 95
outbreaks have been reported from 421
outcomes have been reported from 68
outcomes have been reported when 41
