of air parcels moving downward 137
of all alarmed their curiosity 64
of all arrests were rejected 63
of all british north american 120
of all classes make frequent 43
of all classes were admitted 88
of all classes were enrolled 62
of all classes were expected 97
of all classes were involved 55
of all control over commerce 64
of all divided into divinity 165
of all emotions must conclude 59
of all exports from developing 48
of all germany were directed 44
of all liberal arts colleges 66
of all medical care provided 93
of all parties have inclined 40
of all parties have subsided 56
of all parties were obtained 55
of all parties will probably 48
of all patient care episodes 48
of all persons from enforced 2281
of all persons have diphtheria 42
of all present were directed 51
of all southeast asian refugees 62
of all workers were employed 483
of all workers were unionized 64
of and adjoining said premises 64
of any ancient work whatever 58
of any company made criminal 105
of any deserving young beginner 221
of any material fact concerning 55
of any partner during ordinary 167
of any payment made pursuant 117
of any request made pursuant 202
of any retiree health benefits 214
of any service work required 43
of being arranged into mountain 76
of being brought into collision 60
of being brought into immediate 55
of being brought into operation 180
of being brought into personal 116
of being carried into execution 1099
of being carried into practice 132
of being deserve more attention 84
of being divided into distinct 42
of being divided into numerous 46
of being divided into segments 43
of being divided into separate 105
of being drafted into military 68
of being pressed into military 41
of both letters were produced 66
of both parents were strangely 78
of both parties were directed 51
of both parties were inclined 151
of both parties were included 50
of both parties were involved 60
of both species were observed 78
of both species were obtained 45
of dead princes were formerly 43
of death against those soldiers 46
of death resulting from accident 52
of don quixote will remember 58
of each chapter give students 139
of each chapter help students 186
of each concern will probably 97
of each country more remotely 140
of each fraction were analyzed 57
of each lateral mass presents 55
of each musical work embodied 100
of each payment into interest 42
of each solution into separate 61
of each species having migrated 279
of each species were examined 132
of each species were obtained 60
of each species were randomly 58
of each species were recorded 75
of each species were selected 104
of each subject were recorded 69
of east african early hominids 124
of fear resulting from negative 63
of gas exchange during exercise 108
of head position upon cerebral 124
of her appeared very probable 61
of her current life situation 51
of her efforts were directed 42
of her freedom from original 73
of her friends were involved 56
of her friends will remember 42
of her letters have survived 202
of her primary care physician 77
of her stockings were straight 139
of her vessels were actually 46
of him brought back memories 52
of his absence from washington 60
of his antlers into falstaff 53
of his brigade were captured 45
of his brothers were arrested 45
of his brothers were captured 48
of his brothers were murdered 103
of his brothers were soldiers 65
of his brushes were eighteen 41
of his buildings have survived 41
of his castles were supplied 82
of his command were captured 134
of his concern over possible 51
of his country wearing splendid 43
of his country were involved 88
of his critics have asserted 63
of his critics have imagined 59
of his critics have supposed 97
of his current life situation 168
of his decrees were reversed 191
of his descent from elizabeth 41
of his descent from hercules 49
of his descent from margaret 48
of his designs were executed 79
of his distant lake expanses 48
of his divorce from catherine 200
of his divorce from katharine 51
of his divorce from katherine 63
of his dominion upon tortures 67
of his efforts were directed 312
of his enemies been directed 74
of his enemies have sneeringly 112
of his enemies were prevailing 88
of his friends even ventured 64
of his friends ever ventured 220
of his friends well remember 88
of his friends were admitted 49
of his friends were arrested 507
of his friends were banished 42
of his friends were desirous 114
of his friends were discussing 72
of his friends were executed 80
of his friends were inclined 54
of his friends were involved 142
of his friends were murdered 51
of his friends were musicians 45
of his friends were probably 50
of his friends were somewhat 50
of his friends will remember 89
of his funeral were defrayed 69
of his genuine easel pictures 41
of his journey from calcutta 64
of his journey from scotland 41
of his journey into scotland 46
of his kinsmen were enrolled 74
of his language were followed 44
of his letters from florence 46
of his letters from washington 64
of his letters have survived 389
of his majesty were properly 53
of his memorial were somewhat 47
of his menaces when suddenly 49
of his natural born subjects 456
of his nursery were pictures 135
of his oracles have foretold 54
of his paintings have survived 162
of his paintings were accepted 92
of his paintings were acquired 44
of his paintings were executed 47
of his paintings were included 170
of his paintings were inspired 51
of his paintings were selected 45
of his parents been executed 76
of his pavilion sits achilles 86
of his position well deserved 72
of his position were increased 79
of his present life demanded 62
of his present life situation 63
of his present most christian 63
of his private life trembled 68
of his profits will diminish 65
of his provoking such dangerous 63
of his remarks were directed 95
of his requiring their services 63
of his results were obtained 74
of his sallies were received 59
of his sermons have survived 145
of his servant your shepherd 86
of his stories were included 43
of his studies were embodied 43
of his superior were actually 45
of his thoughts from politics 290
of his vessels were captured 90
of his vessels were stranded 51
of his warriors were baptized 125
of how novices learn computer 148
of its adoption into immortal 130
of its aspects more tragical 51
of its attacks upon elizabeth 79
of its captain some distance 53
of its control over economic 64
of its control over education 70
of its dimness over pitfalls 76
of its dominion will continue 51
of its earliest acts provided 91
of its effects during sickness 51
of its efforts were directed 131
of its erection from maternal 304
of its european union partners 48
of its freedom from external 58
of its generic rating category 133
of its inmates having departed 75
of its members have achieved 55
of its members have attained 92
of its members have received 93
of its members have recently 46
of its members have suffered 41
of its members were absorbed 105
of its members were actively 59
of its members were actually 101
of its members were admitted 40
of its members were affected 43
of its members were arrested 1476
of its members were captured 135
of its members were catholics 87
of its members were deported 40
