of ac and dc voltages 47
of an act as criminal 130
of an act is affected 41
of an act is relative 61
of an act of adultery 878
of an act of apostasy 152
of an act of assembly 3149
of an act of assertion 83
of an act of attention 270
of an act of authority 103
of an act of baseness 133
of an act of betrayal 279
of an act of christian 63
of an act of clemency 117
of an act of cognition 271
of an act of communion 78
of an act of conscious 128
of an act of courtesy 173
of an act of criminal 74
of an act of cultural 60
of an act of deception 84
of an act of domestic 94
of an act of euthanasia 62
of an act of february 72
of an act of flagrant 62
of an act of genocide 171
of an act of homicide 194
of an act of humanity 108
of an act of humility 54
of an act of idolatry 111
of an act of intuition 53
of an act of judgment 1302
of an act of kindness 1138
of an act of literary 175
of an act of ordinary 60
of an act of perceiving 139
of an act of personal 193
of an act of physical 85
of an act of rebellion 238
of an act of religious 69
of an act of rudeness 131
of an act of sabotage 218
of an act of secession 129
of an act of seduction 43
of an act of spoliation 61
of an act of synthesis 172
of an act of transfer 55
of an act of treachery 753
of an act of trespass 47
of an act of unlawful 70
of an act or activity 70
of an act or condition 71
of an act or contract 153
of an act or operation 104
of an act or practice 321
of an act or proceeding 102
of an act or situation 60
of an act or symbolic 40
of an act so contrary 58
of an act to authorize 212
of an act to legalize 53
of an act to prohibit 133
of an act to regulate 396
of an aeon or archangel 47
of an age of absolute 59
of an age of advanced 47
of an age of childish 59
of an age of chivalry 736
of an age of christian 85
of an age of commerce 61
of an age of conflict 45
of an age of conquest 100
of an age of cultural 62
of an age of darkness 166
of an age of disorder 81
of an age of economic 77
of an age of elegance 48
of an age of expansion 151
of an age of greatness 58
of an age of industry 46
of an age of invention 42
of an age of literary 133
of an age of majority 91
of an age of nautical 45
of an age of optimism 41
of an age of physical 134
of an age of profound 70
of an age of progress 203
of an age of religious 193
of an age of scarcity 95
of an age of scoffers 42
of an age of unbelief 53
of an age or condition 73
of an age so luxurious 374
of an age to commence 46
of an age to consider 75
of an age to dispense 43
of an age to exercise 193
of an age to interest 59
of an age to preclude 46
of an age to remember 400
of an aim or tendency 50
of an air of authority 103
of an air of finality 67
of an air of military 88
of an air of personal 52
of an air of unreality 90
of an arc is parallel 52
of an arc of parallel 53
