of a and four units 62
of a bad cold which 75
of a bad debt which 63
of a bad dream which 59
of a bad faith action 64
of a bad faith claim 113
of a bad soap opera 76
of a bad sore throat 204
of a bar code reader 115
of a bar room brawl 45
of a bay into which 63
of a bed from which 47
of a bed upon which 75
of a big band playing 87
of a big bull moose 69
of a big city could 43
of a big city daily 155
of a big city hotel 43
of a big city paper 42
of a big city where 148
of a big city which 86
of a big city would 72
of a big fire which 40
of a big news story 106
of a big ocean liner 82
of a big open space 45
of a big ship which 56
of a big snow storm 42
of a big three meeting 65
of a big tree falling 50
of a big tree trunk 109
of a big tree where 115
of a big tree which 139
of a box from which 109
of a box into which 160
of a boy aged about 102
of a boy aged eight 64
of a boy aged seven 58
of a boy born blind 170
of a boy born under 50
of a boy very nearly 52
of a car door closing 768
of a car door opening 610
of a car from which 72
of a car horn honking 43
of a cat from which 45
of a cat will cause 47
of a cow very close 46
of a cup from which 77
of a cup into which 45
of a dam over which 71
of a day dream often 45
of a day during which 1615
of a day from which 42
of a day like today 87
of a day made black 96
of a day upon which 113
of a day well spent 981
of a day when every 111
of a day when people 93
of a day when women 48
of a dead bird which 42
of a dead body after 51
of a dead body could 61
of a dead body found 109
of a dead body under 49
of a dead body where 41
of a dead body which 318
of a dead body within 41
of a dead body would 88
of a dead male child 99
of a dead mans skull 57
of a dead past which 129
of a dead ship under 49
of a dead tree stump 118
of a dead tree trunk 99
of a dead tree which 157
of a dead young woman 80
of a death from thirst 59
of a death taking place 68
of a dog from barking 44
of a dog from which 102
of a dog three times 48
of a dog were found 74
of a dog when seven 88
of a dog will cause 40
of a dry limb about 61
of a dry tree above 56
of a dry twig under 58
of a dying fire which 45
of a far away place 55
of a far less pleasing 43
of a far less worthy 43
of a far more acute 68
of a far more awful 78
of a far more basic 134
of a far more cruel 58
of a far more deadly 119
of a far more genial 42
of a far more lasting 64
of a far more lethal 41
of a far more manly 44
of a far more noble 110
of a far more pleasing 63
of a far more rapid 63
of a far more rigid 262
of a far more sober 40
of a far more solid 237
of a far more vital 115
of a far more vivid 109
of a few aged people 42
of a few angry words 40
of a few areas where 118
of a few bare facts 54
of a few base pairs 217
of a few cash crops 161
of a few cell types 71
of a few corn sacks 52
of a few date palms 68
of a few days about 63
of a few days after 1816
of a few days again 81
of a few days apart 42
of a few days could 164
of a few days delay 149
of a few days every 110
of a few days found 53
of a few days later 2116
of a few days longer 159
of a few days might 587
of a few days nearly 65
of a few days rather 68
of a few days since 321
of a few days spent 318
of a few days under 104
of a few days until 472
of a few days which 280
of a few days while 311
of a few days would 766
of a few deep breaths 45
of a few early cases 43
of a few early fires 55
of a few feet above 1125
of a few feet apart 85
of a few feet below 642
of a few feet beneath 67
of a few feet under 63
of a few feet where 50
of a few feet would 174
of a few fine plays 311
of a few fine words 129
of a few food items 46
of a few free hours 41
of a few giant firms 154
of a few gold coins 115
of a few good books 429
of a few good deeds 55
of a few good lines 48
of a few good people 223
of a few good rules 75
of a few good women 45
of a few good words 67
of a few good works 88
of a few gray hairs 131
of a few great books 135
of a few great firms 59
of a few great lords 276
of a few great minds 264
of a few great names 312
of a few great souls 65
of a few great stems 61
of a few great stone 48
of a few great truths 50
of a few great types 63
of a few great works 109
of a few hand tools 68
of a few hard words 65
of a few heads which 53
of a few home truths 51
of a few huts alone 44
of a few huts built 103
of a few huts which 59
of a few ideas about 47
of a few ideas which 77
of a few idle hours 133
of a few kind words 296
of a few last gasps 72
of a few last words 69
of a few laws which 58
of a few leading facts 120
of a few leading firms 78
