oaken tablet on which the 64
occur across the board in 44
occur across the lines of 42
occur across the walls of 51
occur across the whole of 50
occur almost as often as 88
occur around the edges of 319
occur around the roots of 56
occur around the world in 100
occur before it could be 53
occur before or after an 57
occur before or after the 2416
occur before the child is 230
occur before the close of 270
occur before the lapse of 52
occur before the meeting of 40
occur before the onset of 1524
occur before the opening of 41
occur before the order is 84
occur before the period of 98
occur before the point of 55
occur before the reign of 41
occur before the stage of 44
occur before the start of 196
occur behind the backs of 46
occur beyond the level of 45
occur beyond the period of 55
occur earlier or later in 246
occur except in cases of 130
occur inside the scope of 60
occur mainly at night or 42
occur sooner or later as 72
occur sooner or later in 406
occur through no fault of 241
occur through the action of 723
occur through the binding of 42
occur through the fault of 66
occur through the growth of 67
occur through the power of 107
occur through the sharing of 54
occur through the spread of 47
occur through the walls of 105
occur toward the close of 153
occur unless the child is 53
occur without the action of 120
occur without the fault of 94
occur without the input of 46
offer advice on where to 163
offer before he shall be 98
offer bribes in order to 153
offer insult or taunt at 119
offer little in terms of 946
offer little of value to 120
offer little to people in 44
offer little to tempt the 44
offer merely by putting in 143
offer shares of stock to 139
offer should be based on 129
offer something in place of 41
offer something of value in 215
offer something of value to 1189
offer unless he knows of 60
often absent in cases of 193
often absorb the costs of 54
often abused in order to 55
often affect the lives of 77
often affect the value of 40
often allows the child to 44
often allows the reader to 50
often almost as large as 66
often amongst the first to 44
often appears as though it 46
often appears as though the 131
often appears at first to 77
often appears in dreams as 100
often appears in place of 56
often appears on lists of 40
often appears to create an 66
often appears to others as 42
often argued in favor of 95
often argued in terms of 130
often arises in cases of 117
often arises in which the 54
often around the edges of 40
often assume the forms of 51
often assume the guise of 65
often assume the right to 40
often assume the roles of 69
often assume the shape of 329
often assuming the dress of 97
often assuming the shape of 64
often baffle the skill of 57
often became the basis of 108
often became the cause of 73
often became the focus of 261
often became the scene of 112
often became the sites of 48
often become the basis of 178
often become the cause of 150
often become the dupes of 47
often become the focus of 566
often become the sites of 67
often become the wives of 41
often before my fancy in 94
often before or after the 43
often before the child is 60
often before the onset of 141
often begged my father to 47
often behave as though the 67
often beheld in dreams of 93
often beheld the clown in 124
often better to allow the 114
often better to avoid the 51
often better to change the 54
often better to focus on 50
often better to place the 73
often better to stick to 46
often beyond the grasp of 204
often beyond the level of 61
often beyond the point of 146
often beyond the power of 446
often beyond the scope of 644
often blight the hopes of 51
often booked up months in 70
often braved the power of 65
often called the athens of 78
often called the author of 54
often called the bible of 111
often called the board of 46
often called the court of 62
often called the father of 5049
often called the first of 92
often called the glory of 63
often called the house of 145
often called the kingdom of 188
often called the leader of 52
often called the level of 88
often called the logic of 43
often called the method of 323
often called the mother of 212
