observed a boat put off 63
observed a great deal and 44
observed a very old man 46
observed a young man who 107
obtained a bull for his 82
obtained a copy and read 49
obtained a fine cow and 42
obtained a good fit for 43
obtained a good fit with 59
obtained a hearing for him 64
obtained a hearing for his 44
obtained a peace for them 79
obtained a post for him 130
obtained a room for her 44
obtained a site for his 41
obtained a visa for his 53
obtained a wife who was 42
obtained i know not how 46
obviously a good idea for 65
obviously a great deal that 58
obviously a sick man and 49
obviously a sine qua non 198
obviously a young man who 55
obviously a young man with 44
occasions i have met with 135
occupied a good deal with 62
occupied a great deal with 50
occupies a site that has 41
occupies a site that was 72
officers i have met with 54
operated a ford car for 67
operated a used car lot 99
otherwise a good man and 49
otherwise i knew not how 153
otherwise i know not how 293
otherwise i went with him 40
otherwise i will not get 106
outdoors a great deal and 42
outlined a plan for its 46
overheard a poor man say 88
overlaps a good deal with 102
overlaps a great deal with 138
overlook a great deal that 41
overtook a young man who 40
