oath of fealty and homage 373
ode in which his praise 45
off at lower and higher 95
off by metes and bounds 603
off in flesh and strength 274
off in front and behind 53
off my boots and clothes 136
off my boots and jacket 50
off my boots and walked 108
off my horse and dashed 53
off my horse and walked 324
off my knees and elbows 121
off my knees with crawling 50
off my right arm before 78
off my shirt and shorts 126
off my shirt and washed 45
off my skirt and blouse 131
off or worse off without 92
off the action and retire 190
off the action and return 96
off the action and turned 52
off the alarm and opened 56
off the beaten path without 50
off the bench and inside 94
off the bench and played 42
off the bench and walked 380
off the books and papers 112
off the ceiling and landed 123
off the chain and opened 152
off the chair and landed 89
off the chair and looked 59
off the chair and pulled 110
off the chair and turned 55
off the chair and walked 311
off the check and handed 143
off the cliff and building 42
off the cloak and opened 51
off the couch and joined 41
off the couch and looked 49
off the couch and opened 41
off the couch and picked 71
off the couch and pulled 69
off the couch and reached 56
off the couch and rushed 47
off the couch and turned 121
off the couch and walked 1006
off the cover and looked 142
off the cover and places 42
off the cover and remove 106
off the crown and regalia 189
off the dutch and belgian 47
off the dutch and danish 91
off the dutch and german 108
off the dutch east indies 92
off the enemy and cleared 56
off the enemy long enough 199
off the engine and glided 58
off the engine and handed 47
off the engine and hopped 56
off the engine and jumped 330
off the engine and killed 53
off the engine and lights 309
off the engine and looked 785
off the engine and opened 324
off the engine and pulled 311
off the engine and pushed 53
off the engine and reached 170
off the engine and remove 435
off the engine and rolled 118
off the engine and stared 134
off the engine and turned 711
off the engine and waited 499
off the engine and walked 111
off the feeling that someone 55
off the feeling that something 203
off the fence and walked 135
off the first and second 784
off the floor and dumped 134
off the floor and dusted 123
off the floor and extend 155
off the floor and folded 48
off the floor and gently 132
off the floor and handed 387
off the floor and helped 100
off the floor and hugged 164
off the floor and hurled 122
off the floor and kissed 197
off the floor and looked 512
off the floor and opened 153
off the floor and placed 628
off the floor and places 51
off the floor and pulled 353
off the floor and pushed 185
off the floor and raised 45
off the floor and reached 43
off the floor and return 55
off the floor and rolled 44
off the floor and rushed 49
off the floor and shoved 217
off the floor and slowly 154
off the floor and starts 99
off the floor and tossed 436
off the floor and toward 112
off the floor and tucked 103
off the floor and turned 242
off the floor and walked 522
off the fumes and furies 465
off the groom and placed 47
off the horse and handed 109
off the horse and landed 141
off the horse and pulled 108
off the horse and turned 149
off the horse and walked 230
off the house and senate 48
off the irish and english 45
off the leaves and shoots 91
off the light and closed 893
off the light and closes 86
off the light and curled 71
off the light and groped 52
off the light and joined 55
off the light and kissed 41
off the light and locked 204
off the light and looked 90
off the light and opened 286
off the light and pulled 595
off the light and pushed 40
off the light and rolled 128
off the light and stared 76
off the light and tiptoed 114
off the light and turned 264
off the light and waited 173
off the light and walked 434
off the mother for arrears 49
off the motor and lights 93
off the motor and looked 149
off the motor and opened 59
off the motor and turned 139
off the mules and horses 51
off the offal and refuse 80
off the paint and powder 46
off the paper and handed 129
off the paper and lifted 46
off the paper and looked 115
off the paper and opened 343
off the paper and ribbon 105
off the paper and without 134
off the phone and called 149
off the phone and handed 211
off the phone and looked 410
off the phone and placed 99
off the phone and stared 51
off the phone and thought 91
off the phone and tossed 224
off the phone and turned 326
off the phone and walked 176
off the phone long enough 65
off the phone with someone 72
off the plane and looked 101
off the plane and through 140
off the plane and walked 426
off the plate she lately 91
off the porch and across 278
off the porch and around 317
off the porch and joined 41
off the porch and landed 102
off the porch and looked 262
off the porch and strode 97
off the porch and through 108
off the porch and toward 64
off the porch and turned 68
off the porch and walked 1462
off the power and applying 47
off the power and remove 476
off the power and unplug 131
off the rails and become 41
off the roads and tracks 50
off the roads and trails 44
off the rocks all around 40
off the rocks and shoals 187
off the rocks and stones 44
off the sheep and cattle 270
off the sheet and handed 681
off the sheet and passed 44
off the shelf and dusted 135
off the shelf and handed 304
off the shelf and landed 122
off the shelf and looked 154
off the shelf and opened 502
off the shelf and placed 320
off the shelf and poured 110
off the shelf and showed 92
off the shelf and turned 154
off the shelf and walked 45
off the shirt and tossed 153
off the sides and bottom 233
off the stack and placed 50
off the stack and places 62
off the stage and joined 50
off the stage and landed 132
off the stage and through 133
off the stage and walked 370
off the steps and walked 48
off the stock and cattle 97
off the stool and looked 42
off the stool and picked 155
off the stool and pulled 108
off the stool and pushed 42
off the stool and reached 112
off the stool and turned 102
off the stool and walked 844
off the stove and filled 88
off the stove and poured 608
off the stove and turned 43
off the stove and walked 42
off the table and across 56
off the table and chairs 59
off the table and dumped 52
off the table and handed 378
off the table and hurled 116
off the table and landed 293
off the table and looked 280
off the table and opened 67
off the table and picked 56
off the table and placed 338
off the table and poured 118
off the table and pulled 246
off the table and pushed 118
off the table and reached 48
off the table and rolled 137
off the table and shoved 42
off the table and stared 53
off the table and struck 41
off the table and tossed 113
off the table and turned 286
off the table and walked 784
off the table and washed 217
off the talks and return 66
off the tongue with entire 120
off the track and killed 167
off the track and landed 82
off the track and placed 65
off the track and stopping 41
off the track and through 43
off the track and turned 56
off the trail and through 51
off the trail and turned 41
off the trail and waited 62
off the trail and walked 44
off the train and bought 59
off the train and joined 51
off the train and looked 328
off the train and placed 113
off the train and rushed 124
off the train and through 43
off the train and waited 101
off the train and walked 1210
off the treaty with france 44
off the trees and bushes 326
off the trees and shrubs 55
off the trees with sticks 43
off the truck and walked 116
off the wagon and walked 245
off the walls and ceilings 556
off the walls and floors 107
off the walls and placed 43
off the water and carbon 113
off the water and looked 181
off the water and opened 174
off the water and pulled 95
off the water and pushed 40
off the water and reached 263
off the water and remove 235
off the water and return 45
off the water and through 50
off the water and turned 250
off the water and walked 61
off the wheel and patted 114
off the wheel and placed 95
off the wheel and reached 203
off the wheel and turned 96
off the wheel long enough 108
off the women and cattle 55
off thy darts with shafts 111
off to change for dinner 104
off to change her clothes 146
off to change his clothes 280
off to dance with someone 44
off to dress for dinner 605
off to dress for sunday 190
off to paris and london 88
off to search for another 52
off to sleep and dreamed 274
off to sleep she thought 49
off to sleep with visions 87
off to spend with family 101
off to visit her brother 89
off to visit her family 119
off to visit her friend 47
off to visit her sister 349
off to visit his brother 108
off to visit his family 245
off to visit his friend 171
off to visit his sister 125
off to within two inches 40
oft he turns his truant 107
oft to change his lodgings 45
oft to folly led through 47
oft we faint and falter 47
oil is drawn off through 48
oil of lemon with dilute 79
oil of orange with dilute 65
oil to which this section 103
old he shall not depart 119
