oak was once a little 56
oath with such a degree 65
off and have a little 281
off and join a circus 41
off and made a little 47
off and make a crater 63
off and make a little 87
off and take a letter 73
off and take a shower 124
off and took a couple 140
off and took a shower 51
off for even a moment 109
off for half a second 48
off for just a little 179
off for just a minute 144
off for just a moment 202
off for just a second 161
off for only a moment 86
off for over a decade 141
off him like a rubber 43
off with half a million 97
off with just a couple 105
off with just a little 351
off with only a broken 41
off with only a little 153
off with only a slight 144
oil and over a million 44
oil has only a slight 44
old age into a future 40
old and good a friend 55
old and kind a friend 58
old and true a friend 68
old boy from a family 51
old man felt a little 50
old man gave a glance 58
old man gave a little 103
old man gave a slight 49
old man into a corner 47
old man leading a donkey 52
old man made a little 157
old man made a speech 84
old man said a prayer 69
old man took a wooden 46
old man upon a winter 189
old man wept a little 43
old man when a better 101
old men held a secret 91
old one from a middle 100
old tin lamp i should 42
one and half a million 52
one arm into a sleeve 140
one being like a shrill 58
one being only a larger 70
one can call a person 110
one can cite a number 242
one can draw a circle 119
one can draw a direct 124
one can draw a number 289
one can feel a greater 235
one can feel a little 138
one can feel a warmer 98
one can find a better 312
one can find a common 290
one can find a direct 105
one can find a fairly 124
one can find a family 44
one can find a finite 43
one can find a greater 47
one can find a little 147
one can find a number 1848
one can find a proper 82
one can find a series 172
one can find a simple 136
one can find a unique 193
one can form a better 130
one can form a fairly 277
one can form a mental 190
one can form a pretty 94
one can form a proper 136
one can gain a better 657
one can gain a clearer 151
one can gain a deeper 148
one can gain a fairly 175
one can gain a greater 126
one can give a better 744
one can give a glance 125
one can give a greater 149
one can give a person 56
one can give a simple 194
one can have a belief 146
one can have a better 723
one can have a chance 84
one can have a deeper 121
one can have a direct 174
one can have a fairly 221
one can have a greater 950
one can have a higher 649
one can have a little 248
one can have a mental 47
one can have a moment 103
one can have a number 98
one can have a proper 121
one can have a serious 47
one can have a special 44
one can have a thought 46
one can have a vested 129
one can help a person 59
one can hold a candle 473
one can keep a secret 407
one can kill a person 201
one can know a person 120
one can list a number 115
one can live a normal 41
one can love a person 162
one can make a better 554
one can make a career 57
one can make a choice 546
one can make a decent 115
one can make a direct 231
one can make a fairly 494
one can make a further 197
one can make a greater 128
one can make a little 101
one can make a number 469
one can make a person 66
one can make a pretty 207
one can make a profit 587
one can make a proper 50
one can make a series 133
one can make a shrewd 40
one can make a simple 222
one can make a special 59
one can make a useful 121
one can make a virtue 125
one can note a number 40
one can open a german 78
one can open a school 54
one can reach a higher 143
one can show a better 60
one can stop a person 47
one can take a little 67
one can take a number 90
one can take a sample 43
one can tell a person 117
one day came a letter 215
one day during a session 47
one day fall a victim 119
one day from a cleared 78
one day from a friend 127
one day from a little 40
one day have a chance 83
one day have a direct 46
one day have a family 76
one day have a greater 40
one day having a family 54
one day into a church 97
one day into a little 58
one day made a remark 43
one day make a figure 108
one day reading a french 53
one day took a little 53
one day upon a friend 42
one day upon a little 43
one day want a friend 48
one day what i thought 87
one day when a couple 93
one day when a farmer 96
one day when a fellow 73
one day when a friend 324
one day when a letter 76
one day when a little 256
one day when a member 52
one day when a number 77
one day when a police 46
one day when a strange 41
one day when a sudden 59
one day when i became 88
one day when i called 422
one day when i caught 107
one day when i learned 48
one day when i looked 167
one day when i needed 79
one day when i opened 80
one day when i passed 119
one day when i picked 101
one day when i pulled 42
one day when i reached 44
one day when i should 41
one day when i showed 59
one day when i thought 149
one day when i turned 53
one day when i walked 235
one day when i wanted 92
one does feel a little 90
one does from a tunnel 44
one does have a choice 130
one doth draw a little 72
one end hangs a monkey 72
one end into a handle 42
one end into a vessel 72
one end like a chisel 54
one end like a pencil 51
one end were a number 44
one eye just a little 64
one eye rose a hideous 78
one for half a dollar 50
one for over a decade 52
one goes down a family 127
one goes down a shelving 46
one goes into a grinding 95
one goes into a strange 99
one had been a little 172
one had been a member 488
one had even a little 125
one had made a serious 106
one had made a special 45
one had seen a friend 107
one has also a direct 88
one has also a little 40
one has been a better 179
one has been a greater 154
one has been a little 201
one has been a member 245
one has been a victim 212
one has done a better 451
one has even a slight 42
one has left a record 109
one has made a better 124
one has made a choice 142
one has made a double 91
one has made a formal 42
one has made a greater 214
one has made a proper 46
one has made a serious 288
one has made a special 67
one has only a little 242
one has only a partial 55
one has seen a number 55
one leak make a couple 43
one leg like a flamingo 75
one man among a million 75
one man whom i should 60
one man whom i thought 43
one may call a purely 46
