odd reply for any partisan 42
off about his own business 171
off again with all possible 351
off method for tax purposes 170
oil shock and its aftermath 60
old books and old pictures 41
old chief had not deceived 80
old child who had suffered 58
old child who was admitted 45
old child who was referred 45
old crone who was performing 58
old father for his generous 47
old frame was too sturdily 88
old gowns and new romances 56
old house and its contents 61
old indian and his daughter 77
old lover she has blighted 69
old mother and her daughter 95
old mother with two children 57
old nurse who had attended 46
old order was that unstable 75
old people are not supposed 41
old people saw her approach 172
old pitch seal was loosened 44
old print for his portfolio 41
old prude that has censured 43
old quill with his penknife 72
old seaman had not advanced 49
old straw hat was valuable 57
old white man was admitted 158
old white man was referred 64
old widow and her daughter 57
old widow with two children 146
old woman and her children 115
old woman and her daughter 1649
old woman and her grandson 476
old woman and two children 304
old woman are now servants 40
old woman for her kindness 53
old woman for his mistress 106
old woman had not listened 53
old woman sang with increased 54
old woman who had admitted 71
old woman who had attended 53
old woman who had followed 53
old woman who had formerly 74
old woman who had outlived 70
old woman who had received 226
old woman who had recently 271
old woman who had remained 47
old woman who had suffered 592
old woman who had summoned 52
old woman who had survived 43
old woman who has outlived 71
old woman who has recently 163
old woman who has suffered 136
old woman who has survived 44
old woman who sat opposite 92
old woman who was admitted 554
old woman who was diagnosed 236
old woman who was employed 60
old woman who was executed 63
old woman who was involved 83
old woman who was murdered 61
old woman who was obviously 53
old woman who was probably 41
old woman who was recently 126
old woman who was referred 293
old woman who was supposed 93
old woman with her daughter 84
old woman with six children 62
old woman with two children 406
old women who tie cherries 98
one adult and one immature 175
one adult and one juvenile 168
one adult and two children 1034
one after his own elevation 47
one asked her any questions 82
one asked him any questions 375
one asset and one liability 61
one black and one hispanic 72
one blond and one brunette 64
one child and was pregnant 109
one civil and one criminal 374
one civil and one military 420
one civil and one religious 45
one clerk and one messenger 301
one could bring who returned 44
one could cut out pictures 41
one could not but conclude 132
one could not but contrast 218
one could not but perceive 112
one could not but remember 192
one could not say prettily 64
one could not then conceive 42
one could say that american 43
one could say that whatever 109
one could say with absolute 140
one could say with accuracy 43
one could say with authority 104
one donor and one acceptor 228
one empty and one containing 49
one entry for each distinct 59
one entry for each operation 51
one entry for each physical 86
one entry for each possible 85
one event that had happened 50
one feels that this constant 51
one field and one armature 45
one flock and one shepherd 5326
one flock with one shepherd 559
one forum does not preclude 68
one fried egg for breakfast 68
one group does not preclude 43
one heaven can not associate 41
one human being can exercise 77
one human being can possibly 96
one human being that forenoon 94
one issue that has received 64
one judge for each district 119
one knows his own business 122
one knows that all chemical 40
one knows that this ministry 65
one knows that this tribunal 87
one knows who has examined 304
one knows why this happened 121
one knows with any precision 56
one leader and one follower 115
one level does not preclude 43
one liked his own portrait 48
one linear and one circular 614
one linear and one nonlinear 143
one method and one property 48
one might add that portrait 211
one might say that american 112
one might say that carnival 277
one might say that education 94
one might say that religious 104
one might say that whatever 161
one might say that whenever 105
one miles long and fourteen 124
one minding his own business 70
one minds his own business 177
one morning she was awakened 49
one motion and two questions 65
one naked leg and wriggled 49
one nation with one interest 178
one naval and one military 116
one needs for any personal 105
one night and then returned 50
one night and then vanished 76
one night she was awakened 79
one night that she believed 44
one nurse and one physician 44
one ovary and one testicle 96
one pagan and one christian 114
one party and his practice 51
one party does not diminish 54
one party does not preclude 47
one piece for each vertical 56
one place and then suddenly 65
one place for any extended 43
one point for each category 50
one point for each positive 60
one point for each response 119
one point for each sentence 64
one point she was resolved 97
one point that was forbidding 59
one pound two and sixpence 51
one price and one quantity 57
one pupil who was supposed 56
one radial and one tangential 48
one rather than two separate 101
one really can not remember 40
one reason for his interest 81
one reason for his selection 45
one reason for its continuing 96
one reason for its relative 60
one reason for its selection 45
one reason for its survival 49
one reason for our interest 53
one reason for this apparent 113
one reason for this approach 46
one reason for this attitude 144
one reason for this condition 136
one reason for this emphasis 57
one reason for this interest 51
one reason for this relative 54
one reason for this situation 198
one reason why his highness 52
one reason why she remained 67
one reason why they required 67
one region are now consumed 73
one right way for everyone 50
one rigid and one flexible 55
one round you but horrible 40
one seeks his own interest 54
one serial and one parallel 202
one shall say that justifying 60
one spoke and all listened 53
one stage can not properly 75
one state and doing business 92
one state are not invested 47
one state are not required 81
one state but doing business 106
