obey of 56 once the 51
once to 56 once to 139
ones the 59 ones in 62
only to 58 only to 51
only of 61 only to 83
only to 66 only of 76
only at 67 only as 74
only to 42 only of 42
only of 43 only in 55
only the 51 only to 45
only to 43 open of 69
open to 59 open of 48
open to 83 open to 66
open the 109 other of 78
other of 40 other of 78
other in 174 other in 40
other in 99 other by 77
ours by 46 over of 89
over in 77 over of 93
over the 61 owed to 49
owed to 339 owed to 131
owed to 64 owes as 40
owes to 545 owes to 396
