object for thought even when 90
object had caught their eyes 67
object that looked very much 40
object that should have been 52
object that starts from rest 54
object was passed from hand 52
obvious and should have been 71
obvious that something must have 62
obvious that something must pass 42
offers had already been made 50
office for almost five years 44
office for almost four years 72
office for almost three years 71
office for another five years 261
office for another four years 378
office for another three years 138
office had always been held 45
office has always been held 72
office that looked more like 40
office that should have been 63
office was handed down from 61
opened and closed from time 47
opened and closed like those 47
opened and closed once more 139
opened and closed their eyes 81
opened and looked into mine 155
opened and someone came into 66
opened them something very cold 46
opened this matter upon these 66
openly and wholly into their 49
opinion had become much more 43
opinion has always been more 40
opinion has become much more 164
opinion has changed over time 47
opinion that should break down 101
opinion that twelve feet nine 61
opinion they should have been 101
options are broken down into 51
options that should have been 40
oranges and lemons have been 69
orders are handed down from 58
orders are passed down from 47
orders are placed only when 74
orders had already been sent 220
orders that should have been 73
origin has seldom been used 50
outlaw and murder such part 51
output per worker have been 44
output per worker rose from 60
output per worker will rise 49
