oath been 59 oil less 46
old songs 41 old have 70
old says 51 old come 50
old down 74 old wife 63
old says 81 old sealing 71
old says 53 old tall 59
old were 269 old said 44
old says 60 one there 61
one were 55 one come 56
one feel 62 one find 40
one have 1012 one knew 54
one know 96 one lack 46
one live 46 one need 49
one want 66 one were 793
one will 67 one ever 44
one wife 92 one been 160
one been 128 one month 48
one some 98 one seen 142
one made 106 one over 161
one their 74 one been 366
one been 230 one hour 81
one mile 55 one month 152
one made 56 one paid 60
one acre 76 one such 49
one there 60 one sees 41
one lips 89 one teeth 64
one thumb 42 one been 45
one been 162 one made 137
one there 47 one only 95
one only 66 one there 100
one such 68 one from 42
one there 102 one these 168
one there 151 one into 108
one what 88 our other 85
our upon 105 our other 116
our been 54 our more 60
our play 134 our means 44
our been 67 our milk 47
our most 275 our ready 99
our other 64 our those 57
our your 59 our from 54
our been 48 our been 49
our among 64 our arab 331
our their 114 our have 59
our woad 52 our other 271
our even 40 our there 177
our these 88 our when 49
our most 43 our other 54
our will 63 our very 80
our very 742 our been 48
our their 40 our leads 64
our were 42 our paid 53
our cast 73 our some 62
our take 50 our have 49
our been 62 our been 43
our self 40 our club 479
our other 110 our their 86
our been 219 our only 50
our most 49 our such 40
our been 108 our been 68
our have 68 our there 49
our harm 56 our more 130
our made 58 our other 91
our other 120 our from 69
our teeth 54 our make 79
our cool 45 our been 59
our most 50 our other 42
out will 44 out name 41
out have 44 out were 159
own were 48 own heard 45
own those 74 own were 68
own from 40 own time 85
own like 80 own self 41
own have 41 own even 44
