tab offers the following 180
tag causes the browser 44
tag should be affixed 49
tag should be removed 53
tap should be located 58
tar should be applied 413
tar tumors of rabbits 133
tax advice is desired 62
tax advice to clients 108
tax appears in question 45
tax before the supreme 60
tax burden as between 169
tax burden as measured 67
tax burden be shifted 49
tax burden in america 47
tax burden in britain 49
tax burden in general 43
tax burden in germany 61
tax burden in relation 181
tax burden is carried 50
tax burden is defined 43
tax burden is divided 49
tax burden is heaviest 48
tax burden is imposed 105
tax burden is lighter 62
tax burden is reduced 188
tax burden is shifted 1018
tax burden is usually 65
tax burden of certain 53
tax burden of farmers 101
tax burden of financing 171
tax burden of foreign 106
tax burden of providing 60
tax burden on average 98
tax burden on capital 1298
tax burden on certain 70
tax burden on current 43
tax burden on exports 66
tax burden on farmers 258
tax burden on foreign 290
tax burden on imports 63
tax burden on incomes 130
tax burden on married 106
tax burden on peasants 110
tax burden on persons 88
tax burden on private 162
tax burden on profits 87
tax burden on workers 182
tax burden to finance 135
tax burden to national 50
tax burden to support 189
tax causes an increase 40
tax credit as follows 82
tax credit in addition 72
tax credit in computing 58
tax credit in relation 143
tax credit in respect 2165
tax credit is allowed 4201
tax credit is applied 211
tax credit is claimed 506
tax credit is enacted 53
tax credit is figured 41
tax credit is granted 1104
tax credit is limited 1845
tax credit is offered 64
tax credit is reduced 1013
tax credit is repealed 300
tax credit is similar 42
tax credit is subject 225
tax credit is usually 109
tax credit on capital 181
tax credit on certain 99
tax credit on foreign 98
tax credit on research 83
tax credit or subsidy 50
tax credit or voucher 100
tax credit to certain 54
tax credit to foreign 76
tax credit to include 93
tax credit to parents 101
tax credit to persons 59
tax credit to provide 88
tax credit to replace 53
tax effect of including 52
tax effort in relation 317
tax effort to support 83
tax equals or exceeds 43
tax evasion by foreign 115
tax evasion by private 99
tax evasion is illegal 320
tax evasion is rampant 230
tax exceed the revenue 41
tax excess of capital 68
tax exempt or taxable 113
tax failed to produce 46
tax income is reduced 117
tax income to finance 112
tax income to support 47
tax itself to provide 159
tax itself to support 179
tax levied by charles 74
tax levied by congress 351
tax levied in addition 99
tax levied in respect 344
tax levied on capital 199
tax levied on certain 257
tax levied on exports 66
tax levied on farmers 48
tax levied on foreign 611
tax levied on imports 431
tax levied on incomes 100
tax levied on persons 131
tax levied on private 142
tax levied on profits 335
tax levied on sellers 114
tax levied on taxable 44
tax levied on tobacco 117
tax levied or imposed 44
tax levied to finance 107
tax levied to provide 54
tax levied to support 165
tax levies to finance 70
tax levies to support 172
tax losses to shelter 151
tax measure in question 96
tax monies to support 420
tax needed to finance 95
tax passed by congress 94
tax payers in general 126
tax placed on imports 78
tax policy in general 300
tax policy in relation 198
tax policy on capital 62
