tap hidden reserves of 43
tax advice concerning the 45
tax advice pertaining to 109
tax advice relative to 159
tax already referred to 52
tax amount annually to 120
tax amount computed in 72
tax annual exclusion is 409
tax annual exclusion of 125
tax annual exclusion or 57
tax annual exclusion to 162
tax arrears amounted to 145
tax burden amounted to 41
tax burden compared to 109
tax burden incident to 143
tax burden increased by 103
tax burden involved in 49
tax burden relative to 638
tax burden required to 202
tax changes designed to 330
tax changes proposed by 103
tax changes proposed in 51
tax claims entitled to 138
tax credit amounted to 50
tax credit approach is 76
tax credit approach to 70
tax credit attached to 183
tax credit designed to 581
tax credit increases the 103
tax credit programs in 67
tax credit programs to 85
tax credit property is 70
tax credit proposal is 49
tax credit proposed by 105
tax credit provided by 673
tax credit provided in 96
tax credit provides an 65
tax credit provides the 58
tax credit provision of 64
tax credit purposes as 102
tax credit purposes is 79
tax credit pursuant to 227
tax credit received by 75
tax credit referred to 123
tax credit retained by 363
tax dollar invested in 41
tax effect proposed in 51
tax effort relative to 80
tax effort required to 48
tax exempt interest is 180
tax exempt interest on 175
tax exempt property in 81
tax income increased by 46
tax income received by 756
tax income required to 116
tax issues involved in 624
tax issues pertaining to 60
tax issues relative to 90
tax issues relevant to 280
tax levied annually on 85
tax levied directly on 309
tax levied pursuant to 234
tax losses incurred by 68
tax losses produced by 41
tax measure designed to 111
tax periods involved in 71
tax planning involves the 62
tax planning strategy is 94
tax planning strategy of 42
tax planning strategy to 74
tax policy designed to 248
tax reform designed to 295
tax reform increased the 91
tax reform increases the 86
tax reform movement of 118
tax reform proposal in 64
tax reform proposal is 72
tax reform proposal of 53
tax reform proposal to 144
tax reform proposed by 225
tax reform resulted in 44
tax relief afforded by 46
tax relief provided by 430
tax relief provided to 184
tax return containing the 71
tax return explaining the 189
tax return includes the 139
tax return prepared by 695
tax return preparer as 142
tax return preparer if 74
tax return preparer in 54
tax return preparer is 276
tax return preparer or 181
tax return preparer to 189
tax return problems in 47
tax return pursuant to 129
tax return received by 59
tax return reflecting the 130
tax return required by 851
tax return required to 290
tax return resulted in 44
tax shield benefits of 51
tax shield provided by 1065
tax should continue to 204
tax should probably be 71
tax should properly be 42
tax should therefore be 158
tax stamps required by 52
tax system attempts to 50
tax system benefits the 58
tax system consisting of 82
tax system consists of 438
tax system designed to 992
tax system distorts the 57
tax system increases the 87
tax system operates in 48
tax system operates on 225
tax system prevailing in 70
tax system proposed by 240
tax system provides an 192
tax system reflects the 47
tax system resulted in 78
tax tables provided by 161
tax through payments of 51
team became involved in 133
team become involved in 43
team effort involved in 52
team effort required to 191
team member assigned to 199
team member attempts to 149
team member involved in 112
team report directly to 41
team should complete the 78
team should consider the 817
team should continue to 254
team should document the 103
team should estimate the 67
team should evaluate the 326
team should identify the 338
team should maintain an 41
team should therefore be 51
ten annual payments of 681
ten athenian generals at 55
ten before responding to 47
ten billion galaxies in 46
ten cities included in 59
ten dinars redeemed me 42
ten eldest guardians of 62
ten german divisions in 101
ten german divisions on 46
ten jewish families in 78
ten leagues northwest of 50
ten martial heroines of 177
ten million children in 183
ten million citizens of 78
ten million families in 72
ten million hectares of 238
ten million quarters of 92
ten million refugees in 126
ten million refugees to 71
ten million visitors in 44
ten million visitors to 49
ten minute exposure to 52
ten monthly payments of 120
ten oldest guardians of 87
ten papers included in 41
ten parish churches in 47
ten police officers in 45
ten pounds annually to 151
ten public lectures on 51
ten school children in 46
ten seemed inclined to 79
ten slaves employed in 53
ten states included in 47
than active partners in 46
than actual delivery of 48
than actual evidence of 72
than actual examples of 57
than actual exposure to 50
than actual increases in 111
than actual movement of 40
than actual patterns of 53
than actual practice in 72
than adhere strictly to 143
than adhering strictly to 266
than allowing children to 154
than allowing evidence as 105
than allowing patients to 50
than allowing students to 292
than allowing yourself to 351
than almost anywhere in 743
than almost anywhere on 105
than almost everyone in 90
than always attempting to 60
than amount required to 44
than annual coverage of 49
than another category of 44
than another creditor of 56
than another deserves the 40
than another entitled to 66
than another exercise in 55
than another incident in 50
than another instance of 303
than another relative to 50
than anyone believed in 49
than anyone deserves to 50
than anyone expected at 78
than anyone expected in 97
than anyone expected it 92
than anyone expected of 58
than anyone expected or 81
than anyone expected to 73
than anyone imagined at 135
than anyone imagined in 77
than anyone imagined it 83
than anyone involved in 69
than appealing directly to 104
than appears possible at 58
than aqueous solutions of 146
than assets retained to 41
than barely adequate to 75
than barely indicate the 50
than barely sufficed to 41
than barely suffices to 55
than become absorbed in 68
than become citizens of 52
than become conscious of 53
than become enmeshed in 93
than become entangled in 259
than become immersed in 44
than become involved in 1414
than become servants to 87
than become subjects of 63
than becoming absorbed in 65
than becoming attached to 49
than becoming enmeshed in 75
than becoming entangled in 103
than becoming immersed in 93
than becoming involved in 819
than before concerning the 82
than before exposure to 68
than before relative to 101
than before sensible of 58
than bodies composed of 49
than carbon monoxide or 63
than casual attention to 519
than casual interest in 1430
than casual interest on 56
than casual interest to 464
than chance accuracy in 67
than changes produced by 47
than cicero commends the 52
than commit yourself to 57
than common attention to 357
than common courtesy to 62
than common interest in 823
than common interest my 116
than common interest on 75
than common interest to 340
than common prudence in 50
than common prudence to 238
than common vivacity the 43
than deeply affected by 48
than deeply sensible of 54
than demand deposits in 52
than depend entirely on 159
than devote attention to 42
than devoting attention to 42
than direct analysis of 41
than direct attempts to 109
than direct attention to 483
than direct controls on 53
than direct delivery of 46
than direct evidence of 242
than direct exposure to 207
than direct imitation of 71
than direct injection of 40
than direct payments to 87
than direct provision of 147
than direct response to 46
than direct services to 75
than direct transfer of 51
than direct treatment of 52
than double compared to 131
than earlier accounts of 61
than earlier attempts at 70
than earlier attempts to 216
than earlier examples of 52
than eighty articles in 86
than eighty articles on 52
than eleven children in 58
than english children of 72
than enough attention to 57
than enough bandwidth to 84
than enough business to 225
than enough capacity to 366
than enough children to 148
than enough evidence in 202
than enough evidence of 408
than enough evidence on 42
than enough evidence to 2302
than enough examples of 292
than enough examples to 94
than enough inclined to 49
than enough interest in 41
than enough manpower to 93
than enough pictures of 45
than enough pressure to 56
than enough problems in 89
than enough problems of 153
than enough problems on 43
than enough problems to 195
than enough property to 49
than enough supplies to 57
than enough troubles of 104
than errors inherent in 41
than exerting pressure on 40
than exists anywhere in 63
than expose children to 42
than expose yourself to 177
than exposing yourself to 49
than famine embarked in 65
than female children in 89
than female children to 63
than female patients to 62
than female students in 115
than female students to 191
than fleeting attention to 153
than fleeting glimpses of 177
than fleeting interest in 45
than focusing attention on 598
than focusing directly on 277
than focusing entirely on 278
than focusing initially on 41
than focusing narrowly on 411
than focusing strictly on 139
than formal attention to 42
than formal education in 150
than formal education is 64
than formal education or 82
than formal equality of 51
than former justices of 45
than further attempts at 52
than further attempts to 67
than further evidence of 122
than further expansion of 71
than further increases in 100
than futile attempts at 51
than futile attempts to 116
than greater emphasis on 44
than greater pleasures in 131
than groups composed of 270
than groups consisting of 59
than hermit obelisks of 44
than heroic attempts to 40
than higher education in 92
than highly gratifying to 66
than income received as 116
than income received by 43
than income received in 56
than income referred to 59
than income required to 87
than invest directly in 52
than issues concerning the 42
than kindly disposed to 46
than kindly interest in 41
than levels observed in 194
than levels reported in 121
than likely continue to 259
than likely involved in 60
than likely referred to 54
than likely reflects the 67
than limiting attention to 55
than limiting yourself to 160
than massed practice in 50
than meekly submitting to 40
than merely academic or 41
than merely addressing the 48
than merely announce the 41
than merely attempting to 440
than merely attempts to 64
than merely commenting on 123
than merely confirming the 58
than merely conforming to 124
than merely continuing the 83
than merely continuing to 84
than merely describe it 99
than merely describe the 377
than merely describing it 185
than merely describing the 392
than merely discussing the 64
than merely document the 40
than merely economic or 53
than merely explaining the 94
than merely expressing an 50
than merely expressing the 75
than merely fulfilling the 52
than merely functioning as 109
than merely identify the 112
than merely indicate the 204
than merely indicating the 83
than merely maintain the 63
than merely memorizing the 64
than merely performing the 58
than merely personal or 75
than merely physical or 49
than merely predicting the 45
than merely presenting the 145
than merely preserve the 74
than merely preserving the 77
than merely pretending to 45
than merely preventing the 87
than merely products of 45
than merely protecting the 140
than merely referred to 54
than merely reflecting it 156
than merely reflecting or 44
than merely reflecting the 275
than merely register the 41
than merely regulating the 49
than merely responding to 987
than merely satisfying the 107
than merely submitting to 57
than merely supporting the 91
than minute attention to 43
than modest increases in 42
than moneys provided by 174
than monies provided by 66
than mortal goodness in 44
than myself withholds the 93
than native citizens or 94
than nature intended it 69
than nature regarded as 43
than ninety families of 61
than normal activity in 82
than normal activity of 114
than normal attention to 105
than normal capacity to 74
than normal children at 74
than normal children do 134
than normal children in 248
than normal children of 452
than normal children on 135
than normal children or 52
than normal children to 381
than normal controls at 49
than normal controls in 190
than normal controls on 332
than normal controls or 100
than normal controls to 162
than normal excretion of 74
than normal exposure to 80
than normal increases in 114
than normal interest in 279
than normal interest on 51
than normal pressure in 57
than normal pressure is 47
than normal pressure on 54
than normal pressure to 68
than normal progress in 127
than normal quantity of 272
than normal rainfall in 122
than normal reduction in 41
than normal relative to 82
than normal response to 143
than normal secretion of 108
than normal standard of 105
than normal stimulus is 105
than normal stimulus to 53
than normal subjects at 59
than normal subjects do 51
than normal subjects in 152
than normal subjects of 71
than normal subjects on 99
than normal subjects or 41
than normal subjects to 270
than normal tendency to 157
than normal turnover of 46
than offering solutions to 44
than offset declines in 171
than offset decreases in 61
than offset increases in 209
than partial glimpses of 58
than police officers in 64
than police officers to 58
than policy intuition to 55
than polite attention to 68
than polite interest in 167
than prices prevailing in 61
than prices received by 96
than prince gustavus of 47
than proved possible in 113
than public agencies in 53
than public agencies to 63
than public displays of 64
than public interest in 61
than public officials or 64
than public property in 41
than public provision of 79
than public relations in 41
than public relations or 43
than purely economic in 41
than purely economic or 78
than purely physical or 56
than random selection of 149
than recall attention to 47
than relating directly to 60
than remain attached to 42
than remain confined to 70
than remain ignorant of 46
than return directly to 99
than school children in 55
than scores obtained by 62
than seemed agreeable to 73
than seemed apparent at 43
than seemed possible at 243
than seemed possible by 50
than seemed possible in 534
than seemed possible on 47
than seemed possible to 275
than seemed probable at 82
than seemed probable in 51
than serious attempts at 110
than serious attempts to 488
than serious attention to 55
than serious students of 86
than should normally be 156
than should otherwise be 54
than should properly be 106
than simple accounts of 47
than simple analysis of 43
than simple diffusion is 41
than simple diffusion of 54
than simple examples of 42
than simple exposure to 148
than simple imitation of 101
than simple increases in 60
than simple interest is 54
than simple presence or 55
than simple questions of 95
than simple reduction of 53
than simple transfer of 41
than simply abandoning the 115
than simply accepted as 40
than simply addressing the 170
than simply announcing it 94
than simply announcing the 82
than simply attempting to 625
than simply collecting the 64
than simply commenting on 129
than simply completing the 49
than simply condemning the 82
than simply confirming the 43
than simply conforming to 125
than simply consider the 41
than simply consisting of 47
than simply continue to 82
than simply continuing the 65
than simply continuing to 232
than simply correcting the 67
than simply delivering the 49
than simply describe it 102
than simply describe the 376
than simply describing it 146
than simply describing the 572
than simply destroying the 60
than simply developing the 64
than simply discarding the 49
than simply discussing the 93
than simply dismissing it 90
than simply dismissing the 156
than simply displaying the 113
than simply document the 51
than simply economic or 42
than simply estimating the 63
than simply evaluating the 128
than simply evidence of 60
than simply explaining the 106
than simply exploiting the 50
than simply expressing the 56
than simply fulfilling the 64
than simply functioning as 228
than simply identify the 117
than simply indicate the 102
than simply indicating the 114
than simply installing the 44
than simply maintain the 76
than simply maximizing the 106
than simply memorize it 41
than simply memorizing the 128
than simply minimizing the 80
than simply monitoring the 88
than simply performing the 76
than simply portraying the 41
than simply predicting the 55
than simply presenting an 46
than simply presenting it 44
than simply presenting the 268
than simply preserve the 43
than simply preserving the 93
than simply preventing the 51
than simply protecting the 145
than simply purchasing the 56
than simply questioning the 47
than simply questions of 56
than simply recounting the 59
than simply reflecting an 51
than simply reflecting it 126
than simply reflecting on 59
than simply reflecting or 62
than simply reflecting the 334
than simply responding in 45
than simply responding to 1557
than simply satisfying the 49
than simply separating the 48
than simply specifying the 64
than simply submitting to 115
than simply succumbing to 76
than simply supporting the 118
than simply transfer the 43
than slaves commonly so 368
than slight variations in 109
than slight variations of 54
