tan a and tan 459
tap a new and 101
tau i can not 41
tax a man for 355
tax a man who 163
tax a man with 208
tax a sum not 177
tax a tax for 205
tax a tax that 2185
tax i can not 90
tax i pay for 61
team a and team 383
team a long way 74
team a team that 240
team a year ago 125
team i can not 52
team i did not 116
team i was going 103
team i was with 222
tear a bit off 220
tear a leaf off 43
tear a leaf out 375
tear a leg off 50
tear a man out 44
tel i kin git 46
tel l you that 45
ten a bad way 41
ten a day and 285
ten a day for 187
ten a day was 69
ten a dead man 50
ten a year and 70
ten a year for 73
ten i can not 123
ten i did not 183
ten i had not 66
ten i had read 70
ten i owe him 64
ten i was going 44
ten i was not 81
ten i was off 41
ten i was put 55
than a and has 41
than a and that 381
than a bad act 68
than a bad and 113
than a bad boy 76
than a bad day 215
than a bad deal 158
than a bad guy 48
than a bad idea 78
than a bad jew 51
than a bad job 48
than a bad law 57
than a bad man 898
than a bad new 47
than a bad one 9934
than a bad poet 159
than a bad pun 86
than a bad son 93
than a bad war 106
than a bag and 46
than a bar and 118
than a bar with 79
than a bath and 132
than a bath tub 88
than a bat out 44
than a beam and 46
than a beam with 68
than a bear and 84
than a bear can 45
than a bear with 114
than a bed and 831
than a bed for 122
than a bed pan 50
than a bed that 94
than a bed with 68
than a bee and 63
than a bee can 130
than a bee had 48
than a bee sting 1175
than a bee with 50
than a being that 407
than a being who 356
than a being with 200
than a bid for 522
than a big and 70
than a big bang 134
than a big box 142
than a big boy 88
than a big car 70
than a big cat 119
than a big dog 1016
than a big eye 67
than a big fat 185
than a big idea 57
than a big mac 286
than a big man 805
than a big old 90
than a big one 2759
than a big rat 72
than a bit and 68
than a bit mad 64
than a bit odd 159
than a bit off 146
than a bit out 248
than a bit put 85
than a bit too 179
than a bow and 621
than a bow tie 46
than a box and 65
than a box car 95
than a box for 73
than a box that 142
than a box with 331
than a boy and 1067
than a boy being 42
than a boy but 102
than a boy can 374
than a boy does 216
than a boy for 85
than a boy had 78
than a boy has 90
than a boy his 168
than a boy now 105
than a boy that 50
than a boy then 298
than a boy was 71
than a boy who 1160
than a boy with 410
than a boy yet 50
than a bra and 54
than a bus and 80
than a can not 41
than a cap and 69
than a car and 256
than a car but 50
than a car can 81
than a car for 86
than a car seat 42
than a car that 486
than a car with 293
than a cat and 415
than a cat can 383
than a cat does 121
than a cat for 65
than a cat has 218
than a cat nap 82
than a cat that 294
than a cat was 71
than a cat who 69
than a cat with 221
than a con man 153
than a cop who 53
than a cot and 64
than a cow and 230
than a cow can 141
than a cow does 214
than a cow for 53
than a cow has 212
than a cow path 217
than a cow that 245
than a cow with 118
than a cry for 551
than a cry was 104
than a cue for 61
than a cup and 119
than a cut and 140
than a cut lip 103
than a cut off 51
than a day ago 1147
than a day all 87
than a day and 5522
than a day are 291
than a day but 237
than a day can 126
than a day does 44
than a day each 102
than a day for 1218
than a day had 332
than a day has 146
than a day long 104
than a day may 79
than a day not 80
than a day now 243
than a day off 649
than a day old 2041
than a day one 98
than a day out 845
than a day per 66
than a day she 118
than a day that 274
than a day they 244
than a day too 199
than a day was 282
than a day with 627
than a day you 110
than a dead and 187
than a dead cat 117
than a dead cow 55
than a dead dog 655
than a dead end 409
than a dead fly 85
than a dead heat 86
than a dead hon 86
than a dead leaf 235
than a dead lion 7245
than a dead man 3261
than a dead old 56
than a dead one 5424
than a dead poet 280
than a dead rat 112
than a deaf and 115
than a deaf man 196
than a deal with 96
than a dear and 80
than a dear one 129
than a death and 99
than a death due 51
than a death that 182
than a den for 103
than a die may 46
than a dim and 274
than a dim idea 107
than a dim one 243
than a doer and 45
than a dog and 611
than a dog any 94
than a dog but 71
than a dog can 599
than a dog does 231
than a dog for 128
than a dog has 554
than a dog that 886
than a dog who 243
than a dog with 394
than a dry air 97
than a dry and 384
than a dry fly 145
than a dry heat 62
than a dry leaf 97
than a dry one 2818
than a dry rag 60
than a dry run 222
than a dying man 240
than a dying one 43
than a fad and 107
than a fad that 83
than a fan and 45
than a fat and 63
than a fat man 261
than a fat old 67
than a fat one 490
than a fear for 47
than a fear that 824
than a fee can 49
than a fee for 336
than a few and 364
than a few arc 137
than a few are 1230
than a few art 42
than a few bad 366
than a few big 774
than a few bob 49
than a few but 98
than a few can 528
than a few car 60
than a few day 189
than a few dead 453
than a few did 171
than a few dim 40
than a few dry 107
than a few each 74
than a few ears 70
than a few easy 41
than a few end 40
than a few for 184
than a few gay 59
than a few ghz 109
than a few had 1016
than a few head 283
than a few hot 93
than a few ill 86
than a few key 660
than a few khz 147
than a few log 75
than a few long 1577
than a few low 283
than a few may 123
than a few mean 260
than a few men 2427
than a few mhz 199
than a few min 116
than a few mud 93
than a few near 47
than a few new 1436
than a few non 282
than a few odd 381
than a few off 308
than a few oil 102
than a few old 785
than a few one 130
than a few out 322
than a few per 10122
than a few ppm 309
than a few pro 41
than a few raw 88
than a few real 189
than a few red 145
than a few run 44
than a few sad 41
than a few saw 93
than a few ten 376
than a few that 1254
than a few things 1151
than a few thin 134
than a few toes 83
than a few too 147
than a few top 101
than a few was 54
than a few weak 144
than a few web 86
than a few wet 41
than a few who 1928
than a few with 420
than a fig can 77
than a fig leaf 1203
than a flea and 73
than a flea can 56
than a fling with 62
than a fly and 71
than a fly can 117
than a fly has 141
than a fly rod 70
than a fly that 217
than a fly with 49
than a fog has 89
than a for all 46
than a fox and 182
than a fox can 59
than a gas and 92
than a gas jet 86
than a gas with 52
than a gay and 62
than a gay man 149
than a gay one 173
than a gin and 59
than a god and 108
than a god that 41
than a god they 422
than a god who 965
than a god with 56
than a gun and 199
than a gun for 45
than a gun that 41
than a gun with 79
than a guy that 44
than a guy who 745
than a guy with 219
than a hat and 99
than a hat has 53
than a head and 261
than a head for 52
than a head tax 54
than a head with 91
than a hen can 89
than a hen has 45
than a hen that 85
than a hen with 98
than a hit and 98
than a hit man 61
than a hog does 100
than a hog has 113
than a hog pen 48
than a hop and 40
than a hot air 80
than a hot and 91
than a hot bath 467
than a hot cup 102
than a hot day 55
than a hot dog 524
than a hot meal 136
than a hot one 707
than a hot tub 126
than a hot war 100
than a hue and 85
than a hug and 99
than a hut and 78
than a hut with 79
than a jew and 93
than a jew can 42
than a jew does 48
than a jew who 172
than a job and 355
than a job for 348
than a job that 672
than a job with 238
than a job you 47
than a joy and 46
than a joy for 54
than a key and 57
than a key that 58
than a kid and 67
than a kid then 45
than a kid who 198
than a kid with 178
than a lab rat 111
than a lad who 78
than a lan but 91
than a lap dog 73
than a law and 153
than a law can 64
than a law for 164
than a law that 486
than a law with 80
than a leaf that 43
than a lean and 97
than a lean man 65
than a lean one 1030
than a leap year 96
than a leg and 44
than a liar and 140
than a lie and 77
than a lie that 282
than a lion and 204
than a lion can 93
than a log hut 88
than a long act 156
than a long and 1795
than a long but 50
than a long day 613
than a long gun 152
than a long low 55
than a long one 7263
than a long poem 117
than a long row 89
than a long run 126
than a long thin 209
than a long war 145
than a long way 93
than a lot all 49
than a lot that 130
than a lot with 60
than a low and 187
than a low bow 98
than a low fat 53
than a low hum 42
than a low one 3624
than a low red 42
than a low tax 51
than a mad and 52
than a mad dog 1085
than a mad man 118
than a man and 4984
than a man any 143
than a man are 46
than a man being 112
than a man but 353
than a man can 10594
than a man did 113
than a man does 1444
than a man doing 238
than a man dying 62
than a man for 1139
than a man going 90
than a man had 537
than a man has 1467
than a man his 187
than a man lay 86
than a man led 77
than a man lying 68
than a man may 718
than a man not 211
than a man now 69
than a man out 238
than a man she 189
than a man that 3141
than a man they 51
than a man using 47
than a man was 707
than a man who 25183
than a man with 6786
than a man you 116
than a map and 119
than a map can 46
than a map for 80
than a map that 148
than a map with 48
than a mat and 55
than a meal and 114
than a meal bag 111
than a meal for 152
than a meal that 148
than a meal with 76
than a mean and 137
than a mean man 85
than a mean one 153
than a mom and 71
than a moth can 80
than a moth that 82
than a mud hut 228
than a myth and 186
than a myth for 66
than a myth that 240
than a near one 183
than a neat and 179
than a neat one 286
than a new act 46
than a new age 236
than a new and 2196
than a new art 145
than a new boy 77
than a new car 900
than a new day 60
than a new deal 207
than a new dog 94
than a new era 412
than a new hat 88
than a new idea 394
than a new job 124
than a new law 283
than a new lead 52
than a new man 295
than a new one 9958
than a new poem 48
than a new set 1911
than a new song 49
than a new tax 97
than a new toy 100
than a new war 100
than a new way 1028
than a new year 557
than a nod and 355
than a nod for 43
than a not doing 52
than a not too 71
than a nun has 234
than a one and 90
than a one day 141
than a one man 121
than a one per 477
than a one way 117
than a one year 355
than a pan and 41
than a path and 55
than a path for 74
than a path that 232
than a path with 68
than a peg for 115
than a pen and 253
than a pen can 59
than a pen for 80
than a pen pal 40
than a pet cat 63
than a pet dog 346
than a pig and 150
than a pig can 56
than a pig does 90
than a pig has 88
than a pig pen 48
than a pig sty 141
than a pin and 48
than a pin head 772
than a plea for 2091
than a plea that 335
than a poem and 76
than a poem can 71
than a poem that 160
than a poem with 75
than a poet and 358
than a poet can 87
than a poet for 51
than a poet who 317
than a poet with 87
than a pop song 54
than a rag and 55
than a rat and 173
than a rat that 87
than a rat with 45
than a raw boy 75
than a raw egg 62
than a raw one 110
than a real act 57
than a real and 621
than a real being 182
than a real dog 45
than a real fear 40
than a real jew 40
than a real job 79
than a real man 1683
than a real one 6949
than a real son 100
than a real war 145
than a red and 92
than a red ant 57
than a red fox 91
than a red heat 337
than a red hot 62
than a red one 826
than a red rag 61
than a red ray 47
than a rod and 155
than a roth ira 511
than a run and 57
than a run for 133
than a sad and 196
than a sad one 373
than a seal put 59
than a seat for 78
than a set and 51
than a set fee 42
than a set for 59
than a set off 52
than a set that 101
than a set with 74
than a sex act 44
than a sex one 44
than a shoe box 587
than a sin and 52
than a six per 90
than a six year 144
than a sling and 80
than a son and 215
than a son can 58
than a song and 145
than a song can 90
than a song for 59
than a song out 44
than a song that 162
than a song with 48
than a son has 54
than a son who 268
than a son with 40
than a sop for 66
than a spy and 87
than a spy for 81
than a sun with 60
than a tad bit 46
than a tax and 97
than a tax cut 475
than a tax that 183
than a tax year 82
than a team and 47
than a team that 476
than a team with 162
than a tear one 51
than a tear that 58
than a ten per 723
than a ten year 461
than a thin and 334
than a thin bar 40
than a thin man 85
than a thin oil 64
than a thin one 3832
than a thin red 41
than a tie for 134
than a tie with 50
than a tin box 59
than a tin can 258
than a tin cup 58
than a ton and 935
than a ton can 40
than a ton each 189
than a ton for 155
than a ton per 813
than a ton was 51
than a too easy 44
than a too low 46
than a top hat 117
than a toy and 142
than a toy for 220
than a toy that 92
than a toy with 41
than a tub bath 94
than a two and 126
than a two day 155
than a two per 109
than a two year 747
than a war and 84
than a war cry 42
than a war for 456
than a war that 348
than a war with 1039
than a way for 738
than a way out 467
than a way that 121
than a weak and 993
than a weak dog 299
than a weak man 299
than a weak old 80
than a weak one 4219
than a wee bit 638
than a wet and 56
than a wet cat 133
than a wet dog 60
than a wet hen 1088
than a wet one 811
than a wet rag 91
than a wig and 45
than a win for 46
than a year ago 134134
than a year all 1004
than a year and 48449
than a year any 46
than a year are 2046
than a year being 100
than a year both 193
than a year but 1823
than a year can 514
than a year dead 63
than a year did 259
than a year does 117
than a year doing 58
than a year due 264
than a year each 281
than a year for 5765
than a year goes 51
than a year had 10529
than a year has 4665
than a year her 343
than a year his 1313
than a year its 207
than a year led 61
than a year long 260
than a year may 742
than a year near 59
than a year nor 64
than a year not 184
than a year now 6315
than a year off 863
than a year old 29103
than a year one 340
than a year our 189
than a year out 2008
than a year owing 73
than a year per 50
than a year saw 41
than a year she 2767
than a year than 99
than a year that 5514
than a year then 134
than a year they 2868
than a year this 1109
than a year too 170
than a year two 449
than a year using 62
than a year was 4004
than a year who 131
than a year with 3846
than a year yet 98
than a year you 550
than a zeal for 372
than b and has 44
than b and that 532
than b does not 79
than c and that 88
than e for all 179
than i all that 87
than i and all 374
than i and are 78
than i and both 40
than i and can 136
than i and did 234
than i and far 76
than i and for 54
than i and had 1606
than i and has 199
than i and her 88
than i and his 169
than i and iii 58
than i and not 183
than i and now 48
than i and one 234
than i and she 324
than i and than 55
than i and that 956
than i and they 273
than i and this 57
than i and thus 65
than i and two 60
than i and was 877
than i and who 537
than i and with 195
than i and yet 151
than i and you 231
than i are not 47
than i ask for 285
than i ask you 98
than i bid them 43
than i but had 64
than i but not 91
than i but she 81
than i but that 42
than i but was 50
than i but who 52
than i but with 45
than i can act 45
than i can all 89
than i can and 564
than i can any 406
than i can ask 394
than i can bear 22013
than i can bring 615
than i can but 114
than i can buy 215
than i can cut 49
than i can deal 487
than i can earn 368
than i can fay 53
than i can fit 100
than i can fix 65
than i can fly 531
than i can for 665
than i can get 2800
than i can hear 367
than i can her 147
than i can his 72
than i can hit 63
than i can how 273
than i can lay 435
than i can let 59
than i can not 560
than i can now 4932
than i can one 62
than i can out 63
than i can pay 847
than i can pen 43
than i can put 1528
than i can read 647
than i can run 193
than i can say 56581
than i can see 5405
than i can set 243
than i can that 830
than i can this 129
than i can use 1711
than i can wear 158
than i can who 49
than i can why 110
than i can with 1517
than i can yet 443
than i can you 172
than i day and 76
than i did act 46
than i did all 401
than i did and 4392
than i did any 352
than i did being 70
than i did but 621
than i did for 4576
than i did god 43
than i did going 71
than i did had 131
than i did has 51
than i did her 732
than i did him 704
than i did his 368
than i did how 476
than i did long 109
than i did not 602
than i did now 321
than i did one 213
than i did our 54
than i did out 662
than i did say 157
than i did see 50
than i did six 263
than i did ten 717
than i did that 8015
than i did them 194
than i did then 6429
than i did this 1497
than i did two 1146
than i did was 224
than i did who 66
than i did why 97
than i did with 9327
than i did you 278
than i die for 56
than i does not 85
than i earn and 43
than i fear all 49
than i fear death 673
than i fear for 87
than i fear has 52
than i fear him 78
than i fear his 94
than i fear man 56
than i fear our 121
than i fear she 64
than i fear that 48
than i fear they 293
than i fear you 496
than i for all 44
than i for any 49
than i for her 104
than i for him 149
than i for his 44
than i for one 456
than i for that 141
than i for thee 70
than i for them 66
than i for this 120
than i for you 106
than i get for 149
than i get now 115
than i get out 316
than i got for 315
than i got out 428
than i got that 40
than i got them 54
than i got this 62
than i got with 55
than i had all 637
than i had and 1135
than i had any 9331
than i had but 125
than i had for 5004
than i had going 73
than i had got 319
than i had had 3869
than i had her 47
than i had his 45
than i had led 92
than i had let 177
than i had long 218
than i had men 44
than i had met 489
than i had not 114
than i had now 112
than i had one 65
than i had out 50
than i had put 197
than i had read 396
than i had run 203
than i had set 230
than i had six 64
than i had ten 108
than i had that 1346
than i had them 84
than i had then 1596
than i had this 191
than i had thus 58
than i had two 326
than i had use 49
than i had was 57
than i had with 4413
than i had won 52
than i had yet 6429
than i hear they 130
than i how far 267
than i how they 71
than i how you 60
than i led you 89
than i let her 56
than i let him 119
than i let you 81
than i long for 60
than i may now 43
than i may say 64
than i may see 135
than i mean and 43
than i mean that 157
than i met with 281
than i now bear 41
than i now can 525
than i now did 100
than i now get 50
than i now had 73
than i now rue 84
than i now saw 75
than i now see 329
than i now was 208
than i owe him 100
than i owe them 96
than i owe you 200
than i pay for 201
than i put them 50
than i saw all 48
than i saw and 45
than i saw her 141
than i saw him 394
than i saw his 50
than i saw how 59
than i saw not 83
than i saw our 56
than i saw that 1007
than i saw them 235
than i saw then 64
than i saw this 46
than i saw you 91
than i say that 234
than i see any 161
than i see for 94
than i see her 103
than i see him 141
than i see now 118
than i see sir 52
than i see that 148
than i see them 209
than i see with 56
than i see you 366
than i set off 111
than i set out 476
than i set them 54
than i she was 47
than i that all 51
than i that day 60
than i that eve 63
than i that his 96
than i that our 72
than i that she 99
than i that they 217
than i that this 337
than i that you 385
than i then did 245
than i then had 679
than i then was 560
than i was all 141
than i was and 7850
than i was any 69
than i was being 292
than i was but 961
than i was doing 913
than i was due 41
than i was fit 95
than i was for 3541
than i was going 524
than i was had 159
than i was her 60
than i was his 97
than i was led 907
than i was met 108
than i was not 185
than i was now 1411
than i was off 241
than i was one 112
than i was out 428
than i was six 597
than i was ten 1361
than i was that 3952
than i was then 11703
than i was this 1164
than i was too 40
than i was two 1275
than i was using 87
than i was was 59
than i was who 136
than i was with 4696
than i was yet 202
than i who are 110
than i who can 123
than i who had 473
than i who has 81
than i who may 77
than i who was 295
than i with all 174
than i with her 192
than i with him 93
than i with his 63
than i with this 58
than i with you 184
than i year and 55
than i year old 88
than i yet had 77
than i you can 149
than l can bear 48
than l can say 191
than l year old 99
than n and that 44
than n for all 44
than n that are 109
that a abc and 111
that a and all 50
