tang of blood filled 41
tap is again closed 47
tap of fleet street 79
tap of water turned 73
tap the growing demand 85
tap the growing market 77
tap the local market 129
tap the money market 107
tap the night before 168
tap the paper gently 87
tap the plate gently 48
tap the stock market 43
tap the sugar maples 81
tap the water should 90
tap the water stored 47
tap the water supply 149
tax as would amount 63
tax at rates higher 44
tax by raising prices 111
tax by which luxury 148
tax by which public 41
tax in every county 45
tax in money arises 52
tax in money instead 91
tax is first levied 201
tax is fully levied 42
tax is fully passed 52
tax is gross income 49
tax is large enough 81
tax is often called 120
tax is often levied 58
tax is quite simple 44
tax is still higher 173
tax is still levied 96
tax it while entering 115
tax of about twenty 102
tax of eight pounds 46
tax of equal amount 183
tax of every person 51
tax of fifty million 46
tax of fifty pounds 199
tax of fixed amount 128
tax of forty pounds 431
tax of sixty pounds 81
tax of thirty pounds 201
tax on bonds issued 115
tax on bonus issues 124
tax on bonus shares 308
tax on chain stores 584
tax on earned income 5363
tax on every barrel 112
tax on every dollar 247
tax on every family 57
tax on every gallon 229
tax on every member 62
tax on every peasant 46
tax on every person 534
tax on fishing tackle 104
tax on fixed assets 327
tax on gains accruing 167
tax on goods bought 94
tax on goods entering 231
tax on goods landed 54
tax on gross assets 68
tax on gross income 3448
tax on gross output 73
tax on joint return 130
tax on labor income 1532
tax on labor supply 244
tax on lands belonging 53
tax on large holdings 59
tax on leaded petrol 51
tax on legal papers 42
tax on money holdings 160
tax on money income 66
tax on motor spirit 787
tax on notes issued 237
tax on savings income 143
tax on stock issued 52
tax on stock market 102
tax on total assets 43
tax on total income 1466
tax on trading income 46
tax on trust income 671
tax or banking reasons 88
tax or legal advice 500
tax or state income 54
tax or taxes levied 74
tax or would suffer 48
tax the gross income 168
tax the nation without 51
tax the notes issued 55
tax the people heavily 275
tax the people without 1028
tax the rural sector 91
tax the total amount 149
tax the total income 571
tax the trust income 82
tax the whole amount 43
tax the whole powers 42
tax to appear before 194
tax to local bodies 66
tax to total assets 134
tax to total income 130
team an equal number 72
team at thomas nelson 79
team in grade school 54
team in place before 60
team in world series 68
team is built around 155
team is first formed 73
team is given access 45
team is large enough 102
team is newly formed 43
team is often called 70
team is small enough 76
team is strong enough 67
team is working toward 182
team no longer exists 63
team of about twelve 85
team of about twenty 304
team of armed guards 48
team of black horses 486
team of brown horses 90
team of change agents 154
team of civil rights 73
team of coach horses 48
team of cuban exiles 52
team of draft horses 628
team of driving horses 69
team of eight horses 1166
team of fiery steeds 58
team of forty horses 45
team of fresh horses 76
team of george walker 41
team of green berets 233
team of human rights 151
team of indian ponies 67
team of kenny gamble 76
team of mules pulled 65
team of mules through 56
team of people around 334
team of people behind 129
team of people should 43
team of scuba divers 81
team of senior leaders 43
team of seven horses 97
team of social worker 62
team of stout horses 64
team of strong horses 128
team of white horses 610
team on short notice 42
team or group effort 102
team the night before 381
team the world series 56
team to gather around 143
team to rally around 41
team to score twenty 124
team to visit england 107
tear is large enough 149
tear it apart before 72
tear of fixed assets 245
tear of godly sorrow 177
tear of motion without 45
tear of parting sorrow 140
tear on fixed assets 43
tear the paper before 60
tear the social fabric 397
tear the whole fabric 100
tear the whole system 40
tear up every street 54
tear up noble plants 42
ten at night before 320
ten at night waited 48
ten at night without 156
ten by eight inches 178
ten by seven inches 74
ten by trading beyond 105
ten go thither merely 64
ten of which became 49
ten of which should 45
ten on level ground 176
ten or fewer slaves 72
ten or maybe eleven 67
ten or maybe twelve 84
ten or maybe twenty 152
ten or thirty million 52
ten the evening before 40
ten the night before 647
ten the sharp tinkle 73
ten the total number 51
ten the whole family 82
ten to about twenty 121
ten to fifty fathoms 103
ten to fifty francs 55
ten to fifty grains 69
ten to fifty houses 67
ten to fifty meters 51
ten to fifty million 136
ten to fifty pounds 464
ten to fifty rupees 43
ten to fifty slaves 44
ten to forty fathoms 121
ten to forty grains 285
ten to forty houses 72
ten to forty inches 73
ten to forty million 145
ten to forty minims 71
ten to forty pounds 430
ten to nearly twenty 45
ten to seven fathoms 89
ten to seven pounds 42
ten to sixty fathoms 40
ten to sixty grains 232
ten to sixty million 41
ten to sixty minims 118
ten to sixty pounds 97
ten to thirty fathoms 107
ten to thirty grains 1700
ten to thirty houses 71
ten to thirty inches 283
ten to thirty meters 120
ten to thirty million 232
ten to thirty minims 368
ten to thirty points 70
ten to thirty pounds 1079
ten to thirty slaves 65
than an action agency 40
than an actor engaged 42
than an acute attack 48
than an acute course 63
than an acute disease 120
than an added burden 77
than an adult animal 50
than an adult female 133
than an adult needed 61
than an adult person 84
than an alarm system 69
than an ample amount 72
than an ample reward 47
than an ample supply 209
