tack and nineteen year 46
tact and capacity for 85
tact and courtesy and 229
tact and courtesy are 110
tact and courtesy that 136
tact and courtesy with 82
tact and delicacy and 105
tact and delicacy are 92
tact and delicacy for 52
tact and delicacy than 83
tact and delicacy that 413
tact and delicacy with 134
tact and firmness and 110
tact and firmness had 40
tact and firmness that 170
tact and firmness with 107
tact and goodwill and 51
tact and judgment and 291
tact and judgment are 149
tact and judgment for 62
tact and judgment than 171
tact and judgment that 368
tact and judgment with 142
tact and kindness and 72
tact and kindness that 44
tact and kindness with 123
tact and patience and 1045
tact and patience are 244
tact and patience for 67
tact and patience had 41
tact and patience may 45
tact and patience than 84
tact and patience that 284
tact and patience was 42
tact and patience with 213
tact and prudence and 80
tact and prudence that 76
tact and urbanity that 43
tags are provided for 63
tags are replaced with 56
tags are required for 246
tags for relative and 100
tags that describe how 83
tags that identify each 59
tags that identify them 55
tail and fluttering wings 46
tail and followed him 159
tail and galloped off 202
tail and prompted him 120
tail and scratching his 84
tail and scuttled off 119
tail had vanished and 50
tail was equipped with 47
tail was provided with 59
tail was straight out 111
tail with infinite ease 63
take all adequate and 43
take all decisions and 84
take all illinois with 75
take all occasions and 163
take all possible and 163
take all pressure off 159
take all services too 44
take all suitable and 85
take all supplies with 43
take and chastise them 51
take and maintain for 46
take and maintain its 46
take any attitude but 63
take any business that 48
take any decisions for 50
take any decisions that 168
take any deduction for 107
take any direction and 66
take any direction that 106
take any direction you 44
take any evidence that 47
take any exercise and 62
take any exercise for 43
take any exercise out 41
take any immediate and 50
take any interest and 85
take any interest for 276
take any medicine and 85
take any medicine for 249
take any medicine that 226
take any messages for 74
take any messages that 45
take any obstacle out 57
take any pastoral poem 83
take any pictures with 49
take any positive real 114
take any pressure off 155
take any property that 49
take any property with 89
take any questions you 83
take any security for 444
take any sentence and 44
take any situation and 138
take any situation that 254
take any situation too 77
take are numerous and 48
take both economic and 46
take both estrogen and 183
take both interest and 45
take both internal and 55
take both negative and 84
take both personal and 266
take both physical and 93
take both positive and 1253
take death seriously and 65
take for evidence that 55
take for instance his 71
take for instance one 152
take for instance that 136
take for instance this 86
take for yourself all 58
take for yourself and 125
take god seriously and 179
take her anywhere and 182
take her anywhere but 49
take her anywhere near 96
take her anywhere she 405
take her anywhere you 62
take her attention off 409
take her breakfast with 47
take her children and 785
take her children for 153
take her children out 553
take her children she 60
take her children with 2143
take her civility for 55
take her daughter and 311
take her daughter for 118
take her daughter out 598
take her daughter with 345
take her downtown and 74
take her knickers off 76
take her medicine and 210
take her presence for 96
take her prisoner and 122
take her property with 67
take her scissors and 41
take her seriously and 638
take her seriously but 42
take her seriously for 55
take her seriously now 46
take her straight out 47
take her suitcase and 50
take her umbrella and 47
take her unawares and 50
take her underwear off 88
take her upstairs and 500
take her upstairs for 72
take her upstairs now 44
take her upstairs with 87
take her wherever she 905
take her wherever they 76
take her wherever you 117
take him anywhere and 92
take him anywhere for 47
take him anywhere near 184
take him downtown and 102
take him downtown for 57
take him downtown with 50
take him entirely out 131
take him outdoors for 67
take him prisoner and 1024
take him prisoner but 44
take him prisoner for 90
take him prisoner with 56
take him seriously and 1660
take him seriously any 105
take him seriously but 138
take him seriously for 147
take him seriously now 190
take him seriously that 43
take him seriously was 160
take him seriously with 80
take him straight off 46
take him straight out 94
take him unawares and 153
take him upstairs and 373
take him upstairs for 56
take him upstairs with 65
take him wherever she 42
take him wherever they 137
take him wherever you 109
take his assigned seat 51
take his attention off 1096
take his audience with 126
take his authority for 57
take his baldness off 143
take his battalion and 70
take his blankets and 47
take his breakfast and 114
take his breakfast with 184
take his business and 93
take his business out 102
take his chattels with 53
take his children and 215
take his children for 126
take his children out 644
take his children with 278
take his commands how 60
take his concepts for 70
take his corporal oath 416
take his daughter and 427
take his daughter for 288
take his daughter off 220
take his daughter out 591
take his daughter with 655
take his dictation and 43
take his education too 89
take his estimate for 60
take his evidence and 53
take his exercise and 73
take his exercise that 85
take his judgment for 54
take his knapsack and 46
take his latitude and 231
take his likeness for 86
take his materials and 46
take his medicine and 578
take his medicine for 99
take his medicine with 102
take his mistress with 69
take his nonsense all 52
take his notebook out 113
take his overcoat off 117
take his overcoat with 51
take his passport and 62
take his personal oath 47
take his physical and 44
take his pictures and 64
take his pleasures with 73
take his portfolio and 47
take his portrait for 46
take his presence for 161
take his prisoner and 50
take his prisoner with 167
take his property and 290
take his property for 110
take his property out 145
take his property with 545
take his receipts for 51
take his regiment and 156
take his revolver and 81
take his rightful seat 159
take his security for 45
take his soldiers and 119
take his soldiers out 113
take his solitary way 63
take his students out 127
take his suitcase and 59
take his sweetheart out 40
take his trousers off 720
take his umbrella and 140
take his umbrella with 57
take his veracity for 40
take its children out 47
take its decisions with 80
take its estimate and 47
take its presence for 90
take its rightful and 106
take its validity for 68
take long extracts and 77
take long journeys and 113
take long journeys for 103
take long vacations and 56
take new evidence and 42
take off suddenly and 41
take off tomorrow and 71
take off whatever you 48
take off whenever they 76
take off whenever you 351
take one approach and 41
take one argument and 97
take one contrary for 46
take one definite and 78
take one direction and 112
take one exemption for 67
take one instance for 44
take one instance out 1590
take one instance that 40
take one suitcase and 60
take one suitcase each 47
take one suitcase with 51
take our analysis one 67
take our attention and 53
take our attention off 338
take our bicycles and 41
take our blankets and 85
take our blinders off 45
take our breakfast with 41
take our business out 97
take our children and 327
take our children for 128
take our children out 437
take our children with 200
take our concepts and 48
take our daughter and 202
take our daughter out 96
take our daughter with 79
take our examples and 290
take our failures non 44
take our families and 103
take our families for 68
take our families with 62
take our freedoms for 90
take our greatness with 245
take our husbands and 49
take our medicine and 146
take our mistakes and 68
take our mistress out 111
take our pictures and 107
take our pictures with 40
take our positions and 47
take our positions for 40
take our problems and 57
take our problems with 44
take our property and 95
take our washington for 42
take out execution for 207
take out licenses and 229
take out licenses for 318
take out policies for 95
take out policies with 84
take out warrants for 99
take out whatever they 102
take out whatever was 52
take out whatever you 131
take raw materials and 588
take six troopers and 46
take that approach and 72
take that approach with 65
take that attitude and 309
take that attitude with 481
take that contract and 55
take that direction and 54
take that evidence and 45
take that foresail off 52
take that interest and 77
take that ordinary but 157
take that pressure off 54
take that property and 46
take that seriously and 166
take that situation and 40
take them anywhere and 115
take them anywhere near 94
take them anywhere they 201
take them anywhere you 55
take them captives and 65
take them downtown and 48
take them entirely for 50
take them entirely off 97
take them entirely out 168
take them lawfully for 48
take them otherwise than 98
take them outdoors and 53
take them prisoner and 235
take them provided they 43
take them seriously and 2468
take them seriously any 91
take them seriously are 58
take them seriously but 123
take them seriously for 223
take them seriously now 54
take them seriously they 66
take them seriously too 55
take them straight out 104
take them unawares and 120
take them upstairs and 253
take them upstairs for 68
take them whenever they 142
take them whenever you 59
take them wherever they 922
take them wherever you 152
take them yourself and 47
take things otherwise than 56
take things seriously and 317
take this analysis one 290
take this approach and 399
take this approach are 305
take this approach can 57
take this approach for 293
take this approach may 77
take this approach one 330
take this approach see 51
take this approach too 111
take this approach was 109
take this approach with 350
take this approach you 95
take this argument one 959
take this argument too 157
take this attitude and 248
take this attitude are 112
take this attitude for 93
take this attitude not 48
take this attitude with 353
take this business out 83
take this business too 69
take this capacity for 84
take this challenge and 70
take this challenge lying 63
take this cylinder with 55
take this direction and 108
take this direction was 45
take this disgrace off 97
take this disorder die 98
take this document and 78
take this drunkard for 674
take this envelope and 55
take this exercise one 82
take this instance and 67
take this medicine and 185
take this medicine for 576
take this medicine with 324
take this perilous path 41
take this property and 82
take this property for 64
take this revolver and 46
take this seriously and 1375
take this seriously but 51
take this seriously for 46
take this situation and 80
take this situation for 271
take this situation lying 46
take this stubborn boy 66
take this treatment and 48
take this treatment lying 50
take this umbrella and 40
take this upstairs and 76
take too seriously all 227
take too seriously and 53
take too seriously any 200
take too seriously her 50
take too seriously his 397
take too seriously our 123
take too seriously this 141
take two aspirins and 432
take two examples and 41
take two examples out 159
take two examples that 223
take two operands and 63
take two servants with 53
take you anyplace you 90
take you anywhere and 119
take you anywhere but 86
take you anywhere for 131
take you anywhere near 253
take you anywhere that 158
take you anywhere with 62
take you anywhere you 2848
take you downtown and 186
take you downtown for 127
take you prisoner and 152
take you seriously and 605
take you seriously now 43
take you seriously then 70
take you seriously with 53
take you straight out 49
take you unawares and 51
take you upstairs and 643
take you upstairs for 95
take you upstairs now 66
take you whenever you 74
take you wherever they 61
take you wherever you 8081
taking all creatures for 74
taking all occasions that 90
taking all pressure off 92
taking and physical and 51
taking and plundering all 70
taking any distress for 53
taking any interest for 178
taking any medicine and 43
taking any medicine for 109
taking any medicine now 48
taking any security for 103
taking both children with 46
taking both estrogen and 82
taking both internal and 44
taking both positive and 97
taking had occurred and 197
taking has occurred and 264
taking her attention off 164
taking her children and 170
taking her children for 96
taking her children out 172
taking her children with 1034
taking her daughter and 71
taking her daughter out 131
taking her daughter with 478
taking her medicine and 107
taking her medicine with 40
taking her seriously and 126
taking her suitcase and 47
taking her wherever she 41
taking him prisoner and 189
taking him prisoner with 58
taking him seriously and 245
taking him unawares and 131
taking his attention off 471
taking his audience with 61
taking his breakfast and 52
taking his breakfast with 67
taking his children and 164
taking his children for 61
taking his children out 208
taking his children with 251
taking his companion with 41
taking his daughter and 141
taking his daughter for 77
taking his daughter out 328
taking his daughter with 428
taking his fountain pen 52
taking his habitual ease 78
taking his medicine and 253
taking his mistress with 45
taking his overcoat off 67
taking his pleasures with 59
taking his prisoner with 79
taking his property and 76
taking his property for 66
taking his property with 259
taking his soldiers with 71
taking his students with 44
taking his trousers off 82
taking his umbrella with 49
taking its elements and 46
taking its westward way 41
taking long journeys and 53
taking old bradford for 41
taking old concepts and 45
taking one direction and 52
taking our breakfast with 48
taking our children and 41
taking our children out 107
taking our children with 75
taking out licenses for 59
taking out policies with 43
taking out warrants for 45
taking out whatever was 47
taking raw materials and 168
taking that nonsense out 77
taking them prisoner and 64
taking them seriously and 466
taking them unawares and 81
taking them wherever they 100
taking things seriously and 102
taking this approach and 126
taking this approach are 224
taking this approach can 64
taking this approach for 57
taking this approach has 61
taking this approach may 58
taking this approach one 104
taking this approach was 127
taking this approach with 91
taking this approach you 68
taking this argument too 40
taking this attitude and 40
taking this attitude they 98
taking this direction was 42
taking this doctrine was 102
taking this medicine and 138
taking this medicine for 368
taking this seriously and 108
taking too seriously any 40
taking too seriously his 65
taking you seriously and 50
tale and produced his 46
tale for children and 193
tale for children that 68
tale for narrator and 56
tale that accounts for 49
tale that explains how 62
tale that explains why 79
tale was enforced with 56
tale was finished and 62
tale was received with 186
talk and argument and 129
talk and argument with 53
talk and associate with 212
talk and converse with 464
talk and declared that 40
talk and flattery they 141
talk and gestures that 74
talk and interact with 1410
talk and kindness its 74
talk and laughter all 145
talk and laughter and 2401
talk and laughter are 61
talk and laughter going 49
talk and laughter had 125
talk and laughter that 805
talk and laughter they 65
talk and laughter too 44
talk and laughter was 359
talk and laughter with 129
talk and negotiate and 44
talk and negotiate with 376
talk and rhetoric set 47
talk and socialize with 137
talk her daughter out 64
talk how zealously they 40
talk our problems out 57
talk out problems and 92
talk out problems with 153
talk that followed was 157
talk thus ignorant that 63
talk was animated and 103
talk was brilliant and 68
talk was cheerful and 45
talk was finished and 41
talk was finished you 43
talk was friendly and 72
talk was peppered with 132
talk was prepared for 48
talk was received with 148
talk with animation and 117
talk with authority and 114
talk with baptiste and 43
talk with business men 40
talk with chairman mao 101
talk with children and 674
talk with children who 204
talk with eichmann you 92
talk with enthusiasm and 47
talk with everyone and 154
talk with everyone who 264
talk with managers and 128
talk with marshall and 149
talk with officers and 90
talk with patients and 563
talk with patients who 263
talk with somebody and 110
talk with somebody who 643
talk with strangers and 266
talk with strangers who 55
talk with students and 1036
talk with students who 631
talk with visitors and 117
talk with weizmann that 44
talk with whomever they 76
talk with yourself and 159
talk you mentioned that 88
tall and beautiful and 876
tall and beautiful are 112
tall and beautiful man 86
tall and beautiful men 55
tall and beautiful that 50
tall and beautiful with 207
tall and columnar and 107
tall and columnar with 118
tall and commanding and 77
tall and delicate and 42
tall and generous and 69
tall and graceful and 636
tall and graceful man 47
tall and graceful with 285
tall and handsome and 3185
tall and handsome boy 104
tall and handsome but 194
tall and handsome lad 80
tall and handsome man 4567
tall and handsome men 215
tall and handsome old 49
tall and handsome son 207
tall and handsome that 169
tall and handsome with 910
tall and handsome you 72
tall and majestic and 70
tall and majestic with 64
tall and muscular and 661
tall and muscular but 54
tall and muscular for 89
tall and muscular man 276
tall and muscular men 99
tall and muscular with 459
tall and powerful and 294
tall and powerful but 44
tall and powerful for 53
tall and powerful man 1211
tall and powerful men 265
tall and powerful with 41
tall and rawboned and 74
tall and somewhat lean 42
tall and somewhat thin 68
tall and splendid and 59
tall and splendid man 49
tall and stalwart and 81
tall and stalwart man 103
tall and stalwart men 97
tall and straight and 4856
tall and straight but 86
tall and straight for 122
tall and straight out 92
tall and straight she 65
tall and straight that 248
tall and straight with 753
tall and terribly thin 43
tall and vigorous and 104
tall and vigorous man 114
tall and vigorous with 64
tall man suddenly got 162
tame and civilize them 81
tame and friendly and 59
tame and friendly that 97
tame and friendly with 59
taming this powerful and 47
tank and equipped with 42
tank and provided with 153
tank and replaced with 47
tank are provided with 91
tank being provided with 43
tank for domestic hot 46
tank had exploded and 48
tank was designed and 65
tank was designed for 116
tank was designed with 43
tank was disabled and 63
tank was equipped with 420
tank was finished and 42
tank was provided with 220
tank was refilled with 45
tank was repaired and 41
tank was replaced with 60
tank was supplied with 97
tank with gasoline and 168
tape and converts them 55
tape and politics and 96
tape and scissors and 56
tape are required for 50
tape for computer use 64
tape that contains all 68
tape that cordoned off 101
tape was finished and 49
tape was prepared for 64
tape was recorded with 52
tape was replayed and 50
tape was switched off 44
taps are provided for 78
taps are provided with 45
taps his shoulder and 129
tart with cinnamon ice 63
task and challenge for 126
task and demanded that 54
task and provided with 42
task and reported that 119
task and requires that 182
task and suggests that 100
task and therefore not 42
task for children and 83
task for children who 81
task for children with 66
task for education and 43
task for everyone who 48
task for managers and 76
task for neglecting his 59
task for patients with 47
task for scholars and 48
task for students and 81
task for students who 95
task for students with 71
task for subjects was 45
task for suggesting that 882
task has finished its 49
task now assigned him 69
task than children who 100
task than children with 48
task than students who 58
task than subjects who 136
task that demanded all 49
task that involves all 52
task that involves both 98
task that occupied him 267
task that remained for 124
task that remained was 259
task that required all 141
task that required both 87
task that required her 105
task that required him 209
task that required his 51
task that required not 49
task that required that 61
task that required them 522
task that required two 88
task that requires all 166
task that requires both 253
task that requires him 87
task that requires not 113
task that requires one 148
task that requires our 47
task that requires that 290
task that requires them 316
task that requires two 97
task that requires you 121
task that students are 141
task too delicate for 47
task too laborious for 48
task too slippery for 142
task was accepted and 41
task was achieved with 62
task was allotted him 55
task was assigned him 154
task was attended with 90
task was combined with 151
task was compared with 208
task was complete and 220
task was dangerous and 51
task was delicate and 127
task was designed for 64
task was enormous and 186
task was executed with 210
task was finished and 613
task was finished she 59
task was finished they 77
task was hopeless and 156
task was laborious and 74
task was obviously not 57
task was probably not 69
task was recorded for 75
task was rendered all 173
task was rendered easy 115
task was reserved for 860
task was selected for 61
task was suitable for 44
task was therefore not 103
task was therefore one 40
task with accuracy and 40
task with alacrity and 116
task with apparent ease 46
task with buoyancy and 246
task with coolness and 42
task with dispatch and 40
task with eagerness and 41
task with enthusiasm and 715
task with fidelity and 137
task with firmness and 76
task with humility and 101
task with interest and 53
task with judgment and 219
task with patience and 125
task with precision and 86
task with relative ease 189
taxi and followed her 52
taxing his attention and 85
taxing its citizens for 57
teach all children and 88
teach all children how 81
teach all children that 101
teach all children who 40
teach all students and 67
teach all students how 83
teach all students that 42
teach all subjects and 92
teach and accustom them 64
teach and admonish and 58
teach and admonish each 93
teach and admonish one 4593
teach and admonish them 120
teach and admonish you 52
teach and civilize them 45
teach and instruct all 164
teach and instruct and 62
teach and instruct any 59
teach and instruct each 63
teach and instruct for 66
teach and instruct her 155
teach and instruct him 357
teach and instruct his 174
teach and instruct our 117
teach and instruct them 710
teach and instruct you 121
teach and interact with 302
teach and organize them 60
teach and persuade men 40
teach and persuade them 106
teach and practice all 46
teach and practice law 59
teach and practice that 63
teach and practice this 61
teach and students are 143
teach and students can 251
teach and students who 100
teach any doctrine that 45
teach both children and 267
teach both evolution and 42
teach both graduate and 111
teach both religious and 45
teach both students and 67
teach her children and 268
teach her children how 301
teach her children not 56
teach her children that 455
teach her daughter how 302
teach her daughter that 273
teach her humility and 165
teach her industry and 66
teach her students how 252
teach her subjects how 61
teach him humility and 120
teach him languages and 64
teach him patience and 255
teach his audience how 100
teach his children all 51
teach his children and 356
teach his children his 61
teach his children how 237
teach his children not 54
teach his children that 506
teach his daughter and 52
teach his daughter how 92
teach his daughter that 92
teach his neighbor and 391
teach his patients how 81
teach his statutes and 164
teach his students and 96
teach his students how 482
teach his students not 49
teach his students that 394
teach his subjects how 169
teach his subjects that 41
teach its children that 103
teach its students how 161
teach its students that 50
teach law students how 55
teach men humility and 67
teach new behaviors and 86
teach new concepts and 101
teach our children all 211
teach our children and 1332
teach our children any 120
teach our children are 148
teach our children god 243
teach our children how 2178
teach our children not 569
teach our children one 72
teach our children our 184
teach our children that 7466
teach our children they 54
teach our children this 230
teach our children who 62
teach our children with 90
teach our patients how 42
teach our students all 45
