tail appendages to keep 46
take absolutely no part 211
take absolutely no risk 70
take advantages of such 151
take advantages of their 109
take advantages of these 451
take advantages of those 63
take affidavits in such 73
take affidavits of bail 89
take allotments of land 44
take appearances at face 99
take cheerfully the name 82
take cognizance at once 43
take cognizance in their 40
take cognizance of acts 234
take cognizance of fact 77
take cognizance of many 720
take cognizance of mere 70
take cognizance of more 155
take cognizance of nothing 241
take cognizance of only 314
take cognizance of open 52
take cognizance of other 1031
take cognizance of past 43
take cognizance of said 127
take cognizance of some 414
take cognizance of such 9462
take cognizance of their 5341
take cognizance of these 6821
take cognizance of those 1901
take cognizance of three 84
take cognizance of uses 93
take cognizance of what 3600
take cognizance of when 43
take cognizance of your 475
take compression as well 62
take depositions or have 196
take depreciation on your 45
take employment in other 46
take essentially the same 1397
take generations or even 70
take generations to come 48
take generations to grow 54
take generations to make 114
take generations to reach 75
take generations to undo 86
take generations to work 83
take immaturity as mere 69
take information at face 85
take initiatives in their 68
take initiatives of their 184
take initiatives on their 185
take initiatives to help 68
take initiatives to make 69
take measurement of their 42
take medications at home 66
take medications by mouth 272
take medications on time 48
take medications or have 40
take medications to help 44
take medications to treat 43
take penicillin by mouth 71
take precautions in case 180
take precautions in good 52
take precautions in their 53
take precautions in time 525
take precautions to have 118
take precautions to help 44
take precautions to keep 1453
take precautions to make 710
take precautions to meet 53
take precautions to save 116
take precautions to stop 45
take precautions to ward 62
take precedence if there 58
take precedence in case 234
take precedence in making 49
take precedence in most 151
take precedence in rank 217
take precedence in some 55
take precedence in such 118
take precedence in their 1218
take precedence in these 114
take precedence in time 374
take precedence in your 243
take precedence of beast 78
take precedence of even 43
take precedence of many 268
take precedence of mere 117
take precedence of more 40
take precedence of most 51
take precedence of other 867
take precedence of some 51
take precedence of such 129
take precedence of their 539
take precedence of these 101
take precedence of those 2576
take precedence of what 139
take precedence of your 190
take precedence to pass 41
take preventive as well 68
take protective or other 97
take punishment as well 128
take reparations in kind 43
take statements at face 46
take stimulants to keep 40
take supervision of said 43
taking absolutely no part 64
taking advantages of their 79
taking advantages of these 65
taking antibiotics or other 49
taking chloroform to have 90
taking cognizance of acts 69
taking cognizance of many 41
taking cognizance of other 71
taking cognizance of some 102
taking cognizance of such 1052
taking cognizance of their 536
taking cognizance of these 444
taking cognizance of those 133
taking cognizance of what 1184
taking depositions to make 62
taking essentially the same 214
taking impressions of seals 71
taking impressions of teeth 42
taking initiatives of their 64
taking initiatives on their 60
taking medications at home 215
taking medications on time 44
taking medications to help 47
taking medications to treat 78
taking precautions in case 269
taking precautions to have 66
taking precautions to keep 219
taking precautions to make 107
taking precedence in poems 121
taking precedence of other 77
taking precedence of rank 53
taking precedence of those 80
taking prescribed or over 44
taking strategies to help 205
tale originated in india 53
tale sufficient to have 45
talk constantly of their 57
talk expressive of their 50
talk frequently to their 42
tall grenadiers on post 56
tame spectators of such 104
tame spectators of these 57
task apparently as much 71
task appropriate to their 44
task difficulty as well 42
task difficulty is high 52
task difficulty or luck 236
task immediately at hand 574
task immediately in hand 146
task orientation in work 83
task regardless of their 51
task regardless of what 90
task strategies on task 224
task undertaken by many 55
task undertaken by these 84
task undertaken by those 84
task undertaken in these 50
teach essentially the same 248
teach gynecology to those 65
teach literature as well 50
teach mathematics in high 49
teach mathematics in ways 57
teach mathematics to young 43
teach philosophy to speak 163
teams regardless of their 60
teams representing the four 43
tears overflowed my eyes 46
tech industries as well 136
tell beforehand in what 157
tell distinctly in what 92
tell essentially the same 2034
tell falsehoods as well 49
tell immediately on their 49
tell narratives of love 60
tend constantly to fall 66
tend constantly to pass 56
tend constantly to rise 80
tend eventually to make 54
tend immediately to think 45
tend inevitably to make 191
tend powerfully to make 64
tenth resolutions of their 73
term abstraction is used 40
term acceptance of skin 319
term adjustment is used 115
term adjustment to their 348
term advantages of such 140
term alcoholism is used 42
term antiseptic is used 43
term applicable to many 111
term applicable to such 116
term applicable to those 42
term application is used 49
term application of high 46
term application of these 106
term assessment is used 91
term assistance to help 93
term attachment to their 102
term bureaucracy is used 81
term capitalism is used 41
term coagulation is used 64
term commitment as well 98
term commitment is made 187
term commitment of their 101
term commitment of time 237
term commitment to free 93
term commitment to help 187
term commitment to keep 109
term commitment to living 99
term commitment to make 132
term commitment to making 117
term commitment to stay 116
term commitment to such 185
term commitment to their 1399
term commitment to these 173
term commitment to those 92
