tarnishes upon exposure to 95
taxpayers have invested in 48
taxpayers many thousands of 43
taxpayers must complete the 62
taxpayers must continue to 61
taxpayers send children to 117
taxpayers were eligible to 47
taxpayers were entitled to 769
taxpayers were expected to 84
taxpayers were included in 46
taxpayers were prepared to 46
taxpayers were relieved of 41
taxpayers were required to 975
taxpayers will continue to 247
technical areas involved in 53
technical areas relevant to 54
technical data adequate to 71
technical data approved by 100
technical data concerning the 317
technical data describing the 63
technical data included in 48
technical data pertaining to 293
technical data provided by 116
technical data relative to 83
technical data relevant to 91
technical data required by 52
technical data required to 128
technical data supplied by 132
technical help provided by 107
technical meaning assigned to 50
technical meaning attached to 124
technical means employed by 100
technical means employed in 147
technical means employed to 85
technical means required to 88
technical risk involved in 65
technical term contains so 51
technical term describing the 229
technical term employed by 180
technical term employed in 170
technical term employed to 46
technical term indicating the 109
technical term invented by 60
technical term signifying the 120
technical work involved in 390
technical work required of 47
technical work required to 104
technician will probably be 81
technique also employed by 109
technique also employed in 81
technique also improves the 61
technique also includes the 60
technique also increases the 94
technique also involves the 76
technique also provides an 150
technique also provides the 215
technique also requires the 113
technique also resulted in 70
technique during insertion of 90
technique have improved the 70
technique have included the 51
technique have increased the 56
technique have occurred in 47
technique have resulted in 298
technique made possible by 373
technique made possible the 257
technique more suitable to 55
technique most suitable to 42
technique must therefore be 221
technique only requires the 46
technique used consists of 81
technique used involves the 44
technique were compared to 72
technique were designed to 42
technique were employed to 55
technique were reported by 131
technique were reported in 71
technique when attempting to 66
technique when compared to 288
technique will continue to 498
technique will minimize the 138
technique will probably be 324
technique will therefore be 110
teenagers were arrested in 50
teenagers were enrolled in 62
teenagers were expected to 69
teenagers were involved in 121
teenagers were reported to 41
teenagers were supposed to 88
teenagers will continue to 121
telegrams from washington to 64
telegrams were received at 152
telegrams were received by 423
telegrams were received in 147
telegraph from adelaide to 53
telegraph from washington to 429
telegraph line connecting the 113
telegraph line underneath the 57
telegraph made possible the 154
telegraph wire attached to 51
telegraph wire connecting the 52
telephone booth involved in 61
telephone call announcing the 171
telephone call concerning the 46
telephone call directly to 71
telephone call followed by 90
telephone call informed me 100
telephone call informed the 49
telephone call initiated by 52
telephone call received at 42
telephone call received by 175
telephone call requesting an 75
telephone call requesting the 43
telephone call resulted in 40
telephone call summoned me 59
telephone from anywhere in 208
telephone from washington to 94
telephone line attached to 63
telephone line connecting it 44
telephone line connecting the 247
telephone line connects the 72
telephone line consisting of 71
telephone line directly to 65
telephone line involves the 111
telephone line provided to 44
telephone made possible the 49
telephone will continue to 85
telephone will probably be 45
telephone wire attached to 58
telephone wire connecting the 45
telephoto lens consists of 78
telescope into clusters of 71
telescope must therefore be 72
telescope were directed to 44
telescope when directed to 76
televised food messages on 98
televised news coverage of 256
television film directed by 46
television film produced by 70
television have increased the 43
television news accounts of 149
television news audience is 57
television news coverage as 46
television news coverage in 228
television news coverage is 173
television news coverage of 5446
television news coverage on 111
television news director in 47
television news pictures of 157
television news producer in 40
television news programs as 172
television news programs do 93
television news programs in 228
television news programs is 76
television news programs on 94
television news programs or 114
television news programs to 223
television news reported the 42
television news reporter in 144
television news reporter or 114
television sets produced by 155
television sets produced in 231
television sets switched on 53
television show produced by 118
television will continue to 535
television will probably be 80
television work includes the 61
temperate zone includes the 49
temperate zone overlook the 47
templates were designed to 58
templates were prepared by 66
temporary file containing the 127
temporary food shortage on 62
temporary help agencies in 77
temporary help agencies or 57
temporary help agencies to 84
temporary help industry is 72
temporary living expenses at 100
temporary living quarters at 59
temporary living quarters in 199
temporary living quarters of 49
temporary living quarters on 41
temporary lull produced by 48
temporary work agencies in 110
