tact would have avoided 41
tail alone were visible 42
tail could have charged 120
take about five hundred 128
take about five minutes 4629
take about five seconds 518
take about five thousand 66
take about four hundred 79
take about four minutes 404
take about four seconds 99
take about nine minutes 78
take about three hundred 208
take about three minutes 1263
take about three seconds 153
take about three thousand 147
take action even against 71
take action more quickly 113
take action only against 432
take action upon matters 54
take after their masters 146
take after their parents 1146
take anything from anybody 1099
take anything from outside 89
take anything into account 110
take anything upon himself 82
take blame upon himself 46
take calls from clients 64
take change into account 273
take china into account 42
take class into account 71
take color into account 67
take costs into account 937
take ethics into account 50
take extra care because 77
take facts into account 139
take fully into account 11879
take jesus into custody 84
take learning into account 41
take loans from private 41
take money from anybody 184
take money from foreign 42
take money from friends 105
take money into account 65
take names from certain 79
take nearly three decades 42
take needs into account 139
take noise into account 82
take notes during lecture 49
take notes during sessions 103
take notes from sources 44
take notes when listening 42
take order into account 122
take others into account 1581
take people into account 339
take people into custody 220
take place along certain 147
take place along several 118
take place along similar 45
take place also between 92
take place also outside 44
take place among animals 236
take place among certain 153
take place among friends 129
take place among mankind 431
take place among members 730
take place among parties 41
take place among persons 349
take place among private 133
take place among several 76
take place among smaller 59
take place among teachers 45
take place among workers 52
take place during certain 442
take place during daytime 52
take place during infancy 224
take place during january 180
take place during leisure 69
take place during mitosis 232
take place during natural 42
take place during october 199
take place during program 54
take place during project 43
take place during puberty 888
take place during regular 579
take place during several 87
take place during storage 490
take place during wartime 117
take place even against 104
take place even between 163
take place even outside 135
take place from asphyxia 149
take place from beginning 53
take place from failure 46
take place from infancy 84
take place from january 361
take place from natural 59
take place from october 486
take place from outside 219
take place from rupture 82
take place from several 151
take place from similar 41
take place here because 165
take place here between 72
take place here tonight 48
take place just because 165
take place just outside 358
take place less rapidly 228
take place more quickly 2842
take place more rapidly 8100
take place more smoothly 209
take place more swiftly 55
take place most quickly 157
take place most rapidly 1101
take place much quicker 109
take place next january 55
take place next october 45
take place next thursday 147
take place next tuesday 188
take place only according 259
take place only against 144
take place only because 1857
take place only between 5864
take place only following 136
take place only insofar 199
take place only outside 401
take place over decades 305
take place over immense 51
take place over millions 129
take place over minutes 46
take place over several 3835
take place over shorter 64
take place there because 84
take place there between 80
take place till between 44
take place till charles 42
take place till january 208
take place till october 215
take place till several 181
take place till towards 192
take place upon addition 81
take place upon citizen 57
take place upon request 354
take place very largely 80
take place very quickly 2867
take place very quietly 92
take place very rapidly 5876
take place very shortly 693
take place well outside 108
take place were largely 51
take place were usually 40
take place when animals 80
take place when bacteria 109
take place when certain 325
take place when current 65
take place when members 81
take place when organic 52
take place when parents 91
take place when persons 88
take place when several 120
take place when society 41
take place when teachers 223
take place when workers 60
