tact will cause you 43
tags along after her 40
tail dark brown with 288
tail held erect and 50
tail high above her 49
tail high above his 52
tail much longer than 637
tail three times and 61
tail tied round his 109
tail very short and 236
tail will drive him 59
take arms again and 42
take away about one 54
take away anything that 1086
take away anything they 123
take away anything you 81
take away either one 53
take away every bit 124
take away every man 46
take away every one 77
take away funds that 44
take away hunger and 93
take away money and 59
take away money that 147
take away nearly all 130
take away power and 61
take away rather than 122
take away reason and 47
take away stars and 59
take away water and 41
take baby steps and 108
take back anything that 409
take back anything you 83
take back every bad 70
take back every mean 102
take back every one 42
take back goods that 102
take back people who 48
take back power and 45
take back roads and 52
take baths every day 165
take birth again and 486
take bold action and 54
take bold steps and 111
take bold steps that 90
take breath after her 82
take breath after his 54
take breath after this 69
take breath again and 48
take care about his 55
take care about how 74
take care about that 103
take care about them 87
take care about this 62
take care above all 323
take care every one 179
take care first that 78
take care shall not 161
take care where they 183
take care where you 470
take care which way 83
take care while you 72
take cash rather than 66
take city point with 126
take clean water and 45
take clean water for 41
take cold easily and 80
take cold water and 49
take days rather than 119
take deep breaths and 4368
take deep breaths for 76
take deep breaths with 87
take deep roots and 46
take down anything that 142
take down anything you 44
take down every one 50
take down names and 160
take down notes and 178
take down notes for 54
take early action and 41
take early action for 53
take early steps for 304
take even harding for 44
take even longer and 122
take even longer for 561
take even longer than 817
take even money that 48
take even though they 62
take fine flour and 88
take fire easily and 62
take firm action and 124
take firm action for 50
take firm action with 42
take firm roots and 51
take five hours and 94
take five hours for 48
take five months for 58
take five steps and 87
take food every day 45
take form under his 64
take four hours and 148
take four hours for 82
take four months and 69
take four months for 123
take four months off 199
take four people out 111
take four steps and 62
take four times that 49
take four weeks and 71
take four weeks for 71
take four weeks off 175
take four wives and 53
take from every man 223
take from every one 48
take from fairs and 69
take from labor for 40
take from others and 369
take from others any 103
take from others for 46
take from others that 226
take from people and 50
take from people who 248
take from peter and 41
take from rather than 41
take from thence all 378
take from thence his 49
take from thence our 66
take from under her 77
take from under his 70
take full blame for 639
take full force and 58
take giant steps and 46
take good money for 44
take good notes and 371
take good notes for 62
take good order for 97
take great bites out 46
take great issue with 105
take great pains and 485
take great pains for 111
take great pains not 1275
take great pains that 386
take great pains with 3255
take great pride and 916
take great pride that 306
take great risks and 479
take great risks for 481
take great risks with 195
take great skill and 85
take heart again and 200
take heart knowing that 128
take heed above all 54
take heed where you 49
take high doses for 41
take high risks and 210
take high risks for 94
take high risks with 63
take hold again and 271
take hold where that 43
take holy water and 168
take home after all 43
take home every day 60
take home rather than 95
take huge bites out 63
take huge risks and 71
take huge risks with 50
take into action with 61
take into court and 59
take jobs rather than 67
take jobs where they 291
take jobs which are 149
take jobs which they 105
take judy jones with 61
take just about all 140
take just about any 596
take just about one 86
take just about two 53
take just under two 70
take land where they 70
take leave after this 62
take left hands and 161
take less money and 118
take less money for 219
take less money out 99
take less money than 163
take less pains with 55
take less power than 58
take less rather than 124
take less sleep than 54
take less space and 257
take less space than 417
take less wages than 92
take less water than 53
take life again and 52
take life easier and 179
take life easier than 51
take life easily and 381
take life easily for 42
take life under any 80
take lord byron and 50
take love where you 44
take many blows with 152
take many forms and 19950
take many forms but 1710
take many forms for 124
take many forms that 457
take many forms with 119
take many hours and 334
take many hours for 373
take many lives and 67
take many months and 1829
take many months for 784
take many others with 50
take many pages and 118
take many people and 47
take many people out 43
take many people with 41
take many risks and 64
take many risks for 43
take many steps that 103
take many times that 143
take many turns and 48
take many weeks and 236
take many weeks for 305
take many wives and 71
take mine black with 44
take more abuse and 53
take more abuse than 220
take more action and 41
take more action than 86
take more after her 62
take more books than 47
take more bracing air 46
take more breaks than 51
take more cases than 84
take more drink than 81
take more drugs and 56
take more drugs than 211
take more easily than 40
take more force than 81
take more forms than 90
take more fresh air 47
take more fruit than 51
take more goods than 55
take more hikes and 60
take more honor than 42
take more hours than 62
take more killing than 67
take more labor and 41
take more lives than 246
take more money and 150
take more money for 64
take more money out 986
take more money than 1873
take more money with 78
take more nerve than 63
take more notes than 141
take more often than 323
take more pages than 196
take more pains and 205
take more pains for 110
take more pains not 40
take more pains than 1655
take more pains with 1143
take more people and 41
take more people out 43
take more people than 84
take more people with 47
take more pills and 44
take more pills than 70
take more power and 77
take more power for 44
take more power than 264
take more pride and 169
take more pride than 162
take more rather than 126
take more risks and 1249
take more risks for 96
take more risks than 1879
take more risks with 644
take more skill and 57
take more skill than 88
take more sleep than 136
take more space and 366
take more space for 59
take more space than 3181
take more steps and 48
take more steps per 52
take more steps than 108
take more tests and 51
take more trips and 50
take more trips than 40
take more viagra than 213
take more wages than 77
take more water and 143
take more water out 72
take more water than 409
take more water with 127
take more wives than 288
take more words than 60
take most pains with 76
take most pride and 54
take much coaxing for 40
take much longer and 1175
take much longer but 45
take much longer for 1540
take much longer now 86
take much longer than 17119
take much longer with 85
take much merit for 72
take much money and 63
take much money out 91
take much money with 107
take much pains for 85
take much pains with 496
take much pride and 81
take much space and 145
take much working out 223
take nine months and 55
take nine months for 76
take nothing amiss that 154
take oaths which they 59
take only about one 517
take only about six 170
take only about ten 411
take only about two 415
take only cases that 97
take only water and 56
take only white things 45
take open issue with 88
take other action for 54
take other action that 298
take other action with 218
take other drugs that 190
take other flies for 63
take other forms and 226
take other forms than 747
take other forms that 104
