tail twisted round a 45
take lessons twice a 55
take measures which i 46
take moments about a 627
take moments about b 184
take moments about c 209
take moments about o 119
take pyongyang within a 49
take service under a 314
take several doses a 235
take several hours a 108
take several times a 247
take several trips a 46
take shelter beneath a 134
take shelter under a 4399
take shelter within a 51
taking lessons since i 45
taking lessons twice a 53
taking moments about a 2487
taking moments about b 808
taking moments about c 924
taking moments about d 202
taking moments about e 242
taking moments about f 92
taking moments about g 169
taking moments about h 81
taking moments about m 67
taking moments about n 57
taking moments about o 447
taking moments about p 144
taking moments about x 46
taking service under a 161
taking shelter beneath a 85
taking shelter under a 626
talk briefly about a 135
talk several times a 387
talk together about a 334
talk together after a 102
talk vaguely about a 182
tall buildings under a 122
tape several times a 86
teach fifteen hours a 56
teams operating within a 46
tears several times a 96
teeth several times a 218
tell america about a 71
tell anybody until i 76
tell anybody where i 473
tell everything about a 823
tell exactly where a 199
tell exactly where i 134
tell friends about a 48
tell parents about a 64
tell stories about a 1246
tenth century wrote a 50
tent pitched under a 172
term against which i 40
test animals within a 87
test results after a 122
test results reveal a 196
test results showing a 222
test results within a 331
test several times a 56
test usually gives a 78
test usually shows a 50
text written about a 44
their ability after a 40
their absence leaves a 54
their absence makes a 42
their absence rather a 48
their affairs under a 128
their affairs within a 103
their ambition which a 48
their animals under a 42
their answers within a 65
their anxiety about a 206
their arrival after a 102
their arrival found a 78
their arrival until a 49
their arrival within a 79
their balance after a 52
their behavior after a 165
their behavior makes a 45
their behavior shows a 57
their behavior under a 200
their behavior within a 210
their beliefs about a 459
their beliefs within a 42
their burrows after a 41
their capital after a 50
their capital under a 76
their capital within a 71
their careers after a 77
their careers under a 48
their careers within a 177
their carriage after a 68
their choices within a 89
their cleavage gives a 59
their clients within a 72
their company after a 41
their company while i 41
their company within a 51
their concern about a 578
their consent after a 45
their content within a 40
their context within a 126
their control until a 43
their control within a 62
their country after a 372
their country under a 280
their country until i 42
their country which i 105
their country within a 287
their courses within a 52
their culture within a 61
their decision about a 155
their decision after a 94
their decision under a 46
their decision until a 67
their decision within a 219
their degrees within a 46
their demands after a 40
their demands within a 137
their dentist twice a 59
their descent after a 50
their designs under a 74
their destiny within a 41
their doctors about a 82
their dresses forming a 100
their effects after a 89
their effects within a 175
their efforts after a 299
their efforts under a 133
their efforts until a 83
their efforts within a 192
