tack welded in position 55
tact changed the subject 52
tags should be avoided 84
tags should be removed 132
tail dimpling the surface 51
tail feathers of peacocks 135
tail feathers to attract 60
tail rotors to provide 115
tail should be carried 343
tail should be clipped 52
tail should be removed 90
tail should be wrapped 69
tail through the streets 582
tail tucked in between 108
take across the country 192
take actions in support 58
take actions to achieve 238
take actions to address 204
take actions to benefit 45
take actions to control 140
take actions to correct 591
take actions to counter 63
take actions to decrease 87
take actions to enhance 183
take actions to improve 681
take actions to increase 270
take actions to prevent 1523
take actions to promote 135
take actions to protect 664
take actions to provide 56
take actions to resolve 94
take actions to restore 88
take actions to reverse 50
take actions to support 80
take active or passive 51
take advice of counsel 44
take advice on matters 45
take advice or reproof 49
take almost no account 49
take awhile to develop 47
take awhile to explain 47
take before it becomes 205
take bribes in exchange 50
take center of moments 269
take charge ad interim 99
take charge as general 45
take charge of affairs 6306
take charge of african 49
take charge of america 72
take charge of animals 126
take charge of baggage 72
take charge of britain 50
take charge of british 492
take charge of buildings 95
take charge of captain 59
take charge of catholic 67
take charge of certain 1861
take charge of charles 61
take charge of chinese 52
take charge of classes 228
take charge of colonial 64
take charge of customs 60
take charge of decision 47
take charge of defending 75
take charge of defense 68
take charge of designing 143
take charge of details 41
take charge of directing 154
take charge of distant 49
take charge of educating 79
take charge of efforts 56
take charge of enforcing 43
take charge of estates 98
take charge of everything 5410
take charge of federal 49
take charge of finance 71
take charge of foreign 1078
take charge of funeral 112
take charge of general 215
take charge of harvard 41
take charge of herself 608
take charge of himself 524
take charge of history 62
take charge of improving 68
take charge of infants 62
take charge of judicial 47
take charge of letters 483
take charge of marketing 220
take charge of matters 1155
take charge of medical 115
take charge of national 233
take charge of oneself 111
take charge of operating 47
take charge of orphans 97
take charge of overall 53
take charge of persons 104
take charge of preparing 475
take charge of primary 71
take charge of private 89
take charge of producing 157
take charge of project 43
take charge of promoting 97
take charge of providing 147
take charge of punishing 40
take charge of quality 48
take charge of railway 51
take charge of receiving 113
take charge of recording 43
take charge of religion 43
take charge of repairing 41
take charge of repairs 55
take charge of research 163
take charge of restoring 54
take charge of routine 76
take charge of schools 892
take charge of selecting 43
take charge of several 797
take charge of similar 122
take charge of society 75
take charge of student 65
take charge of supplying 72
take charge of trinity 59
take charge of vessels 122
take charge of village 44
take charge or control 45
take charge or dispose 151
take copies of certain 44
take copies of entries 99
take copies of records 49
take copies or publish 101
take course to dispose 55
take credit to herself 232
take credit to himself 2341
take custom or tribute 1293
take effect as against 689
take effect as between 648
take effect as follows 123
take effect as planned 42
take effect as quickly 74
take effect as regards 227
take effect by january 57
take effect by relation 378
take effect if congress 47
take effect if patient 47
take effect in advance 43
take effect in america 80
take effect in certain 59
take effect in conduct 295
take effect in default 245
take effect in january 1591
take effect in neutral 136
take effect in october 750
take effect in outward 61
take effect in priority 109
take effect in producing 43
take effect in providing 77
take effect in relation 490
take effect in respect 817
take effect on adoption 76
take effect on failure 431
take effect on january 7885
take effect on october 3165
take effect on passage 101
take effect on receipt 111
take effect on tuesday 47
take effect so quickly 51
take effect the following 1961
take enough to satisfy 66
take enough to sustain 60
take family or medical 65
take fathers of stature 44
take french or spanish 116
take fright at shadows 41
take further the question 45
take kindly to anybody 93
take kindly to british 49
take kindly to efforts 56
take kindly to european 52
take kindly to failure 55
take kindly to foreign 124
take kindly to insults 80
take kindly to outside 98
take kindly to receiving 58
take larger or smaller 68
take measure of himself 45
take measure to prevent 57
take myself to witness 86
take notice at present 131
take notice in general 137
take notice of anybody 96
take notice of because 179
take notice of beggars 42
take notice of between 90
take notice of certain 1609
take notice of details 51
take notice of everything 1058
take notice of foreign 167
take notice of general 99
take notice of himself 99
take notice of matters 708
take notice of objects 49
take notice of persons 101
take notice of popular 91
take notice of private 75
take notice of several 438
take notice of trifles 63
take office in january 585
take office in october 70
take office on account 43
take office on january 1114
take office on october 111
take office the following 362
take orders in advance 80
take photos of everything 67
take plenty of chances 47
take plenty of liquids 87
take plenty of outdoor 247
take plenty of quinine 101
take plenty of vitamin 119
take powers to control 63
take refuge at palermo 61
take refuge in alcohol 235
take refuge in america 379
take refuge in analogy 42
take refuge in antwerp 142
take refuge in belgium 194
take refuge in bordeaux 45
take refuge in britain 119
take refuge in british 408
take refuge in bulgaria 56
take refuge in burrows 145
take refuge in caverns 65
take refuge in cellars 71
take refuge in certain 511
take refuge in corsica 101
take refuge in denmark 58
take refuge in deserts 84
take refuge in despair 195
take refuge in distant 76
