tabs were bonded to 54
tack back toward the 48
tack coat should be 57
tact must decide as 44
tact were needed by 62
tact were needed to 88
tags along behind the 121
tags must always be 51
tags were issued to 49
tags were placed in 62
tags were placed on 128
tail also serves as 80
tail back through the 93
tail core through the 73
tail hook caught the 84
tail just before it 44
tail just before the 54
tail just behind the 77
tail just touching the 53
tail pipe should be 43
tail race should be 49
tail rode through the 45
tail rope system of 61
tail skid touching the 53
tail test should be 126
tail waving behind it 40
tail when spoken to 51
tail will always be 43
tail will result in 46
take aerial photos of 105
take ages before the 46
take along copies of 80
take along enough to 143
take along plenty of 504
take along something to 230
take anne safely to 41
take away access to 62
take away another of 40
take away belief in 84
take away cargoes of 71
take away copies of 66
take away enough of 76
take away enough to 49
take away feelings of 55
take away masses of 103
take away pieces of 122
take away remedy in 43
take away rights of 186
take away rights or 53
take away something he 59
take away something of 581
take away something the 60
take away something to 49
take away wholly the 55
take back across the 113
take back cargoes of 53
take back something of 91
take back something to 52
take back something we 51
take boat across the 45
take bold actions to 79
take bold stands on 45
take breath before the 125
take breath before we 42
take care always to 2782
take care around the 126
take care crossing the 136
take care enough of 155
take care enough to 108
take care indeed to 75
take care neither to 434
take care should be 177
take cash instead of 135
take clear stands on 142
take days before it 50
take days before the 351
take days instead of 112
take early notice of 70
take firm charge of 100
take firm stands on 163
take five grains of 522
take five guineas to 58
take five ounces of 69
take five pieces of 66
take five pounds of 93
take five pounds to 44
take food before the 64
take food cooked by 224
take food enough to 87
take food through the 77
take food unless it 55
take food without the 109
take form around the 97
take form before my 46
take form before the 76
take form before us 49
take form through the 381
take four grains of 135
take four horses to 68
take four ounces of 389
take four pieces of 185
take four pounds of 169
take four quarts of 83
take four sheets of 51
take four tricks in 60
take from another the 667
take from another to 44
take from christ the 56
take from england the 78
take from france the 76
take from nature the 57
take from nature to 42
take from source to 65
take from twelve to 1106
take from twenty to 926
take full charge in 80
take full charge of 11102
take full credit as 47
take full credit or 68
take full effect as 142
take full effect at 51
take full effect by 68
take full effect in 510
take full effect on 212
take full measure of 745
take full notice of 358
take full revenge by 67
take full revenge on 240
take gold bullion to 69
take gold instead of 50
take good advice in 54
take good advice on 52
take good notice of 558
take good photos of 49
take great caution in 68
take great caution to 56
take great credit to 750
take great effort on 48
take great effort to 436
take great notice of 591
take great powers of 78
take great relish in 90
take great solace in 95
take great strength to 48
take great wisdom to 63
take hard knocks as 40
take hard knocks in 69
take having regard to 60
take heavy losses in 81
take heavy losses on 43
take heed always to 50
take heed before it 74
take heed whether my 59
take high ground at 71
take high ground in 162
take high ground on 105
take high levels of 181
take high office in 104
take high places in 121
take hold across the 133
take hold around the 140
take hold before it 47
take hold before the 181
take hold firmly of 44
take hold through the 43
take hold unless the 49
take hold without the 62
take holy orders as 209
take holy orders at 68
take holy orders by 42
take holy orders if 43
take holy orders in 573
take holy orders or 165
take holy orders to 42
take home copies of 116
take home enough to 73
take home movies of 49
take home something to 50
take huge chunks of 68
take into effect the 241
take into income in 50
take into income the 475
take into itself the 440
take into myself the 81
take into regard the 264
take into review the 56
take just before the 40
take just enough of 135
take just enough to 497
take kind notice of 61
take land belonging to 153
take land without the 105
take leading places in 91
take leave before he 86
take leave further to 51
take leave humbly to 117
take less effort to 292
take less energy to 315
take less kindly to 245
take less notice of 718
take less profit on 41
take life except in 55
take life unless it 44
take like shares in 50
take main street to 79
take many actions to 185
take many cycles of 58
take many cycles to 119
take many pieces of 42
take many routes to 45
take many seasons to 45
take many shapes in 41
take many visits to 127
