tea given without milk 63
tea towel draped over 66
tea towel tucked into 41
the aaron diamond aids 303
the abbey church from 133
the abbey church into 115
the abbey church there 453
the abbey church were 201
the abbey church yard 73
the abbey itself were 103
the abbey passed into 46
the abbey rushed into 40
the abbey should have 188
the abbey should rise 73
the abbey through these 248
the abbey towering into 249
the abbot should call 45
the abbot should have 243
the abode whence there 55
the above actions have 80
the above actions were 166
the above actions will 96
the above advice will 89
the above agents have 57
the above agreed data 44
the above amount from 317
the above amount must 85
the above amount were 76
the above amount will 169
the above annual rate 41
the above answer from 54
the above authors also 94
the above authors have 666
the above authors made 40
the above authors make 46
the above authors show 52
the above authors used 81
the above authors were 200
the above bodies were 51
the above causes have 155
the above causes must 71
the above causes there 125
the above causes were 65
the above causes will 124
the above changes have 438
the above changes take 138
the above changes there 57
the above changes took 45
the above changes were 534
the above changes will 243
the above checks have 62
the above cities were 49
the above claims have 49
the above claims were 92
the above claims will 72
the above clause will 60
the above common name 50
the above course will 45
the above crimes were 52
the above curves were 50
the above design into 45
the above diagram from 47
the above diagram there 45
the above diagram were 45
the above diagram will 128
the above differ from 46
the above dilute acid 44
the above duties were 62
the above duties will 50
the above effect from 97
the above effect have 158
the above effect were 167
the above effect will 90
the above energy range 248
the above errors have 51
the above errors were 46
the above events have 141
the above events took 154
the above events were 430
the above events will 96
the above fields were 46
the above figure from 66
the above figure must 60
the above figure there 41
the above figure were 62
the above figure will 157
the above findings also 48
the above findings from 151
the above findings have 314
the above findings into 71
the above findings must 69
the above findings plus 73
the above findings seem 70
the above findings show 107
the above findings tend 44
the above findings there 101
the above findings were 432
the above findings will 148
the above flight took 80
the above forces have 50
the above forces were 50
the above genera have 53
the above grants were 49
the above ground part 202
the above groups have 308
the above groups into 51
the above groups must 48
the above groups there 103
the above groups were 408
the above groups will 172
the above issues from 82
the above issues have 407
the above issues into 91
the above issues must 82
the above issues need 57
the above issues were 346
the above issues will 349
the above legend clings 40
the above letter also 59
the above letter came 81
