tap water often contains 123
tax cases where guidance 54
tax rates could actually 51
tax rates while broadening 51
tax rates would actually 253
tax rates would generate 167
tax rates would probably 97
tax which hurts commerce 75
tax which might otherwise 121
tax which really amounted 118
tax which would normally 113
tax which would otherwise 1454
tear could whelp anywhere 56
ten adult males required 88
ten amino acids essential 89
ten hours after delivery 56
ten hours after injection 64
ten hours after operation 51
ten major trading partners 60
ten miles below calcutta 47
ten miles below richmond 93
ten months after admission 47
ten months after infection 48
ten months after operation 184
ten months after treatment 137
ten months which followed 111
ten weeks after admission 51
ten weeks after delivery 96
ten weeks after infection 114
ten weeks after operation 75
ten weeks after treatment 91
ten words which required 53
than about sixty troopers 41
than anything could possibly 46
than anything which concerns 51
than anything which followed 59
than anything which happened 166
than anything which occurred 144
than anything which preceded 159
than color laser printers 60
than cover every possible 47
than daisy wheel printers 64
than eighth grade education 218
than eight months pregnant 217
than either could possibly 84
than either could remember 79
than either party expected 42
than either party intended 46
than either roman catholics 49
than fifty miles northwest 95
than fifty miles southwest 107
than fifty people attended 83
than forty indian villages 58
than grade point averages 45
than large scale industry 40
than lower class children 200
than lower class families 77
than lower class subjects 55
than lower level managers 120
than major league baseball 170
than might appear possible 53
than might occur otherwise 46
than others could possibly 53
than others whose fortunes 65
than others whose property 42
than paris where education 53
than power which directly 43
than right atrial pressure 314
than senior civil servants 70
than seven months pregnant 196
than sixty chief captains 87
than talking about business 40
than talking about problems 46
than talking about yourself 87
than thirty miles southwest 85
than thirty people attended 40
than total solar eclipses 96
than under louis philippe 42
than under social security 47
than under state socialism 48
than unity would indicate 94
than usual broke violently 54
than waiting until problems 90
than waiting until tomorrow 52
than water under pressure 47
than wives whose husbands 118
than women whose children 64
than women whose husbands 331
than women whose marriages 52
than women whose partners 88
than words could describe 285
than words could possibly 230
than working class children 267
than working class families 86
than would appear possible 233
than would appear probable 61
than would exist otherwise 125
than would occur normally 80
than would occur otherwise 372
that about sixty families 53
that about thirty families 83
that action taken pursuant 184
that action which produces 93
that action which resulted 46
that action would probably 99
that adult basic education 205
that after about eighteen 86
