table adjacent to ours 41
table alongside the wall 57
table analysis is used 46
table approach is used 41
table attempts to give 42
table attempts to show 91
table believed to have 40
table coincide in name 40
table compares the cost 135
table compares the rate 79
table compares the three 60
table composed of three 106
table concerning the idle 44
table confirms the fact 59
table consisting of four 137
table consisting of only 120
table consisting of rows 367
table consisting of three 156
table consists of data 68
table consists of five 381
table consists of four 762
table consists of more 40
table consists of only 227
table consists of rows 407
table consists of three 1085
table containing at least 46
table containing the data 835
table containing the list 97
table containing the most 52
table containing the name 68
table containing the rows 63
table containing the same 77
table contains as many 59
table contains at least 215
table contains at most 81
table contains no data 80
table contains the base 149
table contains the best 46
table contains the data 590
table contains the length 43
table contains the list 138
table contains the main 57
table contains the means 49
table contains the most 513
table contains the name 244
table contains the next 47
table contains the same 482
table designed to hold 204
table designed to show 68
table displaying the data 76
table displays the data 84
table dominating the room 62
table exhibits the leading 80
table exhibits the length 55
table exhibits the most 84
table exhibits the rate 47
table exhibits the size 45
table extended the length 40
table functions of your 158
table includes the cost 55
table includes the data 69
table includes the more 48
table includes the most 181
table includes the name 102
table indicate the rank 40
table obtained in part 76
table occupied by four 52
table occupied by some 93
table occupied by three 112
table opposite the door 663
table opposite to mine 40
table ornament to suit 79
table outlines the main 56
table performs the same 42
table presents the data 507
table presents the main 78
table presents the means 70
table presents the most 164
table presents the ratio 94
table presents the same 119
table provided in most 42
table provided on page 49
table provided the only 128
table provides the best 131
table provides the data 116
table provides the means 60
table provides the most 117
table provides the same 139
table purporting to show 131
table purports to show 60
table reflects the fact 125
table remained at rest 50
table remained the same 55
table requires at least 47
table services of gold 44
table spoonful of salt 153
table stretching the length 43
table suffices in fact 40
table suffices to show 118
tacit admission of their 357
tacit admission of what 47
tacit approval of many 131
tacit approval of most 61
tacit approval of other 65
tacit approval of some 150
tacit approval of such 333
tacit approval of their 761
tacit approval of these 89
tacit approval of those 135
tacit approval of what 249
tacit approval or even 120
tacit approval to such 131
tacit approval to their 98
tacit approval to these 72
tacit approval to those 41
tacit approval to what 72
tacit cessation of arms 102
tacit commands of other 59
tacit condition of their 69
tacit judgment on tito 62
tacit readiness to hold 51
tacit reproach to their 40
tacks grounded the boat 44
tails attached to their 111
tails followed by heads 54
tails whenever the whim 82
taken alongside the ship 40
taken authority to send 42
taken concerning the same 56
taken contrary to their 73
taken contrary to these 48
taken curtains to keep 77
taken delivery of five 43
taken delivery of four 53
taken delivery of from 85
taken delivery of more 41
taken delivery of some 118
taken delivery of their 130
taken delivery of three 102
taken directly to jail 74
taken directly to their 199
taken directly to your 153
taken earnestly in hand 59
taken entirely at face 1351
taken entirely at their 134
taken entirely on faith 54
taken exception to many 46
taken exception to some 436
taken exception to such 176
taken exception to their 137
taken exception to these 170
taken exception to what 209
taken hundreds of years 1430
taken hundreds or even 59
taken interest in such 48
taken interest in their 65
taken interest in these 43
taken likewise to keep 83
taken pictures of many 48
taken pictures of some 90
taken pictures of their 59
taken prisoner as soon 71
taken prisoner as well 128
taken prisoner at bull 380
taken prisoner at fort 816
taken prisoner at last 59
taken prisoner at once 42
taken prisoner at port 70
taken prisoner at rome 51
taken prisoner at york 51
taken prisoner by duke 79
taken prisoner by four 60
taken prisoner by john 431
taken prisoner by lord 131
taken prisoner by other 66
taken prisoner by owen 75
taken prisoner by some 916
taken prisoner by their 155
taken prisoner by these 200
taken prisoner by those 180
taken prisoner by three 73
taken prisoner by union 71
taken prisoner by your 86
taken prisoner in early 54
taken prisoner in july 89
taken prisoner in june 140
taken prisoner in korea 129
taken prisoner in north 342
taken prisoner in open 45
taken prisoner in some 108
taken prisoner in south 56
taken prisoner in such 61
taken prisoner in their 129
taken prisoner in these 48
taken prisoner on july 97
taken prisoner on june 143
taken prisoner on their 65
taken prisoner or even 61
taken prisoner or have 46
taken prisoner or shot 156
taken prisoner or were 86
taken prisoner the next 184
taken prisoner the other 78
taken prisoner the same 109
taken prisoner to fort 43
taken prisoner to rome 202
taken promptly in hand 50
taken properly in hand 67
taken pursuant to rule 185
taken pursuant to said 44
taken pursuant to such 523
taken pursuant to their 71
taken pursuant to these 243
taken pursuant to those 98
taken recourse to arms 48
taken recourse to only 65
taken recourse to such 91
taken relative to some 66
taken relative to their 45
taken relative to those 130
taken respecting the same 48
taken sebastian up into 92
taken seriously as having 94
taken seriously as more 45
taken seriously as part 423
taken seriously as poets 42
taken seriously as such 674
taken seriously as well 467
taken seriously at face 117
taken seriously at home 103
taken seriously at last 133
taken seriously at least 137
taken seriously at their 42
taken seriously at work 112
taken seriously by even 75
taken seriously by health 97
taken seriously by leading 83
taken seriously by male 308
taken seriously by many 2755
taken seriously by more 335
taken seriously by most 3424
taken seriously by only 158
taken seriously by other 1010
taken seriously by some 1551
taken seriously by such 208
taken seriously by their 1138
taken seriously by these 163
taken seriously by those 2507
taken seriously by very 117
taken seriously by young 72
taken seriously by your 125
taken seriously he must 94
taken seriously if only 127
taken seriously if there 77
taken seriously in hand 2319
taken seriously in high 53
taken seriously in india 86
taken seriously in life 67
taken seriously in many 255
taken seriously in most 313
taken seriously in other 137
taken seriously in rome 65
taken seriously in some 408
taken seriously in south 127
taken seriously in such 159
taken seriously in their 866
taken seriously in these 241
taken seriously in those 169
taken seriously in view 242
taken seriously in what 127
taken seriously in your 77
taken seriously is more 118
taken seriously it must 185
taken seriously it will 79
