tab scrolling buttons to 233
tap foreign sources of 82
tap lightly against the 97
tap outside sources of 106
tap private sources of 65
tap several sources of 44
tax applied equally to 89
tax applies equally to 162
tax becomes payable at 51
tax becomes payable by 65
tax becomes payable on 105
tax benefit because it 71
tax benefit because of 147
tax benefit because the 299
tax benefit derived by 63
tax benefit enjoyed by 83
tax benefit offered by 61
tax benefit realized by 52
tax benefit reduces the 42
tax benefit related to 622
tax bracket applies to 44
tax bracket because of 233
tax bracket exceeds the 43
tax burdens according to 123
tax burdens because of 180
tax burdens between the 154
tax burdens imposed by 548
tax burdens imposed on 812
tax certain classes of 116
tax charged against the 73
tax circles because of 50
tax credits against the 234
tax credits allowed by 133
tax credits allowed to 270
tax credits amounting to 95
tax credits because of 160
tax credits because the 51
tax credits claimed by 314
tax credits claimed in 115
tax credits granted by 85
tax credits granted to 343
tax credits include the 78
tax credits offered by 158
tax credits offered to 101
tax credits related to 507
tax dispute between the 91
tax dollars because of 94
tax dollars devoted to 94
tax dollars support the 138
tax effects related to 211
tax equally between the 44
tax expense divided by 178
tax expense exceeds the 56
tax expense related to 635
tax holiday granted to 103
tax imposed according to 85
tax imposed because of 109
tax imposed equally on 58
tax imposed exceeds the 47
tax increase because of 107
tax increase enacted in 129
tax increase imposed by 117
tax increase reduces the 43
tax invalid because of 40
tax invalid because the 76
tax matters partner in 53
tax matters partner is 170
tax matters partner of 136
tax matters partner or 95
tax matters partner to 67
tax matters related to 76
tax measures adopted by 54
tax measures adopted in 57
tax measures related to 108
tax operating profits of 118
tax package violates the 42
tax payable according to 518
tax payable account is 47
tax payable because of 335
tax payable depends on 54
tax payment according to 167
tax payment divided by 607
tax penalty imposed on 84
tax profits divided by 278
tax purpose germane to 143
tax reforms enacted in 172
tax reliefs granted to 49
tax research process in 83
tax research process is 137
tax results similar to 56
tax returns according to 179
tax returns audited by 49
tax returns because of 214
tax returns because the 271
tax returns involving the 109
tax returns reporting the 61
tax returns subject to 112
tax revenue according to 235
tax revenue accrues to 153
tax revenue amounting to 145
tax revenue amounts to 168
tax revenue because it 65
tax revenue because of 659
tax revenue because the 181
tax revenue between the 460
tax revenue depends on 229
tax revenue divided by 315
tax revenue effects of 60
tax revenue exceeds the 114
tax revenue sources in 119
tax revenue sources of 59
tax shelter aspects of 161
tax shelter because of 46
tax shelter because the 62
tax shelter offered by 59
tax shields against the 51
tax shifted forward to 46
tax sources between the 63
tax statute violates the 47
tax treaties between the 1570
tax treaties contain an 62
tax withheld exceeds the 49
team brought together by 58
team brought together to 80
team depends largely on 47
team finally arrived at 61
team finally arrived in 62
team finally decided to 86
team finally managed to 50
team finally settled on 122
team members according to 863
team members analyze the 93
team members appeared to 231
team members arrived at 148
team members arrived in 88
team members attempt to 209
team members because it 157
team members because of 403
team members because the 129
team members believe in 134
team members believe the 69
team members brought to 54
team members capable of 40
team members consist of 42
team members decided to 309
team members depending on 55
team members depends on 61
team members develop an 133
team members develop the 186
team members discuss the 407
team members entered the 52
team members examine the 50
team members focused on 474
team members include the 465
team members including the 134
team members located in 247
team members observe the 143
team members outside of 205
team members outside the 125
team members perform the 76
team members possess the 109
team members prepare to 42
team members present at 111
team members provide the 78
team members receive the 157
team members reflect on 157
team members refused to 163
team members regarding the 572
team members related to 86
team members reporting to 140
team members respond to 358
team members results in 103
team members started to 191
team members support the 107
team members together in 90
team members together to 134
team members trained in 161
team members visited the 70
team remains focused on 51
team success depends on 54
tear asunder strands of 43
ten charges against the 48
ten charter members of 78
ten classes according to 173
ten degrees between the 119
ten degrees towards the 44
ten dollars according to 56
ten dollars because he 56
ten dollars between us 78
ten dollars towards the 107
ten elected members of 132
ten faculty members in 54
ten hundred millions of 447
ten hundred thousand in 99
ten hundred thousand of 168
ten letters written by 132
ten letters written to 68
ten medical schools in 43
ten members elected at 56
ten members elected by 458
ten members elected to 56
ten members including the 128
ten members present at 40
ten minutes according to 241
ten minutes against the 126
ten minutes allowed to 61
ten minutes arrived at 49
ten minutes because he 157
ten minutes because it 83
ten minutes because of 200
ten minutes because the 229
ten minutes because we 51
ten minutes between the 649
ten minutes brought us 165
ten minutes depending on 168
ten minutes devoted to 137
ten minutes dragged by 49
ten minutes examine the 40
ten minutes examining the 58
ten minutes exposed to 43
ten minutes following the 286
ten minutes listening to 400
ten minutes outside of 186
ten minutes outside the 223
ten minutes preceding the 101
ten minutes previous to 238
ten minutes remaining in 132
ten minutes slipped by 47
ten minutes together at 41
ten minutes together in 98
ten minutes together on 55
ten minutes towards the 79
ten percent according to 85
ten percent because of 50
ten percent between the 75
ten percent decline in 144
ten percent decrease in 215
ten percent increase in 2195
ten percent increase of 56
ten percent royalty on 129
ten percent solution of 333
ten persons besides the 64
ten persons elected by 122
ten persons including the 116
ten plagues against the 43
ten plagues visited on 58
ten precious goblets of 44
ten precious minutes of 50
ten primary schools in 148
ten private schools in 91
ten regional offices in 106
ten regional offices of 228
ten regional offices to 62
ten remaining members of 48
ten romance writers in 89
ten seconds between the 173
ten seconds following the 54
ten seconds remaining in 59
ten sections according to 53
ten shillings according to 40
ten shillings awarded to 61
ten shillings towards the 150
ten stamens arranged in 52
ten surviving members of 93
ten tallest buildings in 48
ten thousand according to 199
ten thousand against the 96
ten thousand arrived in 46
ten thousand barrels of 703
ten thousand baskets of 78
ten thousand beauties in 57
ten thousand beauties of 92
ten thousand belonged to 106
ten thousand between the 47
ten thousand billions of 112
ten thousand blessings of 50
ten thousand blessings on 105
ten thousand bottles in 86
ten thousand bottles of 250
ten thousand bubbles of 100
ten thousand bushels of 1381
ten thousand cavalry in 62
ten thousand cavalry to 106
ten thousand censors of 61
ten thousand chances of 88
ten thousand chances to 284
ten thousand chariots is 41
ten thousand chinese in 116
ten thousand columns of 75
ten thousand degrees of 70
ten thousand details of 43
ten thousand dollars an 242
