tar which boils between 53
tax liens filed against 85
tax rates could increase 62
tax rates ranged between 105
tax rates within certain 51
tax rates would increase 847
tax rates would produce 93
tax rates would provide 97
tax treaty takes general 42
tax which could produce 153
tax which would benefit 42
tax which would increase 96
tax which would operate 50
tax which would produce 56
tax which would provide 70
tax would apply equally 86
tax would raise revenue 54
team first comes together 50
team which works together 72
team which would include 80
team whose plane crashed 46
ten books which abraham 47
ten coast guard cutters 143
ten hours after embalming 152
ten hours after sunrise 42
ten miles below glasgow 97
ten months after beginning 49
ten months after marriage 144
ten months after surgery 56
ten months ended october 96
ten months which elapsed 52
ten nobel prize winners 77
ten pages holding shields 233
ten round trips between 55
ten times worse because 68
ten weeks after surgery 64
than about eight hundred 119
than about eight minutes 97
than about eight thousand 165
than about fifty thousand 70
than about forty minutes 58
than about forty thousand 84
than about jesus himself 42
than about seven degrees 139
than about seven hundred 270
than about seven minutes 56
than about seven thousand 90
than about sixty thousand 76
than about thirty degrees 57
than about thirty minutes 194
than about thirty seconds 200
than about thirty thousand 144
than acute renal failure 97
than after sober inquiry 51
than anything known hitherto 122
than anything which appeared 47
than anything which existed 124
than anything which happens 50
than blind reason stumbling 102
than could exist between 67
than eight hours because 92
than eight hours between 65
than eight hours together 40
than eight miles distant 333
than eight months elapsed 58
than eight times between 161
than eight weeks between 79
than either alone because 44
than either could achieve 169
than either could imagine 42
than either could produce 105
than either could provide 90
than either latin america 43
than either would produce 59
than facts would justify 67
than facts would warrant 112
than fifty first cousins 42
than fifty large volumes 44
than fifty miles between 77
than fifty miles distant 937
than fifty miles outside 61
than fifty paces distant 54
than fifty people present 108
than fifty short stories 229
than fifty staff members 66
than fifty times between 65
than fifty women workers 130
than fifty yards between 70
than fifty yards distant 529
than forty acres remains 124
than forty hours suffering 82
than forty miles between 42
than forty miles distant 788
than forty short stories 96
than forty times between 65
than forty yards distant 98
than fresh water because 108
than fully human because 66
than getting people together 42
than getting tipsy together 56
than girls whose parents 53
than grade point average 77
than human serum albumin 94
than james clerk maxwell 77
than judith sprang forward 58
than large firms because 56
than large urban centers 50
than light water reactors 134
than lloyd george himself 66
than local firms because 44
than logic would dictate 40
than logic would justify 101
than lower class parents 109
than lower class persons 89
than lower social classes 47
than madam jenny cameron 73
than might appear because 152
than older people because 95
than older women because 61
than others either because 136
than others under certain 197
than others under similar 123
than others would require 63
than people could imagine 125
than people might imagine 70
than people might suppose 59
than people under classic 51
than people whose parents 96
than people would believe 40
than people would imagine 106
than people would suppose 120
than people would suspect 44
than putting words together 41
than ralph waldo emerson 412
than reason which cements 42
than reason would require 54
than rigid metal conduit 69
than saint thomas aquinas 70
than santa claus himself 42
than seven miles distant 241
than seven months elapsed 65
than seven times between 223
than sixty miles distant 370
than sixty months beginning 43
than sixty short stories 82
than sixty yards distant 59
than small firms because 113
than spend large amounts 50
than talking about herself 47
than talking about himself 93
than thirty books including 77
than thirty miles asunder 115
than thirty miles between 43
than thirty miles distant 1112
than thirty miles outside 107
than thirty paces distant 121
than thirty short stories 85
than thirty times between 96
than thirty yards distant 308
than total serum calcium 50
than total world exports 56
than twins reared together 44
than under fixed exchange 401
than under louis napoleon 41
than usual about everything 91
than usual today because 86
than where large sections 44
than white people because 135
than white women because 147
than whole blood glucose 62
than whole burnt offerings 145
than words could express 1147
than words strung together 47
than working class parents 80
than working class persons 60
than would easily elevate 125
than would exist between 82
than would occur between 45
than write theses against 120
that about eight hundred 1160
that about eight percent 197
that about eight thousand 440
that about equal amounts 185
that about equal numbers 295
that about fifty millions 146
that about fifty percent 1050
that about fifty persons 273
that about fifty thousand 790
that about forty members 99
that about forty percent 691
that about forty persons 168
that about forty thousand 604
that about roaring himself 142
that about seven hundred 1163
that about seven millions 90
that about seven percent 175
that about seven thousand 426
that about sixty members 48
that about sixty percent 699
that about sixty persons 43
that about sixty thousand 264
that about sixty workers 151
that about thirty minutes 171
that about thirty percent 450
that about thirty persons 49
that about thirty thousand 885
that above eight hundred 110
that above fifty thousand 65
that above forty thousand 43
that above seven thousand 216
that above sixty thousand 43
that above thirty thousand 208
that action taken against 301
that action under article 103
that action under chapter 120
that action which results 77
that action would involve 40
that acute renal failure 952
that admit large numbers 41
that adult human behavior 97
that adult motion picture 92
that after about fifteen 218
that after every election 97
that after every failure 60
that after every victory 120
that after getting married 119
that after judge douglas 73
that after laura hawkins 61
that after nearly seventy 84
that after seven decades 42
that after seven hundred 148
that after still resolving 58
that after thirty minutes 221
that after working together 41
that again would require 45
that alice found herself 64
that alice quite started 83
that allah would forgive 136
that allah would protect 60
that allah would provide 60
that allow group members 83
that allow large amounts 69
that allow large numbers 96
that allow staff members 46
that allow varying degrees 67
that alone could account 218
that alone could explain 198
that alone could justify 378
