tact believed and act 57
tail elevated and his 46
tail straight out and 374
take advanced math and 112
take anywhere near that 94
take benjamin with them 125
take breakfast with her 181
take breakfast with him 893
take breakfast with his 89
take breakfast with them 226
take breakfast with you 152
take chemists for our 136
take children out for 52
take children who are 191
take children who can 40
take children with them 188
take children with you 77
take columbus and his 99
take communion with her 62
take communion with him 145
take communion with his 66
take communion with them 87
take daylight with you 45
take decisions and act 626
take decisions and are 43
take decisions and then 88
take decisions for him 52
take decisions for them 155
take decisions that are 1526
take decisions that can 66
take decisions that may 165
take decisions that they 54
take delivery and pay 631
take dictation and then 95
take elizabeth with him 62
take entirely too long 136
take equality for his 100
take everyone out for 178
take everyone with him 84
take everyone with them 51
take everyone with you 76
take evidence and hear 107
take evidence and then 41
take exception with his 44
take exception with this 118
take exercise all day 98
take exercise and air 68
take interest for his 42
take judgment for any 94
take margaret with him 60
take medicine for his 70
take medicine for this 46
take messages for her 65
take messages for him 176
take messages for them 86
take messages for you 334
take morphine and die 67
take patients who are 102
take pictures and ask 73
take pictures and get 95
take pictures and put 43
take pictures and see 51
take pictures and then 398
take pictures and they 42
take pictures for her 68
take pictures for him 64
take pictures for his 49
take pictures for our 55
take pictures for them 78
take pictures for you 189
take pictures that are 206
take pictures that can 56
take pictures that you 49
take pictures with her 73
take pictures with him 83
take pictures with his 147
take pictures with them 219
take pictures with this 47
take pictures with you 41
take positions that are 761
take positions that can 59
take positions that may 57
take positions that they 95
take presents for doing 57
take pressure off her 65
take pressure off him 53
take pressure off his 183
take pressure off you 51
take property for his 75
take property for its 63
take property that does 46
take property with them 91
take receipts for all 344
take rhetoric and wring 47
take richmond and end 70
take richmond with that 44
take scissors and cut 185
take secretly and use 81
take security for his 162
take security for its 64
take seriously all that 300
take seriously and act 55
take seriously and that 179
take seriously for any 54
take seriously her own 59
take seriously his own 322
take seriously its own 234
take seriously one who 43
take seriously our own 228
take seriously things that 49
take seriously this new 41
take seriously was his 42
take seriously was that 41
take servants with them 45
take soldiers with them 42
take somebody who has 46
take somebody who was 41
take somebody with him 108
take somebody with you 309
take students who are 72
take students who had 44
take subjects that are 109
take supplies with them 63
take therefrom earth and 57
take tomorrow off and 256
take tradition for our 40
take treatment for his 40
take upstairs with her 42
take visitors out for 49
take whatever job she 41
take whatever job they 126
take whatever job was 71
take whatever job you 81
take whatever she can 72
take whatever she had 87
take whatever she was 66
take whatever they are 207
take whatever they can 2294
take whatever they get 49
take whatever they had 339
take whatever they may 100
take whatever they say 46
take whatever was going 46
take whatever you are 72
take whatever you can 1615
take whatever you get 197
take whatever you got 73
take whatever you may 47
take whatever you say 206
take whomever you can 45
take yourself and that 86
take yourself off and 307
take yourself off for 92
take yourself off now 129
take yourself off out 117
take yourself off this 86
take yourself off with 69
take yourself out for 122
take yourself with you 349
taking advanced math and 44
taking averages are each 41
taking behaviors that are 115
taking behaviors that can 47
taking benjamin with them 48
taking breakfast with her 43
taking breakfast with him 125
taking breakfast with his 48
taking breakfast with them 54
taking children out for 61
taking children who are 131
taking children with them 66
taking clarence with him 45
taking columbus and its 45
taking decisions and for 57
taking decisions that are 399
taking elizabeth with him 51
taking entirely too long 120
taking everyone out for 78
taking everyone with him 89
taking evidence was not 55
taking exercise and air 59
taking exercise and eating 55
taking exercise with his 80
taking isabella with her 85
taking margaret with him 42
taking medicine and going 42
taking medicine and had 42
taking medicine for her 46
taking medicine for his 76
taking messages for her 52
taking messages for him 60
taking messages for you 105
taking patients who are 87
taking pictures all day 117
taking pictures and all 56
taking pictures and doing 48
taking pictures and that 44
taking pictures and then 93
taking pictures and they 44
taking pictures and was 47
taking pictures and you 40
taking pictures for her 44
taking pictures for his 73
taking pictures for this 59
taking pictures that are 54
taking pictures with her 110
taking pictures with his 304
taking pictures with them 41
taking positions that are 266
taking positions that may 48
taking property that does 43
taking security for his 69
taking seriously and that 43
taking seriously his own 88
taking seriously its own 44
taking theocritus for his 95
taking vitamins and eating 118
taking whatever they can 457
tale inscribe that thou 68
tale provides for him 56
talk baseball with him 91
talk business with her 481
talk business with him 1533
talk business with his 152
talk business with them 193
talk business with this 47
talk business with you 2083
talk business you had 54
talk directly with each 556
talk directly with god 209
talk directly with her 200
talk directly with him 416
talk directly with his 303
talk directly with one 342
talk directly with our 48
talk directly with them 144
talk directly with you 86
